year,vos_DET aveux_NOUN
1800,4.4018303668735825e-08
1801,2.3811825844433088e-09
1802,1.1189200677108602e-08
1803,0.0
1804,4.943701892301533e-09
1805,2.842877711017877e-09
1806,2.305335300434308e-08
1807,2.8469552049159574e-08
1808,1.3596443970698147e-08
1809,8.584316191218022e-08
1810,2.106114127542469e-08
1811,1.0028307073639553e-08
1812,2.400487453257938e-08
1813,3.4508900625951355e-08
1814,1.2586708564299443e-08
1815,1.8880564667256294e-08
1816,2.0858434979231788e-08
1817,4.670620334934483e-09
1818,9.536941902865692e-09
1819,2.070210003424222e-09
1820,2.8479554714522237e-08
1821,4.437669831602875e-08
1822,3.709477880420309e-08
1823,1.2847492847356534e-08
1824,1.6000115010683658e-08
1825,8.805443485471187e-09
1826,2.1139161532346407e-08
1827,2.6730091917670507e-08
1828,3.8523666034961934e-08
1829,4.115124596637543e-08
1830,2.6092090266160994e-08
1831,1.7150326492298973e-08
1832,6.223786208625626e-08
1833,3.359252431778259e-08
1834,3.267085690872307e-08
1835,5.3697924329298985e-08
1836,2.2850549896702432e-08
1837,2.365682938432201e-08
1838,2.019891853777267e-08
1839,6.9914749545318955e-09
1840,1.7835128929277744e-08
1841,1.0914932957462042e-08
1842,2.884554062276834e-08
1843,3.721354080443717e-08
1844,2.4149668931272572e-08
1845,4.3525777648767416e-08
1846,1.7563504428608212e-08
1847,1.6179670936367074e-08
1848,3.378993174152356e-08
1849,2.1786477955032524e-08
1850,2.851378244628222e-08
1851,1.483370892785274e-08
1852,1.0416872919805087e-08
1853,1.6124216184465467e-08
1854,3.013485427860729e-08
1855,1.8043586180738203e-08
1856,2.329735071526784e-08
1857,1.2203773158692144e-08
1858,2.59364822396968e-08
1859,3.4626779665813956e-08
1860,2.0597326844118413e-08
1861,2.829578199525784e-08
1862,1.852374442723459e-08
1863,2.3974180862751382e-08
1864,1.294576512655965e-08
1865,2.7770382438063734e-08
1866,1.0704348518686402e-08
1867,1.164674756637396e-08
1868,7.409810987013543e-09
1869,4.0044857652077326e-08
1870,1.4335121534259088e-08
1871,5.3105884134652115e-09
1872,6.652073114565837e-09
1873,1.1373408881354408e-08
1874,2.150859329530519e-08
1875,2.7463329388410784e-08
1876,2.0556450763820067e-08
1877,6.184816214727107e-09
1878,7.850815109122777e-09
1879,2.1993570964440323e-08
1880,1.5402831010646878e-08
1881,1.2550513517339823e-08
1882,2.1962770935246567e-08
1883,1.7694148368718743e-08
1884,9.242375753615306e-09
1885,1.0313017106966527e-08
1886,1.5488312854472497e-08
1887,1.2404956672984468e-08
1888,5.706553452000662e-09
1889,8.14467782106476e-09
1890,1.7696843657155625e-08
1891,5.736797925592896e-09
1892,1.3790726782758611e-08
1893,2.4633666773077323e-09
1894,1.3233232287745977e-08
1895,8.426059849853118e-09
1896,9.435246361988447e-09
1897,1.2236098023699071e-08
1898,9.619203211741478e-09
1899,1.3818945987509323e-08
1900,1.038210584169974e-08
1901,1.1736351446245408e-08
1902,3.928227076954727e-09
1903,9.1803746826713e-09
1904,9.674325340824907e-09
1905,1.0321517862621477e-08
1906,1.4403716441790948e-08
1907,7.199980833760833e-09
1908,1.2278472683036057e-08
1909,1.4302557083123446e-08
1910,7.481810726517324e-09
1911,4.788336838146279e-09
1912,1.5628263128064646e-08
1913,1.537867011514038e-08
1914,7.366418142140674e-09
1915,5.890380960771324e-09
1916,1.0987462051303964e-09
1917,5.483212106582869e-09
1918,0.0
1919,4.603924352863942e-09
1920,4.543339038320937e-09
1921,3.0290989716519334e-09
1922,4.426761346376651e-09
1923,9.554353752605493e-09
1924,7.734974438733389e-09
1925,1.4297631523163545e-08
1926,3.343841648018042e-09
1927,1.1149224876660924e-09
1928,1.7139061725401916e-08
1929,5.570202965543558e-09
1930,5.2518016602221e-09
1931,6.843213995466613e-09
1932,1.53433514782364e-08
1933,1.0323596200123575e-08
1934,4.7926320689839486e-09
1935,1.9149254626427137e-08
1936,2.424942913137329e-09
1937,1.2591118259130951e-08
1938,1.9447821131279852e-08
1939,4.588215141154706e-09
1940,1.7750480196809804e-08
1941,0.0
1942,3.034211770724937e-09
1943,5.806470415592457e-09
1944,1.6065930807940276e-08
1945,6.535512131478072e-09
1946,1.6705325123211878e-08
1947,4.7683483828109274e-09
1948,1.7395020757149382e-08
1949,1.6688914139528777e-08
1950,1.0635361036293034e-08
1951,5.330700769690111e-09
1952,1.1599284532870513e-08
1953,7.54167928107563e-09
