year,nombreux_ADJ os_NOUN
1800,0.0
1801,2.3811825844433088e-09
1802,2.6854081625060644e-08
1803,3.900678446910888e-09
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,2.2660739951163578e-09
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,2.4275012222574333e-08
1816,1.1588019432906549e-08
1817,0.0
1818,0.0
1819,0.0
1820,1.1866481131050932e-09
1821,3.94459531705138e-09
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,8.57317605795771e-10
1830,1.0436835840010872e-09
1831,0.0
1832,0.0
1833,2.3167257001688313e-09
1834,0.0
1835,0.0
1836,1.68018754465038e-08
1837,1.2524203896191466e-08
1838,1.8936485712828244e-09
1839,4.894032734625853e-09
1840,0.0
1841,0.0
1842,0.0
1843,1.1813822142769936e-09
1844,3.841992946007622e-09
1845,0.0
1846,1.1709002656346001e-09
1847,4.853901280910122e-09
1848,0.0
1849,5.865590679832167e-09
1850,6.788996032014438e-10
1851,8.384270167027807e-09
1852,9.765818376195057e-09
1853,1.2541057081705276e-08
1854,2.0782657816909023e-09
1855,5.306937111981824e-10
1856,5.177189232874468e-10
1857,4.393358121745905e-09
1858,0.0
1859,3.055304009791371e-09
1860,1.2816115280145368e-08
1861,3.772770984511453e-09
1862,9.035972525772706e-10
1863,8.490855130105501e-09
1864,1.6302074357099627e-08
1865,4.000817810378976e-08
1866,2.432806534002907e-08
1867,2.7661025470138156e-08
1868,1.2349684830326169e-08
1869,1.7580669364747337e-08
1870,3.039045992636602e-08
1871,4.248470908407853e-09
1872,1.9351485747165498e-08
1873,4.908523498770023e-08
1874,2.2703515512034755e-08
1875,4.520006413599731e-08
1876,4.836811839936672e-09
1877,1.4225077116236662e-08
1878,4.468925496325937e-08
1879,3.237942358680357e-08
1880,1.6686400927667933e-08
1881,2.510102725672425e-08
1882,1.5972924316542958e-08
1883,2.401348808689363e-08
1884,1.1883054540362536e-08
1885,2.2559724754955823e-08
1886,1.097088819790315e-08
1887,3.7867764035581786e-08
1888,2.282621380800265e-08
1889,2.944614330147033e-08
1890,1.2453334363726754e-08
1891,1.4660706204594476e-08
1892,1.567128071755519e-08
1893,4.741980763611764e-08
1894,3.0877544077156927e-08
1895,3.91209944439197e-08
1896,1.9460195233023114e-08
1897,1.7480140002135158e-08
1898,2.5462597474934512e-08
1899,3.040168117252051e-08
1900,3.3741844873702576e-08
1901,2.8502569193733507e-08
1902,2.7988617645746672e-08
1903,4.104167317109386e-08
1904,1.827372564378038e-08
1905,2.7352022868853965e-08
1906,4.73264982758792e-08
1907,3.599990411329301e-08
1908,3.781769652988487e-08
1909,4.675836196010863e-08
1910,4.2753206530576904e-08
1911,2.979409430281521e-08
1912,3.3861237369592345e-08
1913,3.8711824856818566e-08
1914,2.678697441638178e-08
1915,6.715034572835066e-08
1916,1.2086208478478966e-08
1917,2.9609346086090227e-08
1918,2.412139110674616e-08
1919,3.314825391953491e-08
1920,1.4387239843927091e-08
1921,1.6660044011018726e-08
1922,2.2871599725249325e-08
1923,3.078624910557437e-08
1924,1.1602462102189293e-08
1925,1.9796720707176974e-08
1926,1.3375365925938354e-08
1927,2.0068604777989663e-08
1928,2.0566874314731365e-08
1929,2.0052731031228177e-08
1930,1.575540586884472e-08
1931,3.877821086462063e-08
1932,3.616647248350091e-08
1933,3.555905436769535e-08
1934,2.995395043114968e-08
1935,1.9149254626427137e-08
1936,2.7886843056990074e-08
1937,3.273690651894867e-08
1938,1.1668692678767911e-08
1939,3.8235127064467633e-08
1940,2.5357829613881222e-08
1941,1.7709016475464523e-08
1942,3.034211815133858e-08
1943,4.064529335323641e-08
1944,2.2492303131116387e-08
1945,2.3963545370264683e-08
1946,1.80974355501462e-08
1947,1.4305045148432782e-08
1948,3.9138795093762724e-08
1949,1.4725512142987895e-08
1950,2.2334258886758107e-08
1951,2.345508343104541e-08
1952,6.748674452605741e-08
1953,3.878577814475648e-08
1954,2.052232517257835e-08
1955,3.4726747699664884e-08
1956,2.529131126749462e-08
1957,3.092263228809955e-08
1958,5.873292874269964e-08
1959,3.5653439312000046e-08
1960,1.4533750203327145e-08
