year,serons_VERB au_ADP
1800,1.0375742931501009e-07
1801,5.9529565277216534e-08
1802,4.2518962573012686e-08
1803,8.971560561121805e-08
1804,6.179627121127851e-08
1805,3.1271653710973624e-08
1806,3.1698359492793315e-08
1807,6.547996633798903e-08
1808,2.7192887941396293e-08
1809,1.219876537561504e-07
1810,7.020380365929668e-08
1811,6.518399686683551e-08
1812,1.3336041604361526e-08
1813,4.888760685162197e-08
1814,5.034683425719777e-08
1815,9.440282155992463e-08
1816,1.1588019788177917e-07
1817,6.07180652423267e-08
1818,5.6029534789558966e-08
1819,8.9019032145643e-08
1820,9.967844505354151e-08
1821,8.57949515875589e-08
1822,5.413832582235045e-08
1823,8.696764552951208e-08
1824,1.229482506914792e-07
1825,7.13240879690602e-08
1826,5.460950447400137e-08
1827,9.493790997794349e-08
1828,8.805409379419871e-08
1829,7.973054039212002e-08
1830,5.740259823028282e-08
1831,8.419251429359065e-08
1832,5.276687886635045e-08
1833,9.498575082034222e-08
1834,4.947301235347368e-08
1835,1.0437061348511634e-07
1836,1.0753200285762432e-07
1837,7.792837664055696e-08
1838,8.521418237705802e-08
1839,9.158832625644209e-08
1840,1.05099864811109e-07
1841,6.805781538332667e-08
1842,5.366612043644636e-08
1843,9.982679927134086e-08
1844,1.3446975799524807e-07
1845,9.095771247302764e-08
1846,9.718472426811786e-08
1847,5.662884916546318e-08
1848,7.160247150750365e-08
1849,6.787325901314034e-08
1850,9.776154286100791e-08
1851,7.15887722435582e-08
1852,7.942865209997763e-08
1853,7.524634071387482e-08
1854,8.001322981954218e-08
1855,7.270503488143731e-08
1856,5.5913645269356493e-08
1857,7.51752367023073e-08
1858,8.514996352460003e-08
1859,8.605773160752506e-08
1860,9.749401641556688e-08
1861,9.809204470911936e-08
1862,1.2831081619424367e-07
1863,6.592899381985262e-08
1864,9.637403053375238e-08
1865,9.41368867302117e-08
1866,1.0801660721426742e-07
1867,8.63800408978932e-08
1868,8.644779825317528e-08
1869,1.040189587797613e-07
1870,8.085008573743835e-08
1871,1.0090118252037428e-07
1872,1.2638939494991064e-07
1873,1.2091729217900138e-07
1874,6.631815807622843e-08
1875,1.104254749861866e-07
1876,1.0640985692589311e-07
1877,1.0761579716245251e-07
1878,1.1293095525388708e-07
1879,6.475885072632082e-08
1880,8.279021557200394e-08
1881,1.324776377487069e-07
1882,9.650308641084848e-08
1883,9.099848341520556e-08
1884,9.176358872764467e-08
1885,6.639005079023264e-08
1886,1.0002869288427974e-07
1887,4.8966935395355904e-08
1888,4.7554610915767626e-08
1889,8.896493852716958e-08
1890,1.0290386853739619e-07
1891,7.840290550120699e-08
1892,8.838602383320904e-08
1893,6.158416709922676e-08
1894,6.490585491292222e-08
1895,8.185315891751088e-08
1896,8.550691887876383e-08
1897,5.9432476717802274e-08
1898,7.865113360594478e-08
1899,7.075300345604774e-08
1900,6.281174336209006e-08
1901,8.047783950360099e-08
1902,5.106695155632224e-08
1903,6.912281946824805e-08
1904,7.416982583663412e-08
1905,8.721682576151579e-08
1906,7.253299827425508e-08
1907,9.051404248339168e-08
1908,7.51442499336008e-08
1909,7.536347368386487e-08
1910,7.909343224810073e-08
1911,8.83182096345081e-08
1912,6.095022797580896e-08
1913,6.310557409960893e-08
1914,6.094036564263661e-08
1915,1.590402831652682e-07
1916,7.801097723358907e-08
1917,9.321460936462245e-08
1918,6.662098428478203e-08
1919,8.839534615390221e-08
1920,9.541012246927494e-08
1921,8.55720472259236e-08
1922,6.271245212019494e-08
1923,6.688047449188161e-08
1924,8.379555538340355e-08
1925,8.028669640225417e-08
1926,8.471064916193427e-08
1927,7.024011949852138e-08
1928,3.6563331917705e-08
1929,7.909688548579652e-08
1930,6.827342247106571e-08
1931,7.071321306284517e-08
1932,8.329247691563069e-08
1933,5.391211388428019e-08
1934,7.188948103475923e-08
1935,7.4203363453762e-08
1936,5.577368611398015e-08
1937,4.5328025777280345e-08
1938,4.2785206488815675e-08
1939,5.199976982339649e-08
1940,8.875240098404902e-08
1941,7.67390702094417e-08
1942,5.76500234217292e-08
1943,8.129058670647282e-08
1944,7.390327994016843e-08
1945,9.367567344042982e-08
1946,8.909506732379668e-08
1947,9.05986183852292e-08
1948,7.936478141346015e-08
1949,5.988375306742455e-08
1950,5.8494489252325366e-08
1951,8.209279656057333e-08
1952,8.224947123380844e-08
1953,7.433941107137798e-08
1954,6.840775057526116e-08
1955,7.039206195713632e-08
1956,6.45364508500279e-08
1957,8.923387895265478e-08
1958,5.1287909030861556e-08
1959,7.130687862400009e-08
1960,6.574791910907152e-08
1961,1.0561202401504488e-07
1962,9.89345210200554e-08
1963,7.888584718784841e-08
1964,5.962289151284494e-08
1965,7.058935835857483e-08
