year,quelles_DET heures_NOUN
1800,2.2009151834367913e-08
1801,3.333655662629553e-08
1802,1.7902721083373763e-08
1803,7.801356671777171e-09
1804,7.4155526164076946e-09
1805,3.1271653710973624e-08
1806,2.5935023018064385e-08
1807,3.131650583299006e-08
1808,9.064295980465431e-09
1809,2.259030518203531e-09
1810,3.2761775514700275e-08
1811,1.2535384286138651e-08
1812,1.8670456736202823e-08
1813,2.0130190847567064e-08
1814,1.2586708564299443e-08
1815,5.394447111228828e-09
1816,9.270415546325239e-09
1817,1.5568733857662664e-08
1818,7.152706427149269e-09
1819,2.3807414706311647e-08
1820,1.6613073583471305e-08
1821,2.7612167663448872e-08
1822,1.9048670196752937e-08
1823,5.929612356680991e-09
1824,6.736890156844311e-09
1825,3.9624492131906663e-08
1826,1.3211976179761109e-08
1827,3.226045625082108e-08
1828,1.0089530988466322e-08
1829,6.858540846366168e-09
1830,9.393152256009785e-09
1831,1.7150327380477393e-08
1832,4.058990810129615e-09
1833,3.475088417026484e-08
1834,1.0267984018597076e-08
1835,1.3613558280667348e-08
1836,1.4113575363960962e-08
1837,3.6181031504156635e-08
1838,2.714229618838715e-08
1839,3.146163729539353e-08
1840,3.0574503984137635e-08
1841,3.2102742686390684e-08
1842,2.6162234156856812e-08
1843,2.7762482202042804e-08
1844,2.854051950329506e-08
1845,1.897277446261114e-08
1846,1.9319854382970902e-08
1847,1.7258315665458213e-08
1848,2.413566591030758e-08
1849,1.6758828991214614e-08
1850,3.190828135046786e-08
1851,1.4188765051770247e-08
1852,1.888058198673548e-08
1853,4.419229693297666e-08
1854,3.792835112648163e-08
1855,4.4578271740647324e-08
1856,4.089979444010794e-08
1857,4.002837616923216e-08
1858,4.4532450171885785e-08
1859,3.0043822540903875e-08
1860,3.982149987535877e-08
1861,2.546620470056382e-08
1862,1.8975543358834557e-08
1863,2.447364222391002e-08
1864,3.2604148714199255e-08
1865,4.424433619476531e-08
1866,3.0166799724895554e-08
1867,2.5719900875742496e-08
1868,4.989272905930875e-08
1869,3.1742874995188686e-08
1870,3.325748254567884e-08
1871,4.779529660936532e-08
1872,4.656451224605007e-08
1873,4.309923262724169e-08
1874,3.704257611758521e-08
1875,4.3483606937400054e-08
1876,3.9903695903120706e-08
1877,2.72131899237138e-08
1878,3.985798624484005e-08
1879,4.276527842961286e-08
1880,3.593993924688732e-08
1881,4.8807552666119136e-08
1882,3.5939078824043236e-08
1883,3.791603297997881e-08
1884,3.762967271114803e-08
1885,4.898683059195719e-08
1886,5.227305610588928e-08
1887,3.1991729709801575e-08
1888,4.311617907148957e-08
1889,4.636201111907212e-08
1890,6.488842707597087e-08
1891,4.2707275937914346e-08
1892,3.008885940403161e-08
1893,5.234654043562159e-08
1894,5.923446977362801e-08
1895,7.583454220139174e-08
1896,7.725108286393834e-08
1897,5.302309347143819e-08
1898,5.828105464900091e-08
1899,4.753717419703207e-08
1900,3.841379303537451e-08
1901,5.3651893594519606e-08
1902,4.2228439411928775e-08
1903,3.132127712746069e-08
1904,6.718281486683964e-08
1905,5.5736198767419864e-08
1906,5.5042775670699484e-08
1907,7.302837623512914e-08
1908,4.125566821500115e-08
1909,5.721022766635997e-08
1910,5.02350161468712e-08
1911,7.076097485736454e-08
1912,5.261515401144834e-08
1913,5.780258760523793e-08
1914,8.772734005901839e-08
1915,8.246533589328919e-08
1916,9.668966782783173e-08
1917,8.444146715191891e-08
1918,7.695872028534723e-08
1919,9.94447653113184e-08
1920,5.5277290300637105e-08
1921,5.9067428281878165e-08
1922,6.271245212019494e-08
1923,5.307974149104666e-08
1924,6.961477261313576e-08
1925,6.928851981058415e-08
1926,7.913758182098718e-08
1927,7.024011772216454e-08
1928,5.255978940965633e-08
1929,5.235991018537334e-08
1930,5.2518018378577835e-08
1931,4.5621426636444085e-08
1932,4.603005354653078e-08
1933,4.588264879146209e-08
1934,4.313368862085554e-08
1935,4.787313656606784e-08
1936,4.243650053581405e-08
1937,5.0364473480613015e-08
1938,6.871563495991495e-08
1939,4.129393715857077e-08
1940,4.3108309810691026e-08
1941,1.4757513433494296e-08
1942,2.730790660265825e-08
1943,6.387117501560624e-08
1944,3.8558232162699824e-08
1945,6.099811500348551e-08
1946,5.0115976257814054e-08
