year,trois_DET oies_NOUN,trois_DET bois_NOUN
1800,1.2576657937302116e-08,0.0
1801,3.333655484993869e-08,9.524730337773235e-09
1802,3.5805442166747525e-08,2.2378401354217203e-09
1803,5.655983681407406e-08,3.1205427575287104e-08
1804,3.213406074564773e-08,9.887403784603066e-09
1805,3.127165526528586e-08,5.685755422035754e-09
1806,8.645007376628655e-09,8.645007376628655e-09
1807,0.0,0.0
1808,4.5321479902327155e-09,6.798221985349073e-09
1809,1.129515236897305e-08,4.518061036407062e-09
1810,3.042164919975221e-08,1.8721014072298203e-08
1811,0.0,0.0
1812,3.467370746079723e-08,2.6672082320544632e-09
1813,3.163315653864629e-08,1.7254450312975678e-08
1814,3.1466771410748606e-09,0.0
1815,0.0,0.0
1816,6.952811659743929e-09,2.3176038865813098e-09
1817,2.490997452753163e-08,0.0
1818,5.960588467246453e-09,0.0
1819,4.140420006848444e-09,1.552657524772627e-08
1820,8.306536791735653e-09,2.3732962262101864e-08
1821,8.875339574387908e-09,5.916893086599373e-09
1822,1.804610860745015e-08,5.012807946513931e-09
1823,1.9765373782121287e-09,8.894418312976882e-09
1824,3.3684450784221553e-09,0.0
1825,1.7610886082763955e-09,4.4027217427355936e-09
1826,0.0,1.145037931138404e-08
1827,0.0,1.8434546111834038e-09
1828,9.172301140836225e-09,1.559291185060374e-08
1829,1.2002446148073886e-08,2.571952872898464e-09
1830,0.0,5.218417697960831e-09
1831,7.795603274018958e-09,0.0
1832,0.0,1.3529969367098715e-09
1833,6.950177322551099e-09,1.1583628500844156e-09
1834,6.534171426153534e-09,4.667265685043276e-09
1835,7.563087933704082e-09,3.781543966852041e-09
1836,0.0,6.048674894287842e-09
1837,4.174734336004349e-09,6.262101948095733e-09
1838,2.5248647617104325e-09,2.5248647617104325e-09
1839,0.0,7.690622472189546e-09
1840,5.7327197988676915e-09,4.458782232319436e-09
1841,6.420548537278137e-10,6.420548537278137e-10
1842,0.0,4.695785538189057e-09
1843,1.7720733769266417e-09,2.953455535692484e-09
1844,1.811225169845443e-08,2.7442806360689076e-09
1845,6.138250796539069e-09,6.696273757711424e-09
1846,5.854501328173001e-10,2.9272506640865004e-09
1847,8.089835468183537e-09,7.011190739092399e-09
1848,0.0,4.022610855525244e-09
1849,8.379414495607307e-09,1.1731181359664333e-08
1850,1.0183494048021657e-08,6.788996032014438e-09
1851,8.384270167027807e-09,7.094382858952031e-09
1852,3.2552727180501506e-09,1.822952655494703e-08
1853,1.7915795513800958e-09,7.763511389313749e-09
1854,3.1173986725363534e-09,1.506742686174789e-08
1855,1.5920811335945473e-08,1.0613874223963649e-08
1856,3.624032518523279e-09,1.2942972915652717e-08
1857,3.905207268672939e-09,1.0739319711294826e-08
1858,9.787352039936081e-10,4.893676130990343e-09
1859,3.055304009791371e-09,1.1711998260111045e-08
1860,1.1900677859832953e-08,9.15436793036406e-09
1861,5.187560159214399e-09,9.431927516789784e-09
1862,1.1294966073549517e-08,4.517986429419807e-09
1863,1.1987089820753027e-08,4.994620717013731e-09
1864,2.3973640850272204e-09,1.4384183621984903e-08
1865,7.060266649094871e-09,8.001635798393636e-09
1866,1.2650593461671633e-08,1.8489329622894957e-08
1867,7.76449837758264e-09,3.008743121313273e-08
1868,8.397785578040384e-09,1.0867723165830512e-08
1869,7.325278716940886e-09,1.6115613732381462e-08
1870,1.0894693147633916e-08,8.601073631098188e-09
1871,1.6993883855676017e-08,1.6993883855676017e-08
1872,1.511834801792844e-08,4.233137618214755e-09
1873,1.5563611011071288e-08,1.7359413795325906e-08
1874,1.553398404352535e-08,1.5533982988813477e-08
1875,5.721527140956084e-10,1.7164581478379404e-08
1876,4.836811839936672e-09,1.753344314181504e-08
1877,4.329371194877751e-09,6.184816103704804e-09
1878,4.831270938865373e-09,2.8987624745013818e-08
1879,6.109325489944695e-09,1.771704283282105e-08
1880,8.343199908722454e-09,9.626769825743509e-09
1881,1.2550513517339823e-08,1.8128519130300447e-08
1882,6.655385131892899e-09,1.1979693681496428e-08
1883,3.159669414998234e-09,2.5909289380621203e-08
1884,5.281357573494461e-09,1.0562715146988921e-08
1885,3.2228177904158883e-09,6.445635580831777e-09
1886,2.5813855497602844e-09,1.806969840423278e-08
1887,3.9173548849191775e-09,2.7421482640122008e-08
1888,7.60873763994141e-09,3.804368819970705e-09
1889,1.8795409673089125e-09,1.5662841412744655e-08
1890,6.5543866445416654e-09,1.0487018364813139e-08
1891,1.211101841036566e-08,1.5935550212731187e-08
1892,3.761107425503951e-09,1.002961935725466e-08
1893,8.005941687372342e-09,1.23168328869383e-08
1894,8.822155450616265e-09,7.561847148451761e-09
1895,1.8055843487019274e-09,1.5648397910794642e-08
1896,9.435246750566506e-09,2.535722543051122e-08
1897,1.1070755534525745e-08,1.689746942368231e-08
1898,2.26334195829736e-09,1.3580051638761859e-08
1899,7.738609753005221e-09,2.8743407654019393e-08
1900,1.2458527431924438e-08,7.2674745110745675e-09
1901,1.1177477832191585e-09,1.676621641522047e-08
1902,8.34748237199534e-09,1.080262407304744e-08
1903,1.1880484818149739e-08,8.100330184390714e-09
1904,3.2247751136083025e-09,1.0211787859759625e-08
1905,4.64468330463319e-09,1.548227701597682e-08
1906,8.230695236477459e-09,7.201858220895474e-09
1907,1.2342824262656649e-08,2.0057088434555226e-08
1908,8.349361424464519e-09,9.82277836847345e-09
1909,6.051082024338683e-09,1.2652262071366494e-08
1910,3.7409054742809644e-09,9.085056262847502e-09
1911,6.384448969498635e-09,5.852411666396051e-09
1912,1.1981668712746085e-08,1.9795801164956828e-08
1913,2.6514948014977335e-09,1.378777370053541e-08
1914,4.68772043404897e-09,1.1384464038144415e-08
1915,1.5314990164938536e-08,2.0027294933555595e-08
1916,4.394984820521586e-09,9.888715624128963e-09
1917,5.483212106582869e-09,4.0575770299255964e-08
1918,2.2972752589112133e-09,2.6418664589300533e-08
1919,1.8415696745321952e-09,1.9336482248721865e-08
1920,2.2716695191604686e-09,1.665891025126598e-08
1921,7.572747762196741e-09,2.5747340537396468e-08
1922,1.254249004656316e-08,1.918263253797292e-08
1923,4.246379248229459e-09,7.431163684401554e-09
1924,3.867487219366694e-09,2.062659898438568e-08
1925,5.499088961968823e-09,1.3197813508725176e-08
1926,1.114613823460786e-08,1.1146138789719373e-08
1927,8.919379901328739e-09,1.3379069629948503e-08
1928,4.5704163786908225e-09,2.6279895148917376e-08
1929,3.342121912552898e-09,2.2280812306263442e-08
1930,9.453243521306831e-09,5.566909866416836e-08
1931,5.7026783295555106e-09,1.4826963656844327e-08
1932,5.4797681947604815e-09,1.3151443711834077e-08
1933,6.882397318719313e-09,8.02946376055047e-09
1934,3.5944740517379614e-09,8.38710612072191e-09
1935,9.574627313213568e-09,1.4361940969820353e-08
1936,7.274828739411987e-09,1.33371855781661e-08
1937,6.295558963032022e-09,6.295559185076627e-09
1938,9.075650453382877e-09,1.426173557028676e-08
1939,6.117620188206274e-09,9.176430282309411e-09
1940,5.0715658339584024e-09,2.5357829169792012e-09
1941,2.3612020338958928e-08,1.4757512989405086e-08
1942,9.102635312174812e-09,3.944475324146879e-08
1943,1.7419411690866582e-08,0.0
1944,0.0,1.2852744646352221e-08
1945,4.357008087652048e-09,8.714016175304096e-09
1946,8.352662561605939e-09,8.352662561605939e-09
1947,1.1920870957027319e-09,2.1457568166738383e-08
1948,2.174377566888097e-09,8.697510267552389e-09
1949,1.0798709482173763e-08,2.945102384188658e-09
1950,4.2541445921528975e-09,1.2762433776458693e-08
1951,4.264560704569931e-09,6.396841278899501e-09
1952,2.1089607837865287e-09,1.0544803696888039e-08
