year,toutes_DET heures_NOUN
1800,2.2009151834367913e-08
1801,1.0239084957675004e-07
1802,1.4993528907325526e-07
1803,4.095712213825209e-08
1804,1.656140113936999e-07
1805,9.097208675257207e-08
1806,8.645007376628655e-09
1807,5.124519120158766e-08
1808,2.4926813058101516e-08
1809,1.129515236897305e-08
1810,1.4040760554223652e-08
1811,6.016983888912364e-08
1812,1.600324850414836e-08
1813,2.300593315851529e-08
1814,1.258670891957081e-07
1815,1.6183340889597275e-08
1816,1.3905623319487859e-08
1817,4.670620334934483e-09
1818,5.6029534789558966e-08
1819,4.45095160728215e-08
1820,3.643009733877989e-07
1821,1.3806084098177962e-07
1822,3.127992158624693e-07
1823,5.06981848502619e-07
1824,2.5094917077694845e-07
1825,1.963613840416656e-07
1826,1.083382059618998e-07
1827,6.544264152807955e-08
1828,9.447470006307412e-08
1829,1.4060009334571077e-07
1830,4.696576283436116e-08
1831,2.182768810143898e-08
1832,1.6235963684607668e-08
1833,1.853380560135065e-08
1834,1.0828055962974759e-07
1835,1.883208824438043e-07
1836,3.6090426647206186e-07
1837,3.618103310287779e-07
1838,3.358070159720228e-07
1839,1.2165166651811887e-07
1840,1.2548286454361346e-07
1841,1.662922102241282e-07
1842,1.0464893307471357e-07
1843,6.97015494210973e-08
1844,9.111011678442082e-08
1845,6.919482586908998e-08
1846,8.898842285276487e-08
1847,8.844887133818702e-08
1848,5.63165514222419e-08
1849,4.1897074254393374e-08
1850,1.9348638868876833e-07
1851,1.1351012574323249e-07
1852,7.096494414327026e-08
1853,1.6840847649746138e-07
1854,1.9847438181841426e-07
1855,1.2577440600125556e-07
1856,1.8637881171734705e-07
1857,1.9526036965089588e-07
1858,1.4240596879488976e-07
1859,1.385071177750774e-07
1860,5.767251565202969e-08
1861,8.441575261031176e-08
1862,1.8433384241234307e-07
1863,7.841554605647616e-08
1864,9.349719221063424e-08
1865,7.76629320853317e-08
1866,9.925850008585257e-08
1867,1.1404106636803135e-07
1868,9.385760790792119e-08
1869,9.864708516715837e-08
1870,6.422134646300037e-08
1871,1.0408754036461687e-07
1872,1.3183199598643114e-07
1873,1.2690329942444123e-07
1874,9.917851429008806e-08
1875,1.1328624083262184e-07
1876,1.07619065659037e-07
1877,1.138006169298933e-07
1878,1.3587948899385083e-07
1879,1.563987268582423e-07
1880,1.0653624826773012e-07
1881,1.1434912750019066e-07
1882,9.716862492403777e-08
1883,1.0553296192483685e-07
1884,9.638477838080917e-08
1885,1.1988882264724054e-07
1886,1.2326115950145322e-07
1887,1.0054544219428863e-07
1888,2.3206649757412379e-07
1889,1.1841108715771043e-07
1890,9.831579461661022e-08
1891,1.338586201882208e-07
1892,1.4229522760089708e-07
1893,9.052872235182363e-08
1894,9.704370285135155e-08
1895,7.884384700673763e-08
1896,8.60966217763881e-08
1897,1.019674868985021e-07
1898,7.978280081033517e-08
1899,9.562710445720768e-08
1900,8.772880022434038e-08
