year,meilleurs_ADJ ans_NOUN,meilleurs_ADJ bancs_NOUN
1800,3.144164484325529e-09,0.0
1801,3.095537337571841e-08,2.3811825844433088e-09
1802,0.0,0.0
1803,1.950339223455444e-09,0.0
1804,1.730295728918918e-08,0.0
1805,0.0,0.0
1806,0.0,0.0
1807,1.4234775136401367e-08,0.0
1808,6.798221985349073e-09,2.2660739951163578e-09
1809,0.0,2.259030518203531e-09
1810,0.0,0.0
1811,0.0,5.0141535368197765e-09
1812,0.0,1.0668832928217853e-08
1813,2.8757416448144113e-09,3.738464116054274e-08
1814,0.0,0.0
1815,0.0,5.394447111228828e-09
1816,0.0,0.0
1817,0.0,0.0
1818,5.960588467246453e-09,0.0
1819,1.035105001712111e-09,0.0
1820,5.933240565525466e-09,0.0
1821,9.86148829262845e-10,1.97229765852569e-09
1822,2.8071724500478012e-08,0.0
1823,8.894418535021487e-09,3.9530747564242574e-09
1824,2.863178316658832e-08,8.421112696055388e-10
1825,1.6730341556581152e-08,4.4027217427355936e-09
1826,4.403992281964975e-09,2.642395191543301e-09
1827,3.6869092223668076e-09,4.608636583469661e-09
1828,2.109629271274116e-08,0.0
1829,0.0,2.571952872898464e-09
1830,0.0,0.0
1831,2.0268567268999504e-08,0.0
1832,0.0,0.0
1833,2.3167257001688313e-09,9.266902800675325e-09
1834,2.8003592777992026e-09,3.733812370398937e-09
1835,1.5126175867408165e-09,0.0
1836,1.2097349788575684e-08,2.016224964762614e-09
1837,5.5663127440652715e-09,7.653680356156656e-09
1838,1.830527018853445e-08,0.0
1839,3.4957374772659477e-09,0.0
1840,1.2102408852854296e-08,6.3696887764308485e-09
1841,1.1556987367100646e-08,0.0
1842,1.341653010911159e-08,5.366612043644636e-09
1843,9.451057714215949e-09,2.953455480181333e-09
1844,1.6465684371524958e-09,1.097712254427563e-09
1845,0.0,2.2320911785556063e-09
1846,7.610851504580296e-09,0.0
1847,8.089835468183537e-09,0.0
1848,6.43617736884039e-09,1.045878850192139e-08
1849,0.0,6.703531951757213e-09
1850,2.0366988096043315e-09,1.3577992064028876e-09
1851,6.449438760824933e-09,0.0
1852,2.6042181744401205e-09,3.2552727180501506e-09
1853,7.763511611358354e-09,5.971931837933653e-09
1854,7.27393034694046e-09,2.5978321716024766e-09
1855,5.306937111981824e-10,2.653468555990912e-09
1856,1.5531567143511893e-09,6.212626857404757e-09
1857,1.3180074809326925e-08,6.345961978126979e-09
1858,5.872411001917044e-09,5.872411001917044e-09
1859,1.2221216039165483e-08,5.092173349652285e-09
1860,2.746310290291376e-09,2.746310290291376e-09
1861,1.131831339762357e-08,9.431927461278633e-10
1862,8.132375661773494e-09,1.3553959066214816e-09
1863,7.991393324857654e-09,0.0
1864,9.109982990196386e-09,8.151037178549814e-09
1865,4.706844247692743e-09,5.177528628053096e-09
1866,1.9462451650298362e-09,5.838735717134114e-09
1867,5.82337378318698e-09,1.5043715606566366e-08
1868,2.9639244392143382e-09,9.87974813071446e-10
1869,2.441759683335931e-09,4.883519144627257e-10
1870,8.601073631098188e-09,2.8670243956696595e-09
1871,1.0621177271019633e-09,3.18635318130589e-09
1872,1.1489944995446422e-08,4.23313739617015e-09
1873,1.0774807712721213e-08,3.591602570907071e-09
1874,6.572069999322139e-09,1.0754296120296658e-08
1875,1.1443054281912168e-09,2.8607636259891933e-09
1876,7.859819461941697e-09,3.02300739996042e-09
1877,1.2369631985365004e-09,4.9478527941460015e-09
1878,6.039088784604019e-09,3.0195443923020093e-09
1879,8.55305515301552e-09,3.0546627449723474e-09
1880,2.5671385017744797e-09,7.701415505323439e-09
1881,1.3945015142624584e-09,1.1853263259808955e-08
1882,2.6621540527571597e-09,1.0648616211028639e-08
1883,6.319338829996468e-09,3.791603475633565e-09
1884,6.601696966868076e-10,1.9805090900604227e-09
1885,1.353583467533781e-08,4.511945039809007e-09
1886,7.098810428374236e-09,3.2267319927115068e-09
1887,1.9586774424595887e-09,6.528924512139156e-09
1888,1.268122939990235e-09,0.0
1889,3.759081934617825e-09,1.2530273485467092e-09
1890,8.520702365899524e-09,3.2771931834929546e-09
1891,1.9122659011827636e-09,0.0
1892,1.2537024751679837e-09,3.1342561879199593e-09
1893,3.079208221734575e-09,3.079208221734575e-09
1894,5.671385139294216e-09,5.671385139294216e-09
1895,3.0093072478365457e-09,3.0093072478365457e-09
1896,5.307326134129653e-09,8.845543852942228e-09
1897,5.2440420894583895e-09,2.9133566670225264e-09
1898,0.0,6.224190496340043e-09
