year,six_DET arts_NOUN,six_DET barres_NOUN
1800,0.0,1.2576657937302116e-08
1801,0.0,4.7623650800687756e-08
1802,0.0,0.0
1803,0.0,0.0
1804,2.4718509461507665e-09,0.0
1805,0.0,0.0
1806,5.76333825108577e-09,0.0
1807,2.8469551160981155e-09,1.7081731584767113e-08
1808,0.0,0.0
1809,0.0,0.0
1810,0.0,0.0
1811,0.0,0.0
1812,0.0,0.0
1813,2.8757416448144113e-09,0.0
1814,9.440030979135372e-09,1.5733386149463513e-08
1815,0.0,5.3944472000466703e-08
1816,0.0,2.3176038865813098e-09
1817,1.556873407970727e-09,0.0
1818,1.1921177378582115e-09,2.6226590676969863e-08
1819,2.070210003424222e-09,3.519356894798875e-08
1820,1.1866481131050932e-09,1.4239777357261119e-08
1821,3.94459531705138e-09,0.0
1822,0.0,0.0
1823,9.882686891060644e-10,1.7788837070042973e-08
1824,0.0,1.6842225392110777e-09
1825,2.641632912414593e-09,8.805443485471187e-09
1826,0.0,4.1397527184017235e-08
1827,7.373818444733615e-09,2.3043183361437514e-08
1828,0.0,1.1006761724274838e-08
1829,0.0,8.57317605795771e-10
1830,2.0873671680021744e-09,1.1480519646056564e-08
1831,1.4032085715598441e-08,1.091384405071949e-08
1832,0.0,5.411987746839486e-09
1833,0.0,1.0425265983826648e-08
1834,0.0,1.5868701908061666e-08
1835,7.563087933704082e-10,6.050470346963266e-09
1836,2.016224964762614e-09,2.688300027031687e-09
1837,0.0,1.3915781860163179e-09
1838,0.0,5.049729523420865e-09
1839,0.0,4.894032734625853e-09
1840,5.732719632334238e-09,1.0828470564661075e-08
1841,6.420548537278137e-10,8.346713098461578e-09
1842,4.695785538189057e-09,1.341653010911159e-08
1843,0.0,1.594865972620596e-08
1844,5.488561272137815e-10,7.1351298203126134e-09
1845,1.674068439427856e-09,2.7901139176833567e-09
1846,1.7563503984519002e-09,5.854501328173001e-09
1847,0.0,1.9954927488186058e-08
1848,0.0,3.620349886546137e-08
1849,0.0,8.379414495607307e-09
1850,1.3577992064028876e-09,1.3577992064028876e-09
1851,0.0,6.449438760824933e-10
1852,6.510545436100301e-10,1.6276363368206148e-08
1853,1.1943863675867306e-09,1.015228412448721e-08
1854,0.0,2.8576154775805662e-08
1855,0.0,4.2455496895854594e-09
1856,0.0,6.73034605824796e-09
1857,2.9289055625270066e-09,7.322263684272912e-09
1858,4.893676019968041e-10,2.0064071293290908e-08
1859,5.092173349652285e-10,3.5645213447565993e-09
1860,2.746310290291376e-09,9.612086238064421e-09
1861,1.4147891747029462e-09,5.659156698811785e-09
1862,1.3553959066214816e-09,2.936691068100572e-08
1863,0.0,9.489779628779615e-09
1864,0.0,2.8768367688059016e-09
1865,4.23615986733239e-09,4.706844247692743e-09
1866,9.731225603104576e-09,4.379051787850585e-09
1867,4.85281148598915e-10,5.338092634588065e-09
1868,0.0,5.433861360870651e-09
1869,4.883519144627257e-10,9.767038289254515e-09
1870,1.1468097582678638e-09,7.454262984651905e-09
1871,1.0621177271019633e-09,4.248470908407853e-09
1872,0.0,4.23313739617015e-09
1873,0.0,1.1972009161809183e-08
1874,5.974609140757536e-10,1.4936523129449597e-08
1875,5.721527140956084e-10,5.721527251978387e-09
1876,1.209202959984168e-09,1.0278225381910033e-08
1877,0.0,1.4843557938348795e-08
1878,0.0,7.2469061862534545e-09
1879,0.0,1.710611030603104e-08
1880,3.2089231272180996e-09,3.2089231272180996e-09
1881,1.3945015142624584e-09,4.880755410940907e-09
1882,3.3276925659464496e-09,7.986462158271479e-09
1883,6.319338941018771e-10,1.1374810426900694e-08
1884,1.9805090900604227e-09,1.9805090900604227e-09
1885,0.0,1.0957580620640783e-08
1886,0.0,1.0970888419947755e-08
1887,0.0,3.264462256069578e-09
1888,1.9021844099853524e-09,9.510921827882157e-09
1889,8.14467782106476e-09,5.6386231239713425e-09
1890,1.3108772956016423e-09,5.898947996740844e-09
1891,0.0,1.5935549213530464e-08
1892,0.0,1.4417578242387208e-08
1893,0.0,1.7243566796665277e-08
1894,0.0,1.5123694296903523e-08
1895,2.4074457982692365e-09,1.5648398132839247e-08
1896,0.0,4.1279202278587945e-09
1897,5.826713556089658e-10,6.409385022720926e-09
1898,5.6583548957434e-10,1.3014216371232123e-08
