year,deux_DET eaux_NOUN,deux_DET beaux_ADJ
1800,3.8673223912155663e-07,6.476979024228058e-07
1801,3.119349116786907e-07,5.429096141540413e-07
1802,7.250602038766374e-07,5.84076275345069e-07
1803,2.554944273924775e-07,6.709167159613116e-07
1804,2.644880510160874e-07,7.959360317499886e-07
1805,3.0703080255989335e-07,4.946607210509768e-07
1806,1.556101381083863e-07,8.472106998169693e-07
1807,1.9074599322266295e-07,4.4697194567788756e-07
1808,3.580396992219903e-07,6.277024766632167e-07
1809,4.947276579514437e-07,7.296668762535319e-07
1810,2.0593115834799391e-07,7.184189385611717e-07
1811,2.1310152220621603e-07,8.072787451851582e-07
1812,1.2802598803318688e-07,5.121039805544569e-07
1813,3.077043686516845e-07,8.56971013263319e-07
1814,9.125363931161701e-08,5.758419163726103e-07
1815,1.4834729711310501e-07,5.286558177886036e-07
1816,3.383701709935849e-07,5.214608940207199e-07
1817,1.977229260319291e-07,5.99396237532801e-07
1818,2.84916149784209e-07,6.210933563011167e-07
1819,2.6291667154509923e-07,6.707480579848379e-07
1820,1.96983592104516e-07,5.04325448957843e-07
1821,2.1202200173320307e-07,7.297501340985946e-07
1822,1.5539704634193185e-07,5.644421889883233e-07
1823,1.9765373338032077e-07,5.129114484248021e-07
1824,1.8779081756292726e-07,6.105306553649825e-07
1825,2.606411271255382e-07,6.982716378445275e-07
1826,3.805049288985174e-07,6.147973294901021e-07
1827,2.562401846262219e-07,5.290714923944506e-07
1828,1.742737225640667e-07,4.485255331587723e-07
1829,2.734843072005333e-07,5.846905892781251e-07
1830,2.2752301731543412e-07,6.690012028798265e-07
1831,2.229542468423773e-07,5.020368334385239e-07
1832,2.1783250758744543e-07,5.831417020374374e-07
1833,2.6294836175111413e-07,6.938593486438549e-07
1834,2.5016544213940506e-07,5.834082017486253e-07
1835,2.9269151013977535e-07,7.638718599878302e-07
1836,2.1371985781115654e-07,6.559452288001921e-07
1837,3.082345728655511e-07,7.33361680715916e-07
1838,2.379685055675651e-07,6.640394403234495e-07
1839,1.8177836125232716e-07,6.075592153820253e-07
1840,1.9554944685751252e-07,5.452453279986003e-07
1841,2.3370796498056734e-07,6.433389785343024e-07
1842,1.9319803179485007e-07,6.735098132537587e-07
1843,1.9374668625005143e-07,5.747424580704319e-07
1844,1.877087925095111e-07,5.658706498934407e-07
1845,2.2209307815046486e-07,6.065707687241684e-07
1846,2.3944911009543546e-07,5.842792418775389e-07
1847,1.65032645327301e-07,4.460196016964346e-07
1848,1.5125016261663404e-07,4.2237414987766897e-07
1849,1.5585712276333652e-07,6.770567253511217e-07
1850,1.6904599853262425e-07,4.67082919897166e-07
1851,1.5027193001060368e-07,5.153101518828862e-07
1852,2.0833745395520964e-07,5.638132165586285e-07
1853,2.538071157687227e-07,5.488205090387055e-07
1854,1.8964175563240815e-07,6.136079804264227e-07
1855,2.3668939874710304e-07,6.787572814914711e-07
1856,1.8275478141926982e-07,5.61725059355922e-07
1857,2.7580525463477557e-07,7.239277834969471e-07
1858,2.025981833408963e-07,6.963701082440821e-07
1859,2.597008528226752e-07,8.10164756614995e-07
1860,2.4716792201839866e-07,7.190756150521338e-07
1861,2.1316155418560356e-07,6.399562693104599e-07
1862,2.512000492060906e-07,7.102274679482434e-07
1863,2.2625632700723486e-07,6.373136258730483e-07
1864,3.1932889443808676e-07,7.594849193992559e-07
1865,3.0406213258338255e-07,7.130869335014722e-07
1866,3.0604706369175005e-07,8.475897459447879e-07
1867,2.0964146330015865e-07,8.628298999724393e-07
1868,3.7197252522602753e-07,6.179782729986982e-07
1869,2.500361775403803e-07,6.51949825680731e-07
1870,2.9645032917358094e-07,5.613634073142748e-07
1871,3.313807326321694e-07,6.765690017118686e-07
1872,2.3100835733202985e-07,5.920345245158387e-07
1873,2.4722197355941944e-07,6.548688986640627e-07
1874,2.4973866263877653e-07,6.697536818478511e-07
1875,3.2269414429464405e-07,7.026035149237941e-07
1876,2.9867314310649817e-07,8.047245927400581e-07
1877,3.6861502650253897e-07,7.390855003563956e-07
1878,2.6571990474622e-07,7.059694695499275e-07
1879,3.048553307571922e-07,7.654984557348143e-07
1880,2.7147488346201953e-07,7.528133778578194e-07
1881,3.158545851533745e-07,7.77434578935754e-07
1882,3.108064907664243e-07,7.567172843891967e-07
1883,3.4756363653798417e-07,7.911812360816839e-07
1884,3.630933216314247e-07,6.971391925958415e-07
1885,2.945655560582239e-07,5.981549691114196e-07
1886,3.4913240387624e-07,6.485731347538604e-07
1887,3.832478638887693e-07,5.680164392174447e-07
1888,3.265416665954035e-07,6.106012087059298e-07
1889,2.618827292799608e-07,6.258871394493326e-07
1890,2.91670203989014e-07,5.577782786758689e-07
1891,2.5305653839069464e-07,5.908902238616065e-07
1892,2.3757662592771567e-07,5.434800272041684e-07
1893,2.4818419330774333e-07,5.961347326888244e-07
1894,2.6340435121952055e-07,6.169207082962203e-07
1895,2.5518925816925275e-07,5.88018643554733e-07
1896,2.2054888337841305e-07,6.050351899489215e-07
1897,3.123118581527251e-07,6.024821885830534e-07
1898,2.3878257504605926e-07,5.194369876448945e-07
1899,3.0346405388570474e-07,5.914508918181127e-07
1900,2.922562937213158e-07,5.72573163992729e-07
1901,2.0957771351692855e-07,5.096929740489031e-07
1902,2.563168124414261e-07,4.3603320420970704e-07
1903,2.543503780927381e-07,4.973602827362811e-07
1904,3.257022891389738e-07,4.83178794752348e-07
1905,3.158384638268785e-07,4.845952616960858e-07
1906,2.6441109790553696e-07,5.097886983662647e-07
1907,3.342848184928471e-07,5.693127747008475e-07
1908,3.153111804987674e-07,5.196249546202125e-07
1909,3.2455802134734313e-07,5.517486556527729e-07
1910,3.014100866671754e-07,5.440345276497283e-07
1911,2.2185960579790276e-07,5.820489548113983e-07
1912,2.7870402474761136e-07,5.485520659931353e-07
1913,2.487102257475726e-07,5.578745003731456e-07
1914,2.2634993790404678e-07,5.109615486276198e-07
1915,4.1703897180056515e-07,3.746282182248706e-07
1916,2.5820535798359856e-07,4.2081978435248857e-07
1917,2.9499682341338485e-07,4.287871995245496e-07
1918,2.6533529240424514e-07,3.4688856231923637e-07
1919,2.0349345597470148e-07,5.036693124793601e-07
1920,2.1126525950876385e-07,4.740216965615218e-07
1921,2.0219235352669784e-07,4.324038798131369e-07
