year,vastes_ADJ bois_NOUN
1800,0.0
1801,0.0
1802,0.0
1803,1.950339223455444e-09
1804,3.213406074564773e-08
1805,0.0
1806,2.305335300434308e-08
1807,5.693910232196231e-09
1808,2.2660739951163578e-09
1809,2.259030518203531e-09
1810,4.680253518074551e-09
1811,3.5099073869560016e-08
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,1.4305412854298538e-08
1819,0.0
1820,1.0679833017945839e-08
1821,0.0
1822,1.4035862250239006e-08
1823,0.0
1824,2.105278085196005e-08
1825,2.641632912414593e-09
1826,1.3211976401805714e-08
1827,3.133872894522938e-08
1828,7.337841001486822e-09
1829,1.2859763920403111e-08
1830,4.174734336004349e-09
1831,1.4032085715598441e-08
1832,5.411987746839486e-09
1833,2.3167256557599103e-08
1834,2.333632664885954e-08
1835,3.781543966852041e-09
1836,4.032449929525228e-09
1837,1.3219993100221927e-08
1838,1.830527018853445e-08
1839,1.677954131196202e-08
1840,2.5478755105723394e-08
1841,1.0914932957462042e-08
1842,2.95163662400455e-08
1843,2.3036953678001737e-08
1844,1.6465683927435748e-08
1845,1.897277535078956e-08
1846,1.8734404250153602e-08
1847,1.1865092020002521e-08
1848,1.930853166243196e-08
1849,1.256912263158938e-08
1850,1.6972489191857676e-08
1851,2.0638204034639784e-08
1852,9.114764054629632e-09
1853,1.4929829816878737e-08
1854,1.0910895298366086e-08
1855,6.8990182455763716e-09
1856,6.73034605824796e-09
1857,8.78671624349181e-09
1858,2.202154192332273e-08
1859,1.1202780925145817e-08
1860,1.6935580049448618e-08
1861,1.6977470096435354e-08
1862,9.939570055905733e-09
1863,1.0988165932701577e-08
1864,2.1576274988888144e-08
1865,1.4591217123438582e-08
1866,1.4110277390955162e-08
1867,9.7056229719783e-09
1868,1.333765986544222e-08
1869,1.12320943657096e-08
1870,1.77755516972411e-08
1871,1.5931766128574054e-08
1872,1.3304146229131675e-08
1873,3.591602570907071e-09
1874,8.961913877669758e-09
1875,1.4303817685856757e-08
1876,6.04601479992084e-09
1877,4.9478527941460015e-09
1878,9.662541877730746e-09
1879,2.1993571408529533e-08
1880,1.0268554007097919e-08
1881,7.669758161910067e-09
1882,1.1979693681496428e-08
1883,1.516641390253426e-08
1884,7.922036360241691e-09
1885,8.379326565943757e-09
1886,1.097088819790315e-08
1887,1.9586773092328258e-08
1888,1.1413106904001324e-08
1889,7.51816386923565e-09
1890,1.9007721618891082e-08
1891,1.0836173736095134e-08
1892,3.761107425503951e-09
1893,4.310891643655168e-09
1894,6.9316934414587195e-09
1895,1.2037228991346183e-08
1896,1.2383760683576384e-08
1897,5.826713334045053e-09
1898,1.0185038590293516e-08
1899,2.3768587098516036e-08
1900,1.453494924419374e-08
1901,7.824234593556412e-09
1902,1.276673788908056e-08
1903,2.4841012802312434e-08
1904,3.2247751136083025e-09
1905,9.28936660926638e-09
1906,1.4918134283448126e-08
1907,1.491424583832668e-08
