year,des_DET ailes_NOUN,des_DET belles_NOUN
1800,3.6818167217234077e-06,6.256887319366911e-07
1801,2.4954794355380727e-06,3.667021246656077e-07
1802,3.6297766996540304e-06,6.310709181889251e-07
1803,4.261491294954567e-06,4.193229408144816e-07
1804,3.0873417635746137e-06,3.559465362457104e-07
1805,2.4022316438276903e-06,5.230894926100405e-07
1806,3.561743077362678e-06,5.993871887710611e-07
1807,2.052654574313806e-06,5.6369712808646e-07
1808,3.2178251032632943e-06,5.846470845227714e-07
1809,2.3245425175844048e-06,4.540651241669025e-07
1810,3.03982455918117e-06,4.727056044373512e-07
1811,2.785362349655429e-06,4.211888864347202e-07
1812,2.144435489626062e-06,4.4809097587972246e-07
1813,1.9267469228978484e-06,5.377636871362057e-07
1814,1.721232369078507e-06,2.548808470947961e-07
1815,1.604847986058644e-06,3.6142795334370703e-07
1816,2.5563171650588856e-06,1.6918508016772194e-07
1817,4.321880638258335e-06,3.1293156665945787e-07
1818,3.3200478242179088e-06,2.9922155597716937e-07
1819,3.585603671751869e-06,4.306036853751749e-07
1820,2.395842436442308e-06,3.3819472466944944e-07
1821,2.8430671648038697e-06,2.9485849317723023e-07
1822,2.7770957018447007e-06,3.5991961055970023e-07
1823,2.9292284811077707e-06,3.1031635572276173e-07
1824,2.09854129096243e-06,4.0084495012138177e-07
1825,3.5864570051558076e-06,2.738492792531133e-07
1826,2.246916904979912e-06,2.6688192988899573e-07
1827,1.7420646134524986e-06,2.1937110394887327e-07
1828,2.645291662162208e-06,2.1554908258281102e-07
1829,3.3666862364611916e-06,2.786282200517576e-07
1830,2.43178281422729e-06,2.0664935362901815e-07
1831,2.609967932443169e-06,1.7462150991853775e-07
1832,2.831822605742218e-06,2.773643742459697e-07
1833,2.67350146998524e-06,2.687401758905139e-07
1834,3.0701273345812297e-06,1.838902625728167e-07
1835,2.7121232264448736e-06,2.0042183734858554e-07
1836,3.662136709436936e-06,2.338821083469611e-07
1837,2.4463945429431533e-06,2.1847777809114177e-07
1838,2.7098111310408513e-06,2.6321716362076586e-07
1839,2.3463390856903743e-06,2.1533743854718068e-07
1840,2.15550265103559e-06,1.7198159119047318e-07
1841,2.541895234742242e-06,2.073837173099946e-07
1842,2.4015588842019042e-06,2.448516740471973e-07
1843,2.514572081224742e-06,1.707097370129418e-07
1844,2.2832414412476965e-06,1.6355912846321985e-07
1845,2.2281849361149852e-06,1.5959451493685606e-07
1846,2.5297300965121394e-06,1.633405866119375e-07
1847,2.0790876673615344e-06,1.3321262226639874e-07
1848,2.176232372974596e-06,1.6573157357591128e-07
1849,2.207975822621222e-06,1.3239475227244668e-07
1850,2.4888458867167174e-06,1.5818361287500693e-07
1851,1.9277373208836934e-06,1.7413485275952212e-07
1852,2.5423680991565334e-06,1.8359737641304719e-07
1853,2.5141833859265716e-06,1.6124215984625323e-07
1854,2.1494463302573763e-06,1.7041779210025254e-07
1855,2.582355694613625e-06,1.777823968041048e-07
1856,2.245864727967728e-06,1.88967404390894e-07
1857,2.5295980883299762e-06,2.855682907920709e-07
1858,2.4899023998159464e-06,2.070024920364233e-07
1859,2.645383954558156e-06,1.929933659550187e-07
1860,3.210894529814823e-06,1.9864978062500427e-07
1861,2.6244337902880943e-06,1.575131900466431e-07
1862,2.627660830256673e-06,1.7620146142149906e-07
1863,2.7775087119152886e-06,2.2325955040258805e-07
1864,2.5368904701394968e-06,1.8411755631220217e-07
1865,2.5407545223288253e-06,1.8544966096101234e-07
1866,2.652245701284528e-06,2.218719499791355e-07
1867,3.180047258410923e-06,1.785834573553302e-07
1868,2.586518171199259e-06,1.8425730130555706e-07
1869,2.7440494854147346e-06,1.9485240931871317e-07
1870,2.6479838286519453e-06,1.7546189168271553e-07
1871,2.1869004989127916e-06,1.2639200663855377e-07
1872,2.493317971641318e-06,1.239704570110689e-07
1873,2.5183120619942656e-06,1.7359413639894683e-07
1874,2.71008264363104e-06,1.5772968176008817e-07
1875,2.2668691102012417e-06,1.853774829196908e-07
1876,2.367014884541163e-06,2.3277157379375524e-07
1877,2.674314547590484e-06,2.0595436911463594e-07
1878,2.851053711339091e-06,2.0653683630023068e-07
1879,2.3924116803186735e-06,1.765595001312903e-07
1880,2.293096414973661e-06,1.9446074350781828e-07
1881,2.1656607920306215e-06,2.0778072112870305e-07
1882,2.3573374505758693e-06,1.943372480717187e-07
1883,2.2307266540622095e-06,1.5292799915300748e-07
1884,2.6367177881070347e-06,1.9144921825642314e-07
1885,2.2849779348632637e-06,1.4309310669702313e-07
1886,2.2806542183673173e-06,1.3552273681050053e-07
1887,2.185230982831854e-06,1.6257022150689693e-07
1888,2.2731102937711967e-06,1.7880533986769365e-07
1889,2.1313994942318004e-06,1.8106245436300128e-07
1890,2.2062065312411505e-06,1.441965089554742e-07
1891,2.172971587555139e-06,1.3704573298412015e-07
1892,1.9984017818330813e-06,1.5232484784633016e-07
1893,2.066764640318297e-06,1.484178409061343e-07
1894,2.1885246077602005e-06,1.808541723047341e-07
1895,1.8531314367464802e-06,1.3421510436373296e-07
1896,2.0492176773245774e-06,1.6098889776827718e-07
1897,1.8237613517158024e-06,1.963602487276006e-07
1898,1.806146858740476e-06,1.7710650290769792e-07
1899,1.857819114547965e-06,1.74671475505761e-07
1900,1.8973299269475774e-06,1.7805312568786036e-07
1901,1.6224109451457025e-06,1.2518775083236733e-07
1902,2.277880600587423e-06,1.3454177905103393e-07
1903,1.88251676291884e-06,1.4526593106189978e-07
1904,1.7548151234336729e-06,1.2630369283783693e-07
1905,1.7515616157481873e-06,1.3263151132925088e-07
1906,1.6836916323370588e-06,1.455804283234663e-07
1907,1.9897661260870336e-06,1.6662813129286747e-07
1908,2.044120080313405e-06,1.6747836517616577e-07
1909,2.5601576894018763e-06,1.5897842775558502e-07
1910,2.5438156754375996e-06,1.6192776230994355e-07
1911,2.280844398683257e-06,1.2875304722381742e-07
1912,2.215045896036827e-06,1.260679922676644e-07
1913,2.250058450670167e-06,1.5908969808187123e-07
1914,2.0927323589603475e-06,1.8349077968160543e-07
1915,1.748265066936483e-06,9.542416989916092e-08
1916,2.221664878732099e-06,1.4173825735319667e-07
1917,2.0847173800575547e-06,1.3050045044593617e-07
1918,2.2478838772599374e-06,1.5276879938852517e-07
1919,2.3535261490792436e-06,1.1233575342162183e-07
1920,2.099779919717548e-06,1.3478573057668086e-07
1921,2.211242204452901e-06,1.4161037364956996e-07
1922,2.5933443765779884e-06,1.896129393497148e-07
1923,2.5584434553138635e-06,1.6773197941688522e-07
1924,2.375926314357457e-06,1.9337436785171747e-07
1925,2.5592759556047895e-06,2.1446447218131937e-07
1926,2.494505885408671e-06,1.4044133767043832e-07
