lesDEThommesNOUN_count,lesDETsommesNOUN_count
46532.00182652745,2655.0000004612657
57636.99885806345,2676.9999483753627
62571.99704616315,2788.0000092299338
68072.00233529358,3003.000118781152
61243.00048858763,3354.0001521024296
44485.00213578247,1936.0000462774215
40542.99989928953,3139.999934672376
42617.000064525564,5202.000186975482
51239.99781748932,5045.999885667884
47243.99983625236,4097.999916335131
54917.997729826486,4540.999894856657
35590.99962325184,4577.000036966922
36938.00126608827,3255.0000560805693
37788.99894902628,2581.0000249956365
39648.000271938894,2772.9999170836604
46091.99869570062,3119.999924122191
62890.003609704276,3452.000063093485
96374.99712189668,4320.999889413014
137708.0003564422,7757.000157274535
148933.9874080928,8181.999870649731
143581.00343125206,6774.000146052245
168019.00421906402,6732.999797024405
146455.01033342548,6907.999941699508
133812.0001380995,6622.000175970612
160079.99701149584,7946.000130075072
159707.0013211407,8868.999612433778
152136.0005658266,10745.999823023523
143098.00145734657,11166.000246255317
137929.99542356125,10080.999657808063
152703.00328700995,12031.00052546822
128553.99928879383,8602.99968499773
88743.0053799311,5717.000001297108
96540.99865432673,6185.999941914748
121232.00128909523,8517.0001070075
157325.00196009106,12022.000101718724
190949.98932286465,11389.999459110797
215933.9914924158,12035.000114682629
196102.00412997013,12088.000012628443
204666.00676665906,15174.000464832745
177426.00314005042,14694.999754220455
219897.99822209426,14820.000013966348
204897.99016870785,15765.999278335896
212135.99909743425,14966.999509848876
264062.9878564427,14837.000228665553
263958.0119102821,17159.00069216428
253924.00096660282,17445.999636777917
235341.0031291245,15498.00004938598
246415.99077167787,23801.998914144013
173973.996399915,14616.00044940359
153161.99530120942,15004.999540236811
188118.00673276366,17239.000260305926
206349.99514747644,18704.999301168325
199766.99988266962,18624.000753279215
221373.00801043032,15742.00062834819
251308.99151787453,17415.999008669678
247712.00259318354,17661.000311485757
245917.00199704757,19540.999799386027
259539.98524577587,16088.99915229651
263119.00591357565,17721.00126076771
248670.99564843276,17164.999588238457
272006.0062680693,19151.001323801727
282555.98895624257,18466.99880145244
266309.9938107139,22079.998996503437
253156.01486115702,18208.001114938223
269072.0160835524,16958.001079444588
272720.0089453686,19113.99978991614
256467.01219079265,16600.00048862927
236205.99380932454,18523.00010151277
238988.9907832202,18195.99881403356
243265.00018736877,15034.999200018397
209529.0024702112,14110.000586553964
121859.00027465684,10166.000570109885
202512.0007824123,15671.999900537628
178913.00029468487,14346.99993956093
168731.0037903363,15632.000347029718
184008.997029577,16178.00003741931
168342.00200683426,16335.000188921807
154815.99056502484,15175.99927710398
161172.99860953877,16241.00009360313
173889.99155943745,16337.999783071076
147749.99129803258,16336.998867786737
127762.99853977804,15436.999480746043
134848.0070436673,13954.999969350742
133015.00245567766,16180.000605964306
134365.99558780954,15743.999106057396
132534.999406395,17056.000958555727
127498.99854800972,18126.99864822878
136267.00106337192,16817.999563821846
134018.99063694806,18208.999717904604
138196.9997335456,17735.00033158957
124459.00099926871,19112.000717046307
124394.99672123189,20456.999597259484
130290.00140613962,19340.000352655967
131444.99922681478,19331.000011118947
127780.99734976246,19027.00007261108
141704.9972142785,20691.99951656777
141677.00948111087,21814.000011966567
129683.00158879266,21144.000811098715
143605.00314511097,21373.0015309526
140892.0011235584,21574.999369952784
151368.00002063919,21406.000730424857
139763.99212995011,22395.9993722792
136400.00118121304,23525.001077726
142545.00045576255,23091.000043537013
142377.99540703083,23421.99941447569
146289.00041203006,24207.999382386744
149120.0012416601,24684.998784509615
149258.99316690874,24153.999347345383
156123.00218742396,22481.000659782945
136134.9960152276,21417.000314185563
152297.00130979996,22034.999037014622
148464.0023471621,22071.00105474849
145088.99403672857,23768.000092917595
145961.9921661282,22007.99938527779
115345.00209582224,19226.000074851414
76343.0051735477,12749.000659913841
87338.00364581493,13380.000701648156
91079.99997412658,12326.999328788272
80660.0002658339,11617.000577332983
94022.99754885213,16123.000410137503
107853.00275163792,19276.000683075392
96993.00086667985,18706.00133951692
101449.99651603511,17510.99925146926
73670.9992291107,12277.999972557001
58832.000937797624,9428.000020822972
70631.99710360834,11726.999706041226
68049.99975269915,10011.000081689233
73374.00530579957,8958.000056745273
62911.001871200104,10968.00046335615
63121.00180609576,9939.000070897182
68833.0052481697,10898.000334421593
61637.00191119379,10133.000649079993
62458.000697011084,9866.999963080963
58931.99773626127,10188.999381047035
56701.0019503742,10354.000564241978
57041.00071739078,9389.000142223285
58324.998855924736,9392.999293383633
54745.99794966656,9456.99964137896
57715.00068170254,8918.000016575053
46515.000874562706,8266.999539149494
26492.999586290716,4749.99990442127
27387.00069802152,3902.0001516559664
26798.000674734634,2987.9999514445612
32214.00019956483,2954.999886009783
29091.999803461564,2717.9999080925377
46325.0015295483,3978.9999044596016
68074.99805999154,6607.999744068345
77475.99811086588,8177.000119812448
80273.99535201969,7705.9995676248745
81539.99640800404,10688.999298249582
80675.00024015178,9314.000505343927
78401.00297770635,8142.999997770104
73074.99627493149,9003.99967058441
73969.99657034676,8156.000035648875
83917.00112203062,8759.999863654748
82048.99796250171,8688.000362769537
91652.99964202297,8669.000349840804
84748.99568228812,8812.99975965908
96909.99996322005,9865.000222675773
104589.99726496443,11072.000011803275
118090.9898217192,10420.999619771801
135269.0054375965,10901.99991900471
142280.99634536894,11370.999725005007
135901.99740335278,9925.999897999354
160224.00027707525,11338.999905277647
166017.01109256246,14181.000863264855
157129.00445207302,13165.000568663809
194307.00985674534,13666.000107681844
210796.0010245038,14090.000162479455
197658.99203907882,20597.00020825127
192283.99707288988,17125.999862630426
164215.99815135935,12393.000108370567
161479.0106751706,13186.000668334475
144932.0002977649,12267.999772055682
138475.9971032616,13526.999852078072
130565.99933171812,13316.000148489755
140125.99776845865,12100.999784537391
137118.9998453822,10886.999874641819
139538.99689501358,11374.99982900974
146165.00693505903,10783.000025205623
144071.00520958478,10789.000253138507
131031.99549030895,8467.999828493917
143917.0086943396,9537.999866683096
132450.9928317458,9435.99990934495
150709.00583734448,10417.00005281493
142738.99476181387,10545.000053667378
139791.99570657374,9629.000247998694
134387.9897583984,10521.999533696748
143490.9953806012,9304.999710810425
160632.00349059928,12530.000208472737
158690.00283914077,10831.999937375876
144888.99333872963,9579.000220583748
162004.9945901985,9708.999861338767
162597.9956154,9965.999826483758
177045.0056321425,10275.000066972603
172476.00052427,10591.999630223585
173982.0095949788,10323.000270514474
195821.00333648486,11509.999885013536
205004.995750709,10740.99979271438
206712.99864281496,11493.000151084843
223072.00356223443,11563.99997697107
215760.99199029902,12526.00016812971
227380.00955473434,11790.00045820153
233523.99179542082,11763.999726144424
222429.00675002867,10835.000361387467
222460.99630358588,10418.999894418135
244288.0039925115,10783.999663832115
257677.01000417696,10529.00008565843
227742.99611606996,10147.000028965402
212060.9945529845,9037.99975866397
217838.00248709432,7890.999907718315
259377.99517078238,8584.999890760935
299785.00603189075,8210.000389179662
365711.0239370954,13878.00051851671
515016.99103941605,17950.00034332933
454198.0006153375,18893.999523538077
513477.9921283788,19164.99977847087
400563.9771223917,16442.999046297213
383416.01159833476,12686.000331420753
373222.0138251943,14058.001066387833
