year,long_ADJ enseignement_NOUN
1919,1.2890987832747669e-08
1920,4.619061400035207e-08
1921,3.4077363153528495e-08
1922,1.3280283539529592e-08
1923,2.7601466001669905e-08
1924,1.804827398643738e-08
1925,1.2097995494286806e-08
1926,1.89484357093761e-08
1927,1.3379070296082318e-08
1928,2.6279895593006586e-08
1929,2.33948540540041e-08
1930,1.470504518152893e-08
1931,1.4826963656844327e-08
1932,3.1782654730250215e-08
1933,1.7205993074753678e-08
1934,2.036868629318178e-08
1935,2.393656828303392e-08
1936,2.182448710641438e-08
1937,2.1404900962807005e-08
1938,1.8151300906765755e-08
1939,1.3764645423464117e-08
1940,2.5357829613881222e-08
1941,1.7709016475464523e-08
1942,1.8205270180260413e-08
1943,3.774205836748479e-08
1944,1.927911696952833e-08
1945,1.742803235060819e-08
1946,2.227376683094917e-08
1947,2.1457568166738383e-08
1948,1.522064252412747e-08
1949,1.767061474922116e-08
1950,1.1698897850465073e-08
1951,6.396841278899501e-09
1952,1.1599284199803606e-08
1953,2.9089333608567358e-08
1954,1.4658803948464083e-08
1955,1.3139850985055546e-08
1956,1.3953826538681824e-08
1957,1.4136060322300636e-08
1958,1.0753916868111446e-08
1959,6.975672928177801e-09
1960,1.1765417085030094e-08
1961,1.042223907177231e-08
1962,8.878739354845067e-09
1963,1.4871922360271128e-08
1964,1.9468698597702172e-08
1965,1.258569987117042e-08
1966,1.7171130961557424e-08
1967,1.6763141319486863e-08
1968,1.4821672555953569e-08
1969,1.2716922154210053e-08
1970,1.3796175313274261e-08
1971,1.798439130951124e-08
1972,1.5390440200047095e-08
1973,1.0475087242056702e-08
1974,6.750685899170605e-09
1975,3.998036124386317e-09
1976,7.427584713948221e-09
1977,6.464459856303506e-09
1978,1.0693064544931019e-08
1979,1.0533552252667278e-08
1980,2.8425753417771205e-09
1981,8.223214553737535e-09
1982,6.207502289967692e-09
1983,1.7682885711245433e-08
1984,6.958810083723677e-09
1985,8.421781161338515e-09
1986,1.4986213381362745e-08
1987,1.588812370556525e-08
1988,8.395175221664886e-09
1989,8.232183379419666e-09
1990,5.44865097484859e-09
1991,1.055063725274863e-08
1992,1.3774860363469088e-08
1993,1.3294098266669607e-08
1994,1.4242302004419116e-08
1995,1.6809597269684673e-08
1996,9.074756945892659e-09
1997,6.712852385071244e-09
1998,5.721755180765342e-09
1999,5.941261621567051e-09
2000,3.534425307982758e-09
2001,1.5334240988096326e-08
2002,1.1829298207644001e-08
2003,5.8336921959778465e-09
2004,9.250061605570181e-09
2005,4.503749373441224e-09
2006,8.235780057930242e-09
2007,7.190063044948403e-09
2008,8.089135583588813e-09
2009,7.629108011997232e-09
2010,6.613310343794865e-09
2011,6.883149605840799e-09
2012,3.744677901096338e-09
2013,5.8571623662295735e-09
2014,3.897801373331511e-09
2015,5.763095889399494e-09
2016,8.49249437440136e-09
2017,6.5405894034142875e-09
2018,4.3884935685412074e-09
2019,8.16316081397872e-09
