year,long_ADJ épi_NOUN,long_ADJ répit_NOUN
1800,1.194782499602809e-07,0.0
1801,2.6193008650921e-08,0.0
1802,1.4545960880241182e-07,0.0
1803,2.5354410126965377e-07,0.0
1804,1.507829097135982e-07,0.0
1805,1.5635826855486812e-07,0.0
1806,9.797675204481493e-08,5.76333825108577e-09
1807,3.9857372513552036e-08,0.0
1808,7.704651494577774e-08,0.0
1809,1.4683698168482806e-07,0.0
1810,2.3401267590372754e-09,1.1700633351097167e-08
1811,8.273353557797236e-08,0.0
1812,2.1337665856435706e-08,0.0
1813,5.751483289628823e-09,0.0
1814,9.440030979135372e-09,0.0
1815,4.5852800667489646e-08,2.697223555614414e-09
1816,1.7382029682266875e-07,0.0
1817,1.6969920579867903e-07,0.0
1818,7.867976847819591e-08,2.384235475716423e-09
1819,9.00541365922436e-08,2.070210003424222e-09
1820,2.3732962262101864e-09,1.1866481131050932e-09
1821,4.141825016290568e-08,0.0
1822,7.418955760840618e-08,0.0
1823,9.38855251320092e-08,7.906149512848515e-09
1824,3.3684450784221553e-08,0.0
1825,5.107157008410468e-08,5.283265824829186e-09
1826,8.807984386294265e-08,2.642395191543301e-09
1827,1.7881509961625852e-07,4.608636583469661e-09
1828,3.210305266065916e-08,0.0
1829,7.630126930280312e-08,1.457439946506156e-08
1830,2.1917355041978226e-08,7.305785310052215e-09
1831,6.548306430431694e-08,3.1182412207897414e-09
1832,2.976593194148336e-08,2.705993873419743e-09
1833,1.50587169400751e-08,0.0
1834,2.5203233278148218e-08,9.334530925997342e-10
1835,6.277362984974388e-08,1.2100940693926532e-08
1836,3.965242711956307e-08,7.392825018825988e-09
1837,3.6181031504156635e-08,2.0873671680021744e-09
1838,3.28232410140572e-08,4.418513555037862e-09
1839,2.027527834513876e-08,6.9914749545318955e-09
1840,1.3376346252869098e-08,1.9109066329292546e-08
1841,1.6051371787284552e-08,1.926164561183441e-09
1842,1.2074877098200432e-08,1.0733224087289273e-08
1843,6.497602011990011e-09,2.3627644285539873e-09
1844,1.4270259640625227e-08,9.879410178825765e-09
1845,3.459741293454499e-08,3.348136878855712e-09
1846,1.9905304071698993e-08,1.8734404250153602e-08
1847,1.77976389181822e-08,2.6966118227278457e-09
1848,8.84974404868899e-09,2.413566457803995e-09
1849,3.5193544078993e-08,4.1897072478036534e-09
1850,2.7834882843080777e-08,1.2220192857625989e-08
1851,1.2253933334704925e-07,1.805842941848823e-08
1852,4.687592625174375e-08,1.9531636308300904e-09
1853,2.329053394589664e-08,1.7318601663873778e-08
1854,3.16935526711859e-08,3.117398783558656e-09
1855,5.094659627502551e-08,1.0083180512765466e-08
