year,long_ADJ habit_NOUN
1800,3.144164395507687e-08
1801,4.524246932646747e-08
1802,3.3567602031325805e-08
1803,1.755305234496518e-08
1804,4.2021465418429216e-08
1805,2.2743021688143017e-08
1806,6.916005901302924e-08
1807,7.971474502710407e-08
1808,7.024829073998262e-08
1809,3.840352036377226e-08
1810,5.616304221689461e-08
1811,3.008491944456182e-08
1812,2.1337665856435706e-08
1813,3.738464116054274e-08
1814,8.181360300341112e-08
1815,1.3486118000116676e-08
1816,5.0987285504788815e-08
1817,6.85024303948012e-08
1818,3.814776761146277e-08
1819,5.693077653745604e-08
1820,3.797273961936298e-08
1821,3.0570614484304315e-08
1822,6.316138012607553e-08
1823,2.7671523739059012e-08
1824,3.536867154707579e-08
1825,3.434122675116669e-08
1826,7.927186018719112e-09
1827,5.1616730445402936e-08
1828,3.3020285172824515e-08
1829,2.0575622983187714e-08
1830,6.78394300734908e-08
1831,5.14509785887185e-08
1832,3.6530916958099624e-08
1833,1.7375443306377747e-08
1834,2.8937046536725575e-08
1835,2.0420337421001022e-08
1836,3.024337402735e-08
1837,4.0355768504696243e-08
1838,2.5248647617104325e-08
1839,3.5656523067473245e-08
1840,1.592422194107712e-08
1841,2.632424944692957e-08
1842,1.9453969102301016e-08
1843,2.8943864194275193e-08
1844,2.8540519281250454e-08
1845,1.2276501593078137e-08
1846,2.2247105491146613e-08
1847,3.55952778363644e-08
1848,1.367687652020777e-08
1849,2.8490010350878947e-08
1850,1.4935791270431764e-08
1851,1.4188765717904062e-08
1852,8.463708844885787e-09
1853,3.3442816516071616e-08
1854,1.7665259477439577e-08
1855,2.0697054736729115e-08
1856,4.193523395201737e-08
1857,3.4658715009072694e-08
1858,2.1532175153993194e-08
1859,4.7357211485632433e-08
1860,4.943358788978003e-08
1861,4.8574428035408346e-08
1862,2.5752521892741242e-08
1863,2.7969877081091e-08
1864,1.8699438442126848e-08
1865,1.694463946932956e-08
1866,1.897589108068587e-08
1867,1.1161466417775046e-08
1868,1.7289560005906424e-08
1869,2.6859355628516823e-08
1870,1.834895613228582e-08
1871,2.0180236148803488e-08
1872,6.652073114565837e-09
1873,1.855661402316855e-08
1874,1.8521287614703397e-08
1875,3.2612703648737806e-08
1876,2.418405919968336e-08
1877,2.8450154232473324e-08
1878,1.3285995414946683e-08
1879,2.6270098985037293e-08
1880,2.631317030932223e-08
1881,1.673401861523871e-08
1882,1.3976308999019693e-08
1883,1.9589950994713945e-08
1884,9.902545450302114e-09
1885,3.0939052209078e-08
1886,2.3232470169887165e-08
1887,2.9380160526670807e-08
1888,1.0779045211961602e-08
1889,8.771191772893872e-09
1890,1.2453334363726754e-08
1891,2.4859458491732767e-08
1892,2.6327752422616868e-08
1893,3.387129154930335e-08
1894,1.5753848003896564e-08
1895,1.745398137131815e-08
1896,2.181900704556483e-08
1897,1.6897470089816125e-08
1898,1.640922953072277e-08
1899,9.39688327150634e-09
1900,2.595526638060619e-08
1901,8.941982265753268e-09
1902,1.1293653123800595e-08
1903,1.83607493653426e-08
1904,8.061937784020756e-09
1905,9.28936660926638e-09
1906,1.4403716441790948e-08
1907,1.5942815068115124e-08
1908,1.6698722404839828e-08
1909,1.6502950117569526e-08
1910,1.5498036631811374e-08
1911,1.3832972989291648e-08
1912,6.772247651554153e-09
1913,1.113627856597077e-08
1914,8.705766774141921e-09
1915,8.246533234057551e-09
1916,1.0987461607214755e-08
1917,1.0966424435210342e-09
1918,2.067547733020092e-08
1919,7.366278698128781e-09
1920,1.0601124422748853e-08
1921,1.741731914250977e-08
1922,2.1396012073182646e-08
1923,1.0615948120573648e-08
1924,2.4494086758863887e-08
1925,1.6497267552040284e-08
1926,1.0031524944054127e-08
1927,1.6723836537835268e-08
1928,1.0283437212876834e-08
1929,1.7824650200282122e-08
1930,1.05036033204442e-08
1931,2.2810713318222042e-08
1932,1.53433514782364e-08
1933,1.0323596200123575e-08
1934,4.7926320689839486e-09
1935,9.574627313213568e-09
1936,1.6974599503782883e-08
1937,1.2591118148108649e-09
1938,3.8895642262559704e-09
1939,7.647025235257843e-09
1940,2.5357829169792012e-09
1941,1.1806010391524069e-08
1942,6.068423541449874e-09
1943,5.806470415592457e-09
1944,0.0
1945,1.5249527862692958e-08
1946,2.227376683094917e-08
1947,1.0728784083369192e-08
1948,5.435944139264848e-09
1949,1.47255123650325e-08
1950,1.808011518278363e-08
1951,1.5992101864981123e-08
1952,2.1089607837865287e-09
1953,4.3095309543161875e-09
1954,6.840775057526116e-09
1955,4.6928039232341234e-09
1956,1.2209598665435806e-08
1957,8.835037590415595e-09
1958,1.1581140491045971e-08
1959,4.650448914844674e-09
1960,7.612916519406099e-09
1961,1.042223907177231e-08
1962,1.0781326054143392e-08
1963,7.759263453976928e-09
1964,9.125952438182594e-09
1965,6.0192477668863376e-09
1966,1.606331601067268e-08
1967,1.0846738618397467e-08
1968,9.88111459321317e-09
1969,1.3171097990039016e-08
1970,1.3336302728816918e-08
1971,1.2332153964678128e-08
1972,9.747279428040656e-09
1973,8.821126051827832e-09
1974,7.313243344242437e-09
1975,9.138368284311582e-09
1976,9.712995741040231e-09
1977,9.990529292736028e-09
1978,8.910887139279566e-09
1979,4.096381456264453e-09
1980,7.95921106799824e-09
1981,6.958104314946922e-09
1982,6.2075020679230875e-09
1983,1.0104505676622466e-08
1984,1.739702604197646e-09
1985,7.820225356169885e-09
1986,1.019062523255343e-08
1987,1.0388388815840699e-08
1988,7.195864348830128e-09
1989,1.0976243913773942e-08
1990,5.993515905799995e-09
1991,1.2895223555631219e-08
1992,5.509944167592096e-10
1993,9.970573700002205e-09
