year,premier_ADJ or_NOUN,premier_ADJ mort_NOUN
1800,2.829747991484055e-08,1.2576657937302116e-08
1801,1.4287095284615248e-08,7.143547975374531e-09
1802,1.1189200677108602e-08,0.0
1803,5.851017448321727e-09,1.3652374342143503e-08
1804,7.4155526164076946e-09,3.213406074564773e-08
1805,8.528632911009026e-09,2.842877755426798e-08
1806,2.881669125542885e-08,4.3225035994964855e-08
1807,2.2775641372874134e-08,2.2775640928784924e-08
1808,1.1330369975581789e-08,5.211970233176544e-08
1809,1.1295152591017654e-08,2.25903047379461e-08
1810,3.7442028144596406e-08,4.680253518074551e-09
1811,1.504245972228091e-08,1.504245972228091e-08
1812,1.0668832928217853e-08,1.0668832928217853e-08
1813,2.8757416448144113e-09,2.8757416448144113e-09
1814,3.4613449884091096e-08,3.776012391654149e-08
1815,4.045835311217161e-08,1.0788894222457657e-08
1816,1.622322720606917e-08,1.1588019432906549e-08
1817,1.8682481339737933e-08,1.5568733857662664e-08
1818,1.3113294894395722e-08,7.152706427149269e-09
1819,2.0702100145264524e-08,1.9666995143552413e-08
1820,2.4919610375206958e-08,1.898636980968149e-08
1821,1.1833785507064931e-08,1.7750679148775816e-08
1822,2.8071724500478012e-08,3.308453244699194e-08
1823,2.569498569471307e-08,3.5577674140085946e-08
1824,1.9368560089105813e-08,8.421112696055388e-09
1825,4.050503643604486e-08,1.8491430608946757e-08
1826,8.80798456392995e-09,4.932471142637951e-08
1827,2.7651818612639545e-08,4.147772969531616e-08
1828,3.760643585426493e-08,3.393751413227619e-08
1829,1.2002446148073886e-08,2.2290258527846163e-08
1830,1.5655253093882493e-08,8.349468672008697e-09
1831,4.677361831184612e-09,2.3386808933878456e-08
1832,2.705993829010822e-08,3.92369123858316e-08
1833,1.3900354645102198e-08,9.266902800675325e-09
1834,2.9870498963191494e-08,5.600718555598405e-09
1835,4.159698363537245e-08,2.0420337421001022e-08
1836,3.2931674442959746e-08,2.4866775305554256e-08
1837,1.7394727436226276e-08,1.87863058442872e-08
1838,1.7042836919500814e-08,1.3255539776935166e-08
1839,2.027527834513876e-08,5.383435919270596e-08
1840,7.0066574764382494e-09,5.732719632334238e-09
1841,1.2841097074556274e-08,7.704658244733764e-09
1842,1.542900918138912e-08,2.1466448174578545e-08
1843,1.6539350389255247e-08,1.0041748765843295e-08
1844,2.4698525058486354e-08,3.0735943568060975e-08
1845,1.7298706467272496e-08,3.4597412601478084e-08
1846,2.6345256864956923e-08,3.454155717008689e-08
1847,1.240441438454809e-08,1.833696039454935e-08
1848,1.287235473768078e-08,8.84974404868899e-09
1849,1.1731180693530519e-08,4.776266493422554e-08
1850,9.504594444820214e-09,1.5614691761811628e-08
1851,2.3862924081186065e-08,1.483370937194195e-08
1852,1.4974254725075298e-08,1.6276363368206148e-08
1853,1.5527023000672102e-08,1.3138249599364826e-08
1854,1.922395914677466e-08,2.7537021551893304e-08
1855,1.1144567935161831e-08,1.6982198758341838e-08
1856,2.640366475459288e-08,2.64036656427713e-08
1857,1.903788510171367e-08,2.1966790220151466e-08
1858,1.9574704523961373e-08,2.3979012442332248e-08
1859,1.0693563812225193e-08,2.800695320104296e-08
1860,1.739329860694916e-08,2.746310379109218e-08
1861,1.7920662287451705e-08,1.2733102239259608e-08
1862,1.1746764477793548e-08,2.2589932147099034e-08
1863,1.4983863039219614e-08,1.6482248454963155e-08
1864,2.349416661218129e-08,2.7329949858767577e-08
1865,2.541695881541628e-08,2.4004906284957883e-08
1866,2.2868380966656332e-08,1.6543083347642096e-08
1867,3.1543274658929477e-08,1.067618526917613e-08
1868,1.778354707937524e-08,2.568734480679069e-08
1869,2.002242827092715e-08,2.197583626184496e-08
1870,2.5229815125982213e-08,2.064257476064313e-08
1871,9.559059321873065e-09,2.8677177965619194e-08
1872,1.5723082169571967e-08,1.0280476914203973e-08
1873,2.693702005895915e-08,1.855661402316855e-08
1874,1.6131444624534197e-08,3.0470506118263074e-08
1875,1.3731665304828056e-08,1.830888685105947e-08
1876,1.813804395567331e-08,7.255217759905008e-09
1877,3.2779525871440285e-08,3.3398006138440905e-08
1878,1.9928992622819663e-08,3.5026715750063886e-08
1879,1.893890888560179e-08,2.8102895566206598e-08
1880,1.1552123257985158e-08,2.0537108014195837e-08
1881,1.5339516323820135e-08,2.7890030063204563e-08
1882,2.9283694580328756e-08,2.5290463057103807e-08
1883,2.0221884611260066e-08,1.8326083761621703e-08
1884,2.5086449362277108e-08,1.8484751507230612e-08
1885,1.1602144189826191e-08,2.1915161241281567e-08
1886,8.38950331427668e-09,1.355227396970804e-08
1887,1.762809609395788e-08,1.697520346510828e-08
