year,premier_ADJ arc_NOUN,premier_ADJ mark_NOUN
1800,1.320549074534938e-07,0.0
1801,6.191074675143682e-08,0.0
1802,6.489736392722989e-08,0.0
1803,7.216254971353919e-08,0.0
1804,7.168367943677367e-08,0.0
1805,1.4782963830839435e-07,0.0
1806,7.204172902675055e-08,0.0
1807,4.839823830593559e-08,0.0
1808,4.5321478125970316e-08,0.0
1809,7.90660692473466e-08,0.0
1810,1.4976810946976116e-07,0.0
1811,1.8301660986708157e-07,0.0
1812,6.934741492159446e-08,0.0
1813,6.039057609541487e-08,0.0
1814,7.866692897096073e-08,0.0
1815,2.4275012000529728e-08,0.0
1816,1.0197457100957763e-07,0.0
1817,9.808302792180257e-08,0.0
1818,4.768470773797162e-08,0.0
1819,8.487860725381324e-08,0.0
1820,5.458581231465587e-08,0.0
1821,4.733514280541584e-08,0.0
1822,4.6117833107928163e-08,0.0
1823,6.423746334860425e-08,0.0
1824,1.3473780313688621e-08,0.0
1825,3.9624492131906663e-08,0.0
1826,5.284790716153509e-08,0.0
1827,5.438191053031005e-08,0.0
1828,7.154395120778645e-08,0.0
1829,2.3147574523818548e-08,0.0
1830,9.706257486641334e-08,0.0
1831,8.731075240575592e-08,0.0
1832,9.335678896604804e-08,0.0
1833,6.255159235024621e-08,0.0
1834,6.534171603789218e-08,0.0
1835,4.4622218808854086e-08,0.0
1836,6.51912728244497e-08,0.0
1837,1.3567887435783632e-07,0.0
1838,1.180374269438289e-07,0.0
1839,4.9639474752893875e-08,0.0
1840,1.3121558595230454e-07,0.0
1841,9.052973126699726e-08,0.0
1842,6.842430622100437e-08,0.0
1843,1.2463581811061886e-07,0.0
1844,8.287727576439252e-08,0.0
1845,1.5401429270811562e-07,0.0
1846,1.633405810608224e-07,0.0
1847,1.5640347950096611e-07,0.0
1848,9.895622810063287e-08,1.6090443422100975e-09
1849,6.116972883773997e-08,0.0
1850,6.85688590351674e-08,0.0
1851,9.02921399870138e-08,0.0
1852,6.315229228448516e-08,0.0
1853,7.823230419035099e-08,0.0
1854,5.7671876163567504e-08,0.0
1855,5.73149208094037e-08,0.0
1856,1.0250834492353533e-07,0.0
1857,1.2447847508312293e-07,0.0
1858,8.563932851757272e-08,0.0
