year,dernier_ADJ air_NOUN,dernier_ADJ maire_NOUN
1800,3.144164484325529e-09,0.0
1801,0.0,0.0
1802,2.2378401354217203e-09,4.475680270843441e-09
1803,3.900678446910888e-09,1.950339223455444e-09
1804,3.213406074564773e-08,0.0
1805,5.685755422035754e-09,2.842877711017877e-09
1806,2.5935023018064385e-08,2.881669125542885e-09
1807,3.4163463169534225e-08,0.0
1808,4.5321479902327155e-09,4.5321479902327155e-09
1809,1.581321384946932e-08,0.0
1810,9.360507036149102e-09,0.0
1811,2.0056614147279106e-08,0.0
1812,5.3344164641089264e-09,0.0
1813,3.163315653864629e-08,0.0
1814,3.1466771410748606e-09,1.5733386149463513e-08
1815,8.091670444798638e-09,2.697223555614414e-09
1816,4.6352077731626196e-09,1.622322720606917e-08
1817,3.113746815941454e-09,5.4490570278176165e-08
1818,0.0,3.5763532135746345e-09
1819,1.8631890696951814e-08,1.552657513670397e-08
1820,2.3732962262101864e-09,2.8479554714522237e-08
1821,7.88919063410276e-09,1.676452932031225e-08
1822,1.604098542884458e-08,1.0025615893027862e-09
1823,0.0,4.941343334508019e-09
1824,5.052667617633233e-09,5.894778887238772e-09
1825,3.522177216552791e-09,1.584979791857677e-08
1826,9.688783109140786e-09,1.145037931138404e-08
1827,9.217273166939322e-09,1.8434546111834038e-09
1828,6.420610709767516e-09,1.834460228167245e-08
1829,2.2290258527846163e-08,4.286587973467704e-09
1830,2.6092090266160994e-08,6.262101504006523e-09
1831,1.5591206103948707e-09,1.5591206103948707e-09
1832,4.058990921151917e-09,2.705993873419743e-09
1833,9.266902800675325e-09,4.6334514003376626e-09
1834,7.467624740797874e-09,1.120143711119681e-08
1835,1.5126175867408165e-08,8.31939672707449e-09
1836,8.064899859050456e-09,6.048674894287842e-09
1837,9.74104708006962e-09,8.349469449164815e-09
1838,1.4517972601879592e-08,6.943378094703689e-09
1839,1.1885507689157748e-08,1.1885507689157748e-08
1840,7.64362617644565e-09,2.4204817705708592e-08
1841,1.1556987367100646e-08,2.1829865026745665e-08
1842,4.024959032733477e-09,2.4149754196400863e-08
1843,1.8311423488626133e-08,2.303695284533447e-08
1844,1.3721403568922597e-08,6.037417232818143e-09
1845,8.928364714222425e-09,6.69627359117797e-09
1846,9.367202125076801e-09,1.6392604607062822e-08
1847,3.074137566727586e-08,1.833696039454935e-08
1848,2.091757700384278e-08,6.4361772578180876e-09
1849,2.76520690789539e-08,5.865590679832167e-09
1850,4.752297222410107e-09,5.431196825611551e-09
1851,5.159551008659946e-09,3.8696632564949596e-09
1852,1.3021090872200602e-09,1.3672145193766028e-08
1853,1.0749477752369785e-08,2.7470886010405593e-08
1854,7.79349651480743e-09,1.7665259477439577e-08
1855,1.2736649068756378e-08,2.388121700391821e-08
1856,6.212626857404757e-09,2.019103817474388e-08
1857,8.78671624349181e-09,1.8549735136819123e-08
1858,1.565976326389773e-08,1.3212924976357954e-08
1859,1.171199848215565e-08,1.2221216039165483e-08
1860,1.0069804545764782e-08,1.4646988594213539e-08
1861,9.903524222920623e-09,1.2733101906192701e-08
1862,2.0782737308877586e-08,1.7620147146901743e-08
1863,1.548332484446746e-08,5.993545049154392e-09
1864,1.726102105692462e-08,1.1027874058378018e-08
1865,1.3179164426446732e-08,8.47231973466478e-09
1866,3.4059290943133647e-09,2.8220554781910323e-08
1867,1.261730986357179e-08,1.4073153309368536e-08
1868,7.903798504571569e-09,2.9639244392143382e-09
1869,1.70923168951731e-08,1.1720445947105418e-08
1870,1.8922360567330543e-08,1.834895613228582e-08
1871,1.1683295220166201e-08,9.559059321873065e-08
1872,1.3304146229131675e-08,4.5959779981785687e-08
1873,7.781805422268917e-09,2.57398194980496e-08
1874,7.169530746864439e-09,3.764003614348255e-08
1875,1.1443054281912168e-09,1.8881039565155078e-08
1876,3.02300739996042e-09,1.269663130187837e-08
1877,1.2369631985365004e-09,2.3502300550148902e-08
1878,1.4493812372506909e-08,1.6305539585204087e-08
