year,dernier_ADJ axe_NOUN
1800,1.2576657937302116e-08
1801,7.619784270218588e-08
1802,0.0
1803,1.1702034896643454e-08
1804,7.4155526164076946e-09
1805,2.842877711017877e-09
1806,2.5935023018064385e-08
1807,5.693910232196231e-09
1808,3.852325747288887e-08
1809,9.036122072814123e-09
1810,2.574139479349924e-08
1811,5.0141535368197765e-09
1812,1.0668832928217853e-08
1813,2.5881675469463516e-08
1814,9.44003133440674e-08
1815,3.776112933451259e-08
1816,2.3176038865813098e-09
1817,1.556873407970727e-09
1818,2.384235475716423e-09
1819,1.8631890696951814e-08
1820,1.3053129244156025e-08
1821,3.94459531705138e-09
1822,9.023054303725075e-09
1823,9.882686891060644e-10
1824,1.8526447931321854e-08
1825,3.522177216552791e-09
1826,3.2589543508265706e-08
1827,1.474763688946723e-08
1828,4.586150570418113e-09
1829,3.257806824308318e-08
1830,1.1480519646056564e-08
1831,2.9623292263636358e-08
1832,1.2176972319366541e-08
1833,1.1583628278799551e-08
1834,8.401078055442213e-09
1835,1.0588323107185715e-08
1836,4.032449929525228e-09
1837,1.2524203896191466e-08
1838,2.209256599883247e-08
1839,1.11863602825224e-08
1840,1.46502836528839e-08
1841,8.988767952189392e-09
1842,1.609983613093391e-08
1843,1.9492807368237663e-08
1844,1.6465683927435748e-08
1845,7.254296274794569e-09
1846,7.025401593807601e-09
1847,7.550513103637968e-09
1848,1.045878850192139e-08
1849,2.8490010350878947e-08
1850,2.2403686017469226e-08
1851,1.2253933867611977e-08
1852,7.812654523320361e-09
1853,3.4637203327747557e-08
1854,3.585008556683533e-08
1855,2.5473298137512757e-08
1856,5.0736453260924463e-08
1857,1.2203773103180993e-08
1858,3.474509924217273e-08
1859,1.9350258284589472e-08
1860,1.2816115280145368e-08
1861,2.4994607272788016e-08
1862,2.3041730301542884e-08
1863,1.748117206545885e-08
1864,1.5343129433631475e-08
1865,1.0355057256106193e-08
1866,1.751620715140234e-08
1867,3.4454963326879806e-08
1868,1.7289560005906424e-08
1869,3.4184632902167778e-09
1870,1.6055336615750093e-08
1871,1.4869648623516696e-08
1872,1.8746751706544273e-08
1873,2.454261860407314e-08
1874,2.5690820137924675e-08
1875,8.58229043387837e-09
1876,3.264847947548333e-08
1877,1.7317484335421796e-08
1878,5.193616203769125e-08
1879,2.3215436684154156e-08
1880,5.134277003548959e-09
1881,1.6036766581351003e-08
1882,1.5972924316542958e-08
1883,1.7062214752172622e-08
1884,2.2445769687351458e-08
1885,2.320428826863008e-08
1886,8.38950331427668e-09
1887,1.2404957061562527e-08
1888,1.9655905347804037e-08
1889,1.1277245803853475e-08
1890,1.3764211992395303e-08
1891,1.8485238229004608e-08
1892,1.3163876211308434e-08
1893,2.6481190573690583e-08
1894,1.3233232287745977e-08
1895,4.814891596538473e-09
1896,1.2973464080801023e-08
1897,9.322741689743452e-09
1898,1.1882545614128048e-08
1899,4.9748205555033564e-09
1900,5.19105292084987e-09
1901,1.3412973842719111e-08
1902,3.83002145554201e-08
1903,1.674068350610014e-08
1904,1.1824175416563776e-08
1905,1.0837593933388234e-08
1906,1.0288369045596824e-09
1907,7.199980611716228e-09
1908,8.349361202419914e-09
1909,6.60118004702781e-09
1910,7.481810726517324e-09
1911,2.6601870928288918e-08
1912,7.814131564032323e-09
1913,2.704524781904638e-08
1914,1.6072185360371805e-08
1915,7.068456930880984e-09
1916,7.69122365795738e-09
1917,7.676496771580332e-09
1918,6.89182577673364e-09
1919,4.603924352863942e-09
1920,1.2872794385998532e-08
1921,6.815472630705699e-09
1922,1.0329110011753073e-08
