year,dernier_ADJ or_NOUN,dernier_ADJ mort_NOUN
1800,0.0,5.65949598296811e-08
1801,2.3811825844433088e-09,1.3334621939975477e-07
1802,4.475680270843441e-09,1.2755688771903806e-07
1803,0.0,7.80135707145746e-08
1804,0.0,3.707776485839531e-08
1805,2.842877711017877e-09,4.8328921309348516e-08
1806,2.881669125542885e-09,1.0662175498055149e-07
1807,0.0,8.54086508184082e-08
1808,4.5321479902327155e-09,8.837688625362716e-08
1809,0.0,7.454800510231507e-08
1810,0.0,8.190443878675069e-08
1811,5.0141535368197765e-09,4.011322829455821e-08
1812,0.0,4.5342538612658245e-08
1813,1.1502966579257645e-08,5.463909147351842e-08
1814,0.0,2.8320094713762956e-08
1815,2.697223555614414e-09,5.3944472000466703e-08
1816,4.6352077731626196e-09,3.0128852301913867e-08
1817,0.0,8.095742032310227e-08
1818,1.1921177378582115e-09,3.9339884239097955e-08
1819,4.140420006848444e-09,1.1903707530791507e-07
1820,2.3732962262101864e-09,4.1176690501742996e-07
1821,9.861488070583846e-09,1.1340711836282935e-07
1822,0.0,2.2858404236103524e-07
1823,6.917880934764753e-09,2.0061854399955337e-07
1824,8.421112696055388e-10,1.793697066432287e-07
1825,2.641632912414593e-09,1.4176762874740234e-07
1826,1.7615968683770689e-09,2.9506747978302883e-07
1827,9.217273055917019e-10,1.115290046982409e-07
1828,0.0,1.155709981048858e-07
1829,4.286588028978855e-09,1.3802812759422523e-07
1830,1.0436835840010872e-09,7.514521627172144e-08
1831,3.1182412207897414e-09,3.1182413096075834e-08
1832,1.3529969367098715e-09,7.035583848846727e-08
1833,4.6334514003376626e-09,3.359252431778259e-08
1834,9.334530925997342e-10,9.801257760955195e-08
1835,1.5126175867408165e-09,8.621920244422654e-08
1836,2.016224964762614e-09,1.5457725055512128e-07
1837,6.957890930081589e-10,2.0386620747103734e-07
1838,1.8936485712828244e-09,2.423870171242015e-07
1839,4.894032734625853e-09,9.29866175169991e-08
1840,1.9109065441114126e-09,8.72647376581881e-08
1841,6.420548537278137e-09,4.044945711711989e-08
1842,4.024959032733477e-09,7.244926081284575e-08
1843,5.906911071384968e-10,5.1390127708828004e-08
1844,1.097712254427563e-09,4.39084892889241e-08
1845,1.6740683839167048e-09,3.961961780873935e-08
1846,1.2294452567118697e-08,9.191567329480677e-08
1847,1.0786447290911383e-09,3.074137566727586e-08
1848,4.02261068899179e-09,1.1343762906790289e-07
1849,2.513824481908955e-09,3.016589289472904e-08
1850,1.425689166723032e-08,5.634866795389826e-08
1851,6.449438760824933e-10,4.6435957301582675e-08
1852,4.557382027314816e-09,4.492276417522589e-08
1853,6.569124799682413e-09,1.0212003331844244e-07
1854,3.6369650624479277e-09,1.2989161746190803e-07
1855,1.0083180512765466e-08,8.384960636931282e-08
1856,1.0354378465748937e-09,6.73034605824796e-08
1857,1.4644527812635033e-09,1.2203773280816677e-07
1858,1.468102750479261e-09,7.38945047373818e-08
1859,5.092173349652285e-10,6.416138376152958e-08
1860,1.830873536112776e-09,8.788192928932403e-08
1861,2.357981809808507e-09,7.404062785099086e-08
1862,3.1625904395315985e-09,6.641440108978713e-08
1863,9.989241656072068e-10,9.240048370884324e-08
1864,1.102787416940032e-08,6.904408422769848e-08
1865,5.177528850097701e-09,6.354240156269952e-08
1866,1.9462452205409875e-09,5.741423336758089e-08
1867,4.85281148598915e-10,3.88224918879132e-08
1868,4.93987406535723e-10,5.1374691167893616e-08
1869,2.441759683335931e-09,3.1742874995188686e-08
1870,1.7202146374017957e-09,7.912987598501786e-08
1871,5.3105884134652115e-09,9.45284810427438e-08
1872,1.8142017887967654e-09,4.475031190054324e-08
1873,2.3944017879529156e-09,9.338167217265436e-08
1874,3.5847653734322193e-09,5.138164027584935e-08
1875,5.721527140956084e-10,5.263805036292979e-08
1876,0.0,7.376137745040978e-08
1877,1.2369631985365004e-09,4.638611983409646e-08
1878,4.831270938865373e-09,5.7975249490027636e-08
1879,0.0,3.360128886242819e-08
1880,1.9253538763308597e-09,3.8507078414795615e-08
1881,0.0,1.0249586068766803e-07
1882,1.9966155395678697e-09,6.389169726617183e-08
1883,1.2638677882037541e-09,5.308244865886991e-08
1884,3.300848483434038e-09,7.195849605068361e-08
1885,6.445635691854079e-10,6.123353557541122e-08
1886,1.2906927748801422e-09,5.8726520535401505e-08
1887,2.6115699047757346e-09,3.982643903555072e-08
1888,5.07249175996094e-09,9.447516191585237e-08
1889,1.2530273485467092e-09,4.322944491264025e-08
1890,2.6217545912032847e-09,3.604912635069013e-08
1891,0.0,6.374219907456791e-08
1892,1.2537024751679837e-09,3.322311670217459e-08
1893,1.2316833108982905e-09,5.973664229941278e-08
1894,5.671385361338821e-09,5.608369946230596e-08
1895,7.22233739480771e-09,4.4537745935713247e-08
1896,4.1279202278587945e-09,2.5946928161602045e-08
1897,1.7480140668268973e-09,2.5637540090883704e-08
1898,1.6975064687230201e-09,5.6017714911149596e-08
1899,2.2110313580014918e-09,3.8693048765026106e-08
1900,3.114631885736685e-09,4.2047531678690575e-08
1901,5.588738916095792e-10,5.588739071527016e-08
1902,1.9641135384773634e-09,2.897067474805226e-08
1903,1.6200660812870638e-09,5.34621804604285e-08
1904,1.0749250378694342e-09,1.5586412160928376e-08
1905,5.676834835544042e-09,2.37394921498435e-08
1906,2.0576737536082135e-09,3.343719967574543e-08
1907,3.5999904168804164e-09,1.902852098112362e-08
