year,premier_ADJ air_NOUN,premier_ADJ maire_NOUN
1800,8.174827570428533e-08,1.6978488304175698e-07
1801,7.619784270218588e-08,5.476719855401768e-08
1802,6.713520406265161e-09,3.8043282302169246e-08
1803,5.070882025393075e-08,8.776526527753958e-08
1804,6.426812149129546e-08,1.8786066391385248e-07
1805,2.842877711017877e-08,4.5486043376286034e-08
1806,7.204172902675055e-08,1.584918072339292e-07
1807,6.263301344233696e-08,1.7081730252499483e-08
1808,2.2660739062985158e-08,3.852325836106729e-08
1809,2.484933525614963e-08,1.355418288717658e-08
1810,1.8721014516387413e-08,1.8018976355449468e-07
1811,4.763445815569867e-08,8.774769000297056e-08
1812,1.6536691305191198e-07,5.601137331723294e-08
1813,3.3358602458122277e-07,1.4378708002027452e-08
1814,1.0069366851439554e-07,1.4474714760126517e-07
1815,4.5852800667489646e-08,6.203614311139916e-08
1816,8.57513455798653e-08,5.5622493277951435e-08
1817,3.736496234640896e-08,6.694555310104988e-08
1818,2.98029441125891e-08,4.172412104708201e-08
1819,3.2088255608186955e-08,1.8631890696951814e-08
1820,1.0086508694939766e-07,1.779972080839798e-08
1821,1.972297603014539e-08,5.9168929311681495e-08
1822,3.8097340393505874e-08,1.0025615893027862e-07
1823,1.3835761869529506e-08,4.4472091786929013e-08
1824,7.747423858006641e-08,6.736889890390785e-08
1825,6.780191341704267e-08,5.987701001686219e-08
1826,1.8496766784892316e-08,8.543744678402021e-08
1827,2.5808365222701468e-08,5.622536392024813e-08
1828,1.4675682002973645e-08,5.13648868438743e-08
1829,9.859152783064928e-08,5.3153691670360104e-08
1830,9.810625845041443e-08,4.800944353178238e-08
1831,1.5591206548037917e-08,9.510635612386409e-08
1832,3.111892987739395e-08,1.2176972319366541e-08
1833,3.70676112027013e-08,9.151066449053502e-08
1834,3.267085801894609e-08,4.85395617033646e-08
1835,6.126101226300307e-08,1.5882484660778573e-08
1836,5.309392392405243e-08,5.578222700419744e-08
1837,4.1051556820548285e-08,5.775049594092252e-08
1838,2.7773513266993177e-08,4.860364599679201e-08
1839,3.146163785050504e-08,6.292327725532232e-08
1840,4.968357031343018e-08,3.630722450465029e-08
1841,4.237562123421412e-08,3.4028909023930964e-08
1842,2.884553929050071e-08,7.647422206602528e-08
1843,2.9534556134080958e-08,4.9027363169251714e-08
