year,premier_ADJ arrêt_NOUN,premier_ADJ marais_NOUN
1800,3.458580977167003e-08,1.8864987794131594e-08
1801,6.429193000201394e-08,0.0
1802,6.713520406265161e-08,0.0
1803,9.361628516835196e-08,7.801356893821776e-09
1804,8.15710812229753e-08,0.0
1805,1.7057266843423236e-07,0.0
1806,1.9307183407590855e-07,5.76333825108577e-09
1807,7.259735443909676e-07,1.9928686256776018e-08
1808,6.594275294702356e-07,0.0
1809,8.945760652245838e-07,0.0
1810,5.475896731610419e-07,0.0
1811,3.2341290534532163e-07,0.0
1812,9.628621491231115e-07,0.0
1813,6.757992991879291e-07,0.0
1814,2.76907591079123e-07,0.0
1815,6.095725195720547e-07,0.0
1816,2.47983617640557e-07,2.3176038865813098e-09
1817,2.273035164535031e-07,0.0
1818,1.6928072454902576e-07,0.0
1819,6.076066298987826e-07,0.0
1820,2.2546313882543245e-07,3.5599443393152796e-09
1821,3.076784488298401e-07,0.0
1822,3.9601184198545525e-07,3.0076847679083585e-09
1823,4.812868500403411e-07,0.0
1824,3.629499563118088e-07,0.0
1825,5.7851758583638e-07,0.0
1826,6.746916039190864e-07,0.0
1827,8.811713172462987e-07,0.0
1828,1.0181254452845678e-06,0.0
1829,6.867114217823378e-07,6.858540846366168e-09
1830,4.947060390225744e-07,1.0436835840010872e-09
1831,6.205300076000952e-07,0.0
1832,8.510350837376279e-07,0.0
1833,5.513807082024869e-07,4.6334514003376626e-09
1834,5.20866819897492e-07,9.334530925997342e-10
1835,4.2655815946091025e-07,4.5378527602224494e-09
1836,4.5768308820637316e-07,0.0
1837,4.1886502799570735e-07,2.7831563720326358e-09
1838,5.415835144795267e-07,0.0
1839,5.719026718864484e-07,0.0
1840,4.465151661747768e-07,4.458782232319436e-09
1841,5.412522425807254e-07,6.420548537278137e-09
1842,5.628234491794615e-07,0.0
1843,3.4850774272010554e-07,4.7255288571079745e-09
1844,4.2646120101963447e-07,2.7442805805577564e-09
1845,4.313516162035569e-07,5.580227946389016e-10
1846,4.115714489216771e-07,1.1709002656346001e-09
1847,1.0829592813621503e-06,3.775256551818984e-09
1848,3.821480358823237e-07,0.0
1849,6.251043678240364e-07,1.6758829879393033e-09
1850,5.600921788584401e-07,1.3577992064028876e-09
1851,5.430427403307903e-07,0.0
1852,5.62511104362784e-07,0.0
1853,4.0848013327376975e-07,5.971931837933653e-10
1854,5.289186129076029e-07,5.195664343204953e-09
1855,5.455531209008768e-07,2.1227748447927297e-09
1856,3.7845252265356066e-07,5.177189232874468e-10
1857,4.1883349055638064e-07,2.4407544874094356e-09
1858,3.396211241124547e-07,4.893676019968041e-10
1859,3.167331783515692e-07,0.0
1860,2.5586458041182425e-07,4.577183909670879e-10
1861,2.631507761141627e-07,0.0
1862,3.130964359443489e-07,9.035972525772706e-10
1863,3.221530511243742e-07,0.0
1864,2.9487577535292075e-07,9.589455896019672e-10
1865,2.4522660169168375e-07,2.3534221238463715e-09
1866,2.885308477695858e-07,0.0
1867,3.814309685878925e-07,9.7056229719783e-10
1868,2.390899115356504e-07,4.93987406535723e-10
1869,3.0424322972066875e-07,4.883519144627257e-10
1870,2.173204447508681e-07,5.734048791339319e-10
1871,2.506597729379223e-07,0.0
1872,2.0863320127073592e-07,0.0
1873,2.669758005779954e-07,3.591602570907071e-09
1874,1.7864081769403128e-07,5.377148060148329e-09
1875,2.0540281786551873e-07,4.577221712764867e-09
1876,2.0435530379003808e-07,0.0
1877,2.0409893219941466e-07,6.184816214727107e-09
1878,3.418124225884611e-07,3.6234530931267273e-09
1879,1.8144695934640964e-07,0.0
1880,1.8932646494995709e-07,1.9253538763308597e-09
1881,2.537992807583045e-07,0.0
1882,2.282797042507667e-07,0.0
1883,2.034827133456929e-07,0.0
1884,2.1851617226786857e-07,0.0
1885,2.8683077801794354e-07,0.0
1886,2.884698244720596e-07,2.5813855497602844e-09
1887,4.054462137137449e-07,0.0
1888,3.316141472531342e-07,0.0
1889,2.3055703390895133e-07,1.2530273485467092e-09
1890,2.8249405659153126e-07,0.0
