year,dernier_ADJ être_NOUN,dernier_ADJ maître_NOUN
1800,9.432493897065797e-09,8.174827570428533e-08
1801,9.524730337773235e-09,4.524246932646747e-08
1802,2.0140561218795483e-08,3.1329761895904085e-08
1803,0.0,9.55666195068261e-08
1804,2.4718509461507665e-09,1.458392091535643e-07
1805,2.842877711017877e-09,1.2508662150523264e-07
1806,0.0,1.6137347458311524e-07
1807,8.540865792383556e-09,4.839823830593559e-08
1808,0.0,1.0423940155490641e-07
1809,0.0,2.710836710662079e-08
1810,0.0,1.0062544930633521e-07
1811,0.0,1.178326058948187e-07
1812,1.0668832484128643e-08,1.9470620316042186e-07
1813,0.0,1.00650957790549e-07
1814,0.0,7.866692897096073e-08
1815,3.506390555685357e-08,7.552225866902518e-08
1816,3.476405652236281e-08,5.7940097164532745e-08
1817,1.401186100480345e-08,7.161617787687646e-08
1818,2.384235475716423e-09,6.556647491606782e-08
1819,3.105314938522952e-08,1.3456365444142193e-07
1820,1.0679833017945839e-08,1.1747816586193949e-07
1821,7.88919063410276e-09,1.1143481515318854e-07
1822,5.012807946513931e-09,1.162971443591232e-07
1823,2.2730180404550993e-08,7.115534828017189e-08
1824,8.421112696055388e-10,5.4737231636181605e-08
1825,1.8491430608946757e-08,7.836844417852262e-08
1826,1.145037931138404e-08,8.015265962058038e-08
1827,7.373818444733615e-09,1.1521591147811705e-07
1828,7.337841001486822e-09,4.861319524707142e-08
1829,9.430493719264632e-09,9.001834655464336e-08
1830,1.461157062010443e-08,9.601888995014463e-08
1831,1.5591206548037917e-08,7.951515357262906e-08
1832,1.8941957335982806e-08,9.335678896604804e-08
1833,1.6217079235048004e-08,5.560141858040879e-08
1834,8.401078055442213e-09,9.614566920390644e-08
1835,6.806779140333674e-09,5.672315950278062e-08
1836,6.72075017860152e-09,9.946710122221702e-08
1837,1.1132625488130543e-08,8.488626690450474e-08
1838,7.574594285131298e-09,1.129876956440512e-07
1839,1.3982949909063791e-08,6.991475487438947e-08
1840,3.821813088222825e-09,1.05099864811109e-07
1841,6.420548537278137e-09,8.731946365969634e-08
1842,3.8237111255057243e-08,1.1672381416971689e-07
1843,1.063243981747064e-08,9.273850309909903e-08
1844,9.879410178825765e-09,1.5258200392054277e-07
1845,2.3436957263811564e-08,7.868121731924305e-08
1846,2.86870562860031e-08,8.137756513093564e-08
1847,4.853901280910122e-09,1.4615636700909818e-07
1848,1.6090443422100975e-09,8.286578179195203e-08
1849,5.02764896381791e-09,1.2150151462719805e-07
1850,6.1100964288129944e-09,9.368814346544241e-08
1851,8.384270167027807e-09,7.868315066161813e-08
1852,1.1718981340891332e-08,1.6276364078748884e-07
1853,5.3747388761848924e-09,1.0749477041827049e-07
1854,9.352196350675968e-09,1.023545905809442e-07
1855,1.2736649068756378e-08,1.215288563116701e-07
1856,6.73034605824796e-09,8.128186834710505e-08
1857,5.369659827891837e-09,1.1227471219399376e-07
1858,6.361778659424999e-09,8.563932851757272e-08
1859,1.884104072757964e-08,8.809460183556439e-08
1860,1.327383314375652e-08,1.3136517229561662e-07
1861,8.960331143725853e-09,8.017138242166766e-08
1862,1.536115412648087e-08,9.48777129083922e-08
1863,1.0988165932701577e-08,9.989241844809982e-08
1864,1.7740493518658695e-08,9.06203581063636e-08
1865,1.6473955088969205e-08,5.45993934508715e-08
1866,1.1190909532388105e-08,7.784980776692763e-08
1867,1.358787216076962e-08,6.308654931785895e-08
1868,9.385760613156435e-09,4.54468405131081e-08
1869,9.767038733343725e-09,5.4695412643468444e-08
1870,8.601073631098188e-09,7.339582452914328e-08
1871,4.248470908407853e-09,2.7615060904651045e-08
1872,6.047339518033823e-09,7.377754229764832e-08
1873,8.380406590902112e-09,7.901525866937931e-08
1874,4.779687312606029e-09,7.468261742360482e-08
1875,1.1443054281912168e-09,1.0642040376707129e-07
1876,8.464420275799966e-09,9.492243435715864e-08
1877,3.710889595609501e-09,5.13339741825547e-08
1878,5.435179861734696e-09,9.179414539595143e-08
1879,9.163987790827832e-09,7.57556324337827e-08
1880,3.2089231272180996e-09,7.701415238869913e-08
1881,9.761510710859511e-09,9.691785840537648e-08
1882,1.1979693681496428e-08,6.72193907202967e-08
1883,3.1596694705093853e-09,5.181857787306399e-08
1884,1.1883054540362536e-08,8.516189087259818e-08
1885,5.156508553483263e-09,6.058897583649525e-08
1886,9.034849313138693e-09,6.324394419277013e-08
1887,1.9586774424595887e-09,9.271073042604883e-08
