year,dernier_ADJ atout_NOUN
1800,3.144164484325529e-09
1801,0.0
1802,5.370816325012129e-08
1803,0.0
1804,0.0
1805,6.538618890772341e-08
1806,1.729001475325731e-08
1807,0.0
1808,0.0
1809,0.0
1810,2.8081521108447305e-08
1811,0.0
1812,0.0
1813,0.0
1814,9.440030979135372e-09
1815,0.0
1816,1.1588019432906549e-08
1817,1.556873407970727e-09
1818,3.5763532135746345e-09
1819,5.175524897538253e-09
1820,1.1866481131050932e-09
1821,9.861488514673056e-09
1822,6.015369535816717e-09
1823,0.0
1824,0.0
1825,1.4969252504215547e-08
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,0.0
1831,0.0
1832,1.3529969367098715e-09
1833,0.0
1834,9.334530925997342e-10
1835,4.5378527602224494e-09
1836,0.0
1837,2.5744196108234974e-08
1838,0.0
1839,1.3982950353153e-09
1840,0.0
1841,6.420548537278137e-10
1842,8.049918065466954e-09
1843,4.134837805480629e-09
1844,5.488561272137815e-10
1845,5.022205318283568e-09
1846,0.0
1847,2.1572894581822766e-09
1848,0.0
1849,0.0
1850,0.0
1851,1.870337307252612e-08
1852,0.0
1853,9.555090940693844e-09
1854,4.1565315633818045e-09
1855,5.041590256382733e-08
1856,4.659470143053568e-09
1857,0.0
1858,1.9574704079872163e-09
1859,1.018434669930457e-09
1860,9.154367819341758e-10
1861,6.13075279431996e-09
1862,9.035972525772706e-10
1863,4.495158911765884e-09
1864,1.9178911792039344e-09
1865,1.4120533631256649e-09
1866,4.379051787850585e-09
1867,9.220341823379385e-09
1868,1.975949626142892e-09
1869,9.278686263769487e-09
1870,7.454262984651905e-09
1871,2.1242354542039266e-09
1872,2.4189357183956872e-09
1873,1.1972008939764578e-09
1874,8.364453130127458e-09
1875,1.0870901512305409e-08
1876,0.0
1877,7.421779191219002e-09
1878,8.4547240319921e-09
1879,5.498392852132383e-09
1880,8.984985200299889e-09
1881,5.5780060570498335e-09
1882,1.0648616211028639e-08
1883,1.8958017378167824e-08
1884,7.922036360241691e-09
1885,8.379326565943757e-09
1886,3.872078213618124e-09
1887,1.0446279397058333e-08
1888,4.4384300679212174e-09
1889,5.6386229019267375e-09
1890,9.176140736144589e-09
1891,4.461953917456185e-09
1892,1.6924984080901595e-08
1893,8.005941354305435e-09
1894,1.8904617871129403e-09
1895,6.6204757231957956e-09
1896,2.063960102827167e-08
1897,9.905413378419325e-09
1898,6.7900258748920805e-09
1899,1.1607914629507832e-08
1900,1.142031713641245e-08
1901,2.6825947685438223e-08
1902,1.2275709337927765e-08
1903,1.4580594509538969e-08
1904,1.3436562973367927e-08
1905,5.1607592088664944e-09
1906,1.0802787109298606e-08
1907,1.0799970695529737e-08
1908,1.3751889405000384e-08
1909,8.801573692096554e-09
1910,9.619471441624228e-09
1911,1.1704822888702893e-08
1912,2.8651816919023076e-08
1913,9.015082902408267e-09
1914,1.339348720819089e-08
1915,4.358881966481931e-08
1916,2.307367097387214e-08
1917,2.4126133979507358e-08
1918,2.067547733020092e-08
1919,1.1970202606903513e-08
1920,2.5745588771997063e-08
1921,3.483463828501954e-08
1922,3.24629176873259e-08
1923,1.5923921736771263e-08
1924,1.2891624545652292e-08
1925,1.539744931555731e-08
1926,8.916910765321973e-09
1927,7.804457524684949e-09
1928,1.942427008128078e-08
1929,2.5622934884950155e-08
1930,2.8359728787563654e-08
1931,3.42160717536899e-08
1932,2.1919073223131136e-08
1933,2.5235457057348754e-08
