year,premier_ADJ axe_NOUN
1800,1.6664071722516383e-07
1801,9.524730160137551e-08
1802,1.3874608839614666e-07
1803,5.655983770225248e-08
1804,5.9324420931261557e-08
1805,3.4114531644036106e-08
1806,5.76333825108577e-09
1807,2.8469550272802735e-08
1808,2.7192887941396293e-08
1809,7.680704072754452e-08
1810,1.5210824244604737e-07
1811,3.534978225694374e-07
1812,6.241266987672134e-07
1813,4.3998846877002507e-07
1814,3.8043326640035957e-06
1815,1.3216394734172354e-07
1816,4.3339193211977545e-07
1817,8.718490818182545e-08
1818,4.2916237674717195e-08
1819,3.8298885840504227e-08
1820,6.763894333516873e-08
1821,4.7335142028259725e-08
1822,1.6040985428844579e-07
1823,1.0673301886754416e-07
1824,1.515800249762833e-07
1825,6.60408261410339e-08
1826,8.807984386294265e-08
1827,7.92685455053288e-08
1828,1.3299836609803606e-07
1829,1.860379228446618e-07
1830,1.7742621594152297e-07
1831,1.1225668572478753e-07
1832,5.411987658021644e-08
1833,1.3900354645102198e-07
1834,3.080395163390648e-07
1835,1.8075780872095493e-07
1836,4.368487649397679e-08
1837,1.8020937786467073e-07
1838,9.910094123100066e-08
1839,2.586845759822154e-08
1840,7.516232897186725e-08
1841,3.338685417020315e-08
1842,5.769107858100142e-08
1843,8.978504695278389e-08
1844,2.9089374464774664e-08
1845,5.30121653241622e-08
1846,5.854501328173001e-09
1847,8.143767615820252e-08
1848,3.781254065415851e-08
1849,1.75967720394965e-08
1850,3.190828223864628e-08
1851,5.997978291816253e-08
1852,6.315229228448516e-08
1853,4.896984151514516e-08
1854,1.0027632413311949e-07
1855,6.262185792138553e-08
1856,5.487820686767009e-08
1857,2.9289054737091647e-08
1858,3.866004050223637e-08
1859,5.448625373105642e-08
1860,1.1442959468865865e-08
1861,4.102888340185018e-08
1862,1.8523744316212287e-08
1863,2.8469338886338846e-08
1864,6.568777166648943e-08
1865,1.553258677233771e-08
1866,5.20620595523269e-08
1867,5.095451882652924e-08
1868,7.014621417056333e-08
1869,2.783605879130846e-08
1870,4.0711747306687585e-08
1871,4.567106359765205e-08
1872,6.41017957603296e-08
1873,5.566984045968226e-08
1874,5.1381637777847544e-08
1875,3.7762079130310156e-08
1876,3.325308228774304e-08
1877,2.22653372405901e-08
1878,5.9183068001900097e-08
1879,2.810289656540732e-08
1880,4.2999571236990164e-08
1881,3.2770786195790436e-08
1882,4.924985130827508e-08
1883,2.7805092117638708e-08
1884,3.4328825115892414e-08
