year,premier_ADJ autel_NOUN,premier_ADJ motel_NOUN
1800,2.829747991484055e-08,0.0
1801,1.9049460009412655e-08,0.0
1802,1.7902721083373763e-08,0.0
1803,2.3404070459420723e-08,0.0
1804,7.415552971679062e-08,0.0
1805,5.685755422035754e-09,0.0
1806,7.780506816601473e-08,0.0
1807,8.540865792383556e-09,0.0
1808,4.305540457494317e-08,0.0
1809,2.0331274885876383e-08,0.0
1810,7.020380277111826e-09,0.0
1811,2.5070767240009673e-08,0.0
1812,0.0,0.0
1813,8.627225156487839e-09,0.0
1814,6.293354282149721e-09,0.0
1815,1.8880564667256294e-08,0.0
1816,9.270415546325239e-09,0.0
1817,4.670620334934483e-09,0.0
1818,2.6226589788791443e-08,0.0
1819,1.0868602373648173e-07,0.0
1820,3.0852850940732424e-08,0.0
1821,1.1833786284221048e-08,0.0
1822,1.5038423839541792e-08,0.0
1823,3.95307486744656e-09,0.0
1824,1.3473780313688621e-08,0.0
1825,3.522177216552791e-09,0.0
1826,1.0569580766173203e-08,0.0
1827,1.8434546333878643e-08,0.0
1828,1.2841221863624241e-08,0.0
1829,4.286587973467704e-09,0.0
1830,1.3567886369969528e-08,0.0
1831,3.1182412207897414e-09,0.0
1832,1.2176972430388844e-08,0.0
1833,4.6334514003376626e-09,0.0
1834,5.600718555598405e-09,0.0
1835,1.5882484660778573e-08,0.0
1836,6.048674894287842e-09,6.720750067579218e-10
1837,7.653680245134353e-09,0.0
1838,1.6411620729073206e-08,0.0
1839,5.5931801412612e-09,0.0
1840,1.4013314952876499e-08,0.0
1841,3.5955071808757566e-08,0.0
1842,9.391571520467323e-09,0.0
1843,8.860366773610906e-09,0.0
1844,3.1284798751585186e-08,1.097712254427563e-09
1845,2.9017185099178278e-08,0.0
1846,1.6392603052750587e-08,0.0
1847,8.629157832729106e-09,0.0
1848,1.6090443422100975e-09,0.0
1849,7.54147322368226e-09,0.0
1850,4.752297222410107e-09,0.0
1851,7.739326512989919e-09,0.0
1852,1.9531635864211694e-08,0.0
1853,1.5527023222716707e-08,0.0
1854,4.67609800880453e-09,0.0
1855,1.0613874223963649e-08,0.0
1856,8.28350277259915e-09,0.0
1857,1.0251169246799918e-08,0.0
1858,2.9362056674919756e-09,0.0
1859,1.0693564256314403e-08,0.0
1860,2.792082218205927e-08,0.0
1861,9.431927239234028e-09,4.715963730639317e-10
1862,4.066187830886747e-09,0.0
1863,1.9978483312144135e-08,0.0
