year,dernier_ADJ auteur_NOUN,dernier_ADJ moteur_NOUN
1800,2.04370692813427e-07,0.0
1801,3.786080355894228e-07,0.0
1802,4.990383786207531e-07,1.1189200677108602e-08
1803,3.1595496352565533e-07,0.0
1804,3.58418390078441e-07,0.0
1805,3.6673122849606443e-07,0.0
1806,3.9478865687669895e-07,0.0
1807,3.5871633485839993e-07,0.0
1808,4.260218986473774e-07,0.0
1809,7.025585091469111e-07,0.0
1810,5.195081484998809e-07,0.0
1811,3.860898232233012e-07,0.0
1812,4.987679176338133e-07,0.0
1813,4.6299439304675616e-07,0.0
1814,2.643208745212178e-07,0.0
1815,5.933891884524201e-07,0.0
1816,4.2875672079389915e-07,0.0
1817,4.6861890723448596e-07,0.0
1818,3.111427417934465e-07,0.0
1819,3.301985032067023e-07,1.035105001712111e-09
1820,3.607410121730936e-07,0.0
1821,3.569858790797298e-07,9.86148829262845e-10
1822,2.3459941189685196e-07,4.8122956286533736e-08
1823,3.498471130569669e-07,1.087095569118901e-08
1824,4.1010818563336215e-07,1.6842225392110777e-09
1825,4.622857545655279e-07,8.805443041381977e-10
1826,5.883733820155612e-07,8.807984341885344e-10
1827,4.931241051053803e-07,5.530363722527909e-09
1828,6.952604394427908e-07,3.668920500743411e-09
1829,3.849356176033325e-07,2.571952872898464e-09
1830,4.696576070273295e-07,0.0
1831,4.770909072249196e-07,0.0
1832,5.249627861303452e-07,6.764984572527055e-09
1833,2.8959070164091827e-07,1.1583628500844156e-09
1834,3.435107487348432e-07,0.0
1835,3.5924668395637127e-07,2.2689263801112247e-09
1836,4.126540602555906e-07,1.1425274948351216e-08
1837,5.336702315617003e-07,6.957891152126194e-09
1838,5.220157959229255e-07,1.5780404538645598e-08
1839,5.572205736825708e-07,4.194885327990505e-09
1840,4.7390483359777136e-07,5.095750932326837e-09
1841,6.067418212296616e-07,1.926164561183441e-09
1842,5.058032002125401e-07,8.049918065466954e-09
1843,6.048676937098207e-07,1.1813822142769936e-09
1844,6.289891416599858e-07,4.9397050894128824e-09
1845,6.601409836548555e-07,2.2320911785556063e-09
1846,8.963241384662979e-07,1.7563503984519002e-09
1847,6.396363119165471e-07,4.314578916364553e-09
1848,4.87540432914102e-07,0.0
1849,7.801235142324003e-07,0.0
1850,7.07413391864975e-07,4.073397619208663e-09
1851,5.727101779484656e-07,2.579775504329973e-09
1852,5.599068799710949e-07,1.3021090872200602e-09
1853,8.647357390145771e-07,8.957897534855874e-09
1854,5.684057100552309e-07,3.117398783558656e-09
1855,4.919530738334288e-07,1.0613874223963649e-09
1856,6.109083301453211e-07,5.177189343896771e-09
1857,5.286674422677606e-07,2.9289055625270066e-09
1858,4.472819910006365e-07,3.4255731584664773e-09
1859,5.306044386088615e-07,1.018434669930457e-09
1860,5.236298648014781e-07,4.577183909670879e-10
1861,3.716179435286904e-07,1.8863854922557266e-09
1862,4.5134683546166343e-07,5.873382225018986e-09
1863,3.4812507010428817e-07,3.995696662428827e-09
1864,3.643993125024281e-07,8.63051052846231e-09
1865,4.137316125252255e-07,1.1296426905005319e-08
1866,5.123490609548753e-07,8.271541673821048e-09
1867,4.823694439437531e-07,5.338092634588065e-09
1868,5.542538588088064e-07,8.397785578040384e-09
1869,5.088626835458854e-07,0.0
1870,5.023026687922538e-07,5.734048791339319e-10
1871,4.4608944449464616e-07,6.37270636261178e-09
1872,4.6322620050887053e-07,0.0
1873,5.477194235936622e-07,4.190203295451056e-09
1874,5.383122925195494e-07,4.182226565063729e-09
1875,5.115045382808603e-07,3.432916173551348e-09
1876,5.211664984017261e-07,4.232210137899983e-09
1877,5.628182293548889e-07,0.0
1878,6.316886924651044e-07,3.0195443923020093e-09
1879,4.826367216992367e-07,1.221865053580018e-09
1880,4.768459689330484e-07,5.134277003548959e-09
1881,4.824975121664465e-07,6.972507571312292e-10
1882,5.923292860643414e-07,3.3276925659464496e-09
1883,4.922765128867468e-07,1.2638677882037541e-09
1884,5.670857490258641e-07,1.3203393933736152e-09
1885,6.181364824442426e-07,1.0957580620640783e-08
1886,6.447010605370451e-07,9.034849313138693e-09
1887,7.527850129918079e-07,6.528924623161458e-10
1888,7.79261540628795e-07,1.9021844099853524e-09
1889,7.029483413134585e-07,8.14467782106476e-09
1890,5.348379090719391e-07,6.554386478008212e-10
1891,6.189367809383839e-07,1.466070642663908e-08
1892,5.986429414406302e-07,9.402768341715273e-09
1893,7.888931463639892e-07,1.0469308087124318e-08
1894,5.079040761302167e-07,2.520615716150587e-09
1895,5.80194409849355e-07,7.22233739480771e-09
1896,5.891131991120346e-07,1.2383760683576384e-08
1897,6.257890277083789e-07,8.740070001067579e-09
1898,5.3075370942679e-07,9.05336783318944e-09
1899,6.262746410357067e-07,8.291367592505594e-09
1900,5.398695179792412e-07,2.8550791952852705e-08
1901,6.337629656627541e-07,1.8442838367604963e-08
1902,5.091964112580172e-07,3.2407871941586563e-08
1903,6.140050459180202e-07,5.400220270956879e-09
1904,6.723656156282232e-07,1.0749250378694342e-08
1905,6.00712326104258e-07,8.257214467732865e-09
1906,5.740910182794323e-07,1.3374879870298173e-08
1907,6.171412110234087e-07,9.771402353919711e-09
1908,5.284654776005482e-07,1.2278472460991452e-08
1909,6.26562041361467e-07,7.701377313651392e-09
1910,6.519863973153406e-07,2.2979847358328698e-08
1911,5.448063120638835e-07,2.3941684190731394e-08
1912,5.719944624615891e-07,1.927485904218429e-08
1913,5.79086474772339e-07,2.5454351515463713e-08
1914,5.330608132680936e-07,9.37544086809794e-09
1915,4.276416518678161e-07,5.890381071793627e-09
1916,3.8016619896552584e-07,3.2962386153911893e-09
1917,3.542155013747106e-07,1.0966424435210342e-09
1918,3.93982702462381e-07,2.1824114071478107e-08
1919,4.125116106479254e-07,1.1970202606903513e-08
1920,4.308599841351679e-07,8.329454459499175e-09
1921,5.051022640145675e-07,1.060184651180407e-08
1922,5.216200520408165e-07,1.1804696775641332e-08
1923,5.55214114683622e-07,1.4862327368803108e-08
1924,4.989058766113885e-07,1.5469948877466777e-08
1925,5.356112637855404e-07,7.698724324711748e-09
1926,5.829430165249505e-07,8.916910765321973e-09
1927,5.630358828057069e-07,1.2264147031260109e-08
1928,5.575907948696113e-07,1.7139061725401916e-08
1929,5.33625438947638e-07,1.3368487650211591e-08
1930,5.1677727697097e-07,8.402882833991043e-09
1931,5.736894195251807e-07,2.2810713318222042e-08
1932,5.929109079261252e-07,9.863582839386709e-09
1933,6.538277261824987e-07,1.261772819560747e-08
1934,4.972355895915825e-07,1.1981580172459871e-08
1935,6.055951757844014e-07,1.4361940969820353e-08
1936,6.644343670814123e-07,4.849885826274658e-09
1937,5.804505462947418e-07,1.3850230295986421e-08
1938,6.50853792194539e-07,1.4261735792331365e-08
1939,6.622323667215824e-07,1.988226472349197e-08
1940,6.821256306466239e-07,0.0
1941,8.175662173925957e-07,1.1806010391524069e-08
1942,7.646213475709374e-07,3.034211770724937e-09
1943,8.129058528538735e-07,2.9032352077962287e-09
1944,6.265713068387413e-07,0.0
1945,7.755474484838487e-07,2.178504132643866e-08
1946,4.37122679386448e-07,6.960552134671616e-09
1947,4.053096063216799e-07,4.7683483828109274e-09
1948,5.772972713202762e-07,1.195907639583993e-08
1949,4.91832111038093e-07,1.9634016634739737e-09
1950,4.743371277982078e-07,1.3825969702452312e-08
1951,3.9660415040998487e-07,1.9190522948520083e-08
1952,5.97890391418332e-07,3.1634410646574906e-09
1953,5.009829919799813e-07,1.0773827385790469e-09
1954,4.51491160902151e-07,1.9545072227344917e-09
1955,4.7585032802999194e-07,1.3139850985055546e-08
1956,5.380944116950559e-07,3.488456634670456e-09
1957,4.85043585740641e-07,6.184526224473075e-09
1958,4.6324564095812093e-07,5.790570245522986e-09
1959,3.797866554577922e-07,7.750747821333448e-10
1960,4.2632333929759625e-07,2.7683333403416555e-09
1961,3.731161655196047e-07,2.779263708063695e-09
1962,4.433027527284139e-07,3.805173953708163e-09
1963,4.2934593125210085e-07,2.5864212993553792e-09
1964,3.32793064217185e-07,4.867174663303331e-09
1965,4.011007774806785e-07,2.73602163147757e-09
1966,3.8718133055226645e-07,1.6617224263271169e-09
1967,3.446304503995634e-07,4.930335695263466e-09
1968,3.4359331380073854e-07,1.3474247273492779e-09
1969,2.457090886309743e-07,4.087581828571274e-09
1970,3.200712512807513e-07,1.8394900047624674e-09
1971,3.1395609312312445e-07,5.138397263237948e-09
1972,3.1345197726295737e-07,5.130146973897354e-09
1973,3.2693299090169603e-07,3.859242703185828e-09
1974,2.6383932549833844e-07,1.6876715580593782e-09
1975,2.9528351319640933e-07,5.711480177694739e-09
1976,2.633935878293414e-07,5.713526984862938e-09
1977,3.108817452357471e-07,2.938390863960194e-09
1978,2.4356424432880885e-07,5.346532105932056e-09
1979,2.340789393429077e-07,2.925986564150662e-09
1980,2.4275593091260816e-07,4.548120546843393e-09
1981,2.909752652158204e-07,2.5302198114474095e-09
1982,2.65060350557178e-07,5.586751949948621e-09
