year,premier_ADJ auteur_NOUN,premier_ADJ moteur_NOUN
1800,1.182205899397104e-06,3.8358805909410876e-07
1801,1.0358144368893818e-06,4.5718707042397e-07
1802,1.4031257649094186e-06,4.4756802708434407e-07
1803,1.0258784817196442e-06,3.920181785854737e-07
1804,1.107389229204614e-06,2.175228814849106e-07
1805,1.182637149099719e-06,3.582026049109288e-07
1806,1.0806259425066855e-06,4.408953664380988e-07
1807,9.765056461219501e-07,2.2490945639219717e-07
1808,1.559058863787044e-06,2.9458962558237545e-07
1809,1.156623666176415e-06,3.7499907090676743e-07
1810,1.3011104478266589e-06,4.1654256044409976e-07
1811,1.2610596336060098e-06,3.434695088344597e-07
1812,1.6990115963011476e-06,2.0804223765935603e-07
1813,1.2193144645067377e-06,3.9397659179485345e-07
1814,1.1925906608922787e-06,3.5242783269495703e-07
1815,1.1355310860494683e-06,4.7471135644627793e-07
1816,1.144896341287449e-06,4.032630727124342e-07
1817,1.9040561980432358e-06,4.0790083755126716e-07
1818,1.3184821812117775e-06,5.376451188698894e-07
1819,1.7451870553131243e-06,5.599918040388729e-07
1820,1.3242993421869187e-06,7.938675707919174e-07
1821,1.7267465537429416e-06,5.63090997829363e-07
1822,1.1619688677910744e-06,4.331066065788036e-07
1823,9.951866069002335e-07,3.854247836443392e-07
1824,9.608489310863888e-07,3.612657319962409e-07
1825,1.4467342508428516e-06,4.006476501672296e-07
1826,1.4533173953168443e-06,5.126246955811098e-07
1827,1.4793723490669208e-06,3.216828303176378e-07
1828,1.0080359515995951e-06,4.366015483592278e-07
1829,1.2105324458389077e-06,5.229637167758483e-07
1830,1.3338276434460283e-06,5.14535979379005e-07
1831,9.60418333306734e-07,3.648342215001321e-07
1832,1.0864565737067622e-06,3.328372599753493e-07
1833,1.0911777508226805e-06,2.606316306108525e-07
1834,9.474549074184324e-07,3.649801658678342e-07
1835,9.99083908936882e-07,3.5849037516300086e-07
1836,9.610672161985967e-07,3.2259600857287296e-07
1837,9.880205511514362e-07,3.652892814898223e-07
1838,1.0572870761116349e-06,3.6421175297896013e-07
1839,9.536372092000533e-07,1.6010478720573929e-07
1840,8.987630675250102e-07,4.547957757061738e-07
