year,premier_ADJ être_NOUN,premier_ADJ etre_NOUN,premier_ADJ maître_NOUN
1800,3.11272285280495e-07,4.7162465932615305e-08,4.936338378058736e-07
1801,2.9526663070100767e-07,2.6193008650921e-08,5.40528444448185e-07
1802,1.969299319171114e-07,4.699464284385613e-08,3.983355441050662e-07
1803,3.549617328957311e-07,5.851017803593095e-08,7.606322895981066e-07
1804,2.2246659270308555e-07,8.157108055684148e-08,6.476249430065195e-07
1805,2.729162593695378e-07,5.401467717547348e-08,8.130630353431201e-07
1806,1.873084869430386e-07,2.1036184705280903e-07,9.250158088391913e-07
1807,2.1067467947943896e-07,8.54086508184082e-08,8.797091552992242e-07
1808,4.6001302145270984e-07,2.1980918063491117e-07,6.390328386451927e-07
1809,1.5587310553399902e-07,4.743963999409573e-08,3.478906887011135e-07
1810,7.160787660609458e-07,1.6380887757350138e-07,6.294941070628113e-07
1811,2.707642892119111e-07,1.6546707115594472e-07,1.0880713432470657e-06
1812,2.7472243679937947e-07,5.3344166417446104e-08,8.0016248027448e-07
1813,1.17905404550811e-07,4.026038169513413e-08,7.735744891324003e-07
1814,1.7306724764409864e-07,4.405347908686963e-08,6.010153503765991e-07
1815,2.1847511155748123e-07,4.8550024445148665e-08,8.496253973699908e-07
1816,4.4961514689134674e-07,3.6386381907504983e-07,7.091867786357398e-07
1817,3.238296741869817e-07,3.89218364205135e-08,7.34844223915232e-07
1818,3.135269537324348e-07,9.298518199862826e-08,5.602953629946228e-07
1819,2.546358288668671e-07,1.438795891317568e-07,9.036466780409924e-07
1820,5.197518646582466e-07,1.5782420259569108e-07,8.567599332209852e-07
1821,3.964318189275673e-07,1.1833785862336299e-07,9.181045500517016e-07
1822,4.0904512843553675e-07,7.418955760840618e-08,9.624591399415294e-07
1823,2.747386957935305e-07,6.127265805844218e-08,9.951865518331715e-07
1824,3.1410750267468757e-07,1.5242214601585147e-07,8.328480580743758e-07
1825,2.5095511801964676e-07,5.6354835464844655e-08,9.157660532110867e-07
1826,2.1315321774295626e-07,4.580151979904912e-08,9.371695486315446e-07
1827,1.668326472525905e-07,3.6869092667757286e-08,1.0046827867427055e-06
1828,2.70582882322401e-07,5.1364885678140126e-08,1.000698027553426e-06
1829,3.3006728550333264e-07,3.0863434308248117e-08,1.1076543791066484e-06
1830,2.838819348482957e-07,5.427154703419035e-08,7.775442669721855e-07
1831,2.0892216134882347e-07,2.8064171431196883e-08,7.265502293130055e-07
1832,8.523880934419026e-08,4.058990921151917e-09,7.427953178096303e-07
1833,2.1893057944311067e-07,1.737544208513242e-08,6.452081315888591e-07
1834,1.4561868155738011e-07,4.387229424196448e-08,6.935556238207852e-07
1835,3.7588546319966554e-07,3.781543966852041e-08,7.018545673531662e-07
1836,3.185635410463128e-07,6.048674910941187e-08,7.607889060956552e-07
1837,2.8040299149267867e-07,4.174734513640033e-08,8.975679208766962e-07
1838,2.461743111581427e-07,1.830527018853445e-08,7.947011892994738e-07
1839,2.656760571539962e-07,2.1673573602498664e-08,7.830452126711407e-07
1840,2.2867182192243263e-07,5.8601136720959346e-08,8.656406919049786e-07
1841,2.9983960558865874e-07,2.3113974290112083e-08,8.808992744135935e-07
1842,2.1399365124352698e-07,4.9641162291891305e-08,7.922461051634855e-07
1843,5.139012628774253e-07,1.506262350403631e-07,9.238409197642738e-07
1844,3.331556683860981e-07,4.335963410539989e-08,8.397498707513051e-07
1845,3.8782585498609023e-07,7.19849424513086e-08,7.94624483102524e-07
1846,2.8335787405353585e-07,5.4446863240187326e-08,6.750240153508003e-07
1847,1.8390892453368224e-07,1.240441438454809e-08,6.655238129482655e-07
1848,1.5044563994592863e-07,4.666228597960398e-08,6.082187442024711e-07
1849,1.365844575218489e-07,1.0893239199560867e-08,5.530413951237989e-07
1850,1.717616049390358e-07,1.3577992064028876e-08,7.114867885960052e-07
1851,2.3669440452067647e-07,4.385618201929731e-08,6.507483734097264e-07
1852,2.9427664105519113e-07,5.2735419586724674e-08,7.675932849338096e-07
1853,2.6873693226292517e-07,5.01642283268211e-08,7.781426918374024e-07
1854,4.130553215020427e-07,1.4911557144614562e-07,9.850980093872863e-07
1855,2.791448849848166e-07,5.625353338700734e-08,9.239377511960356e-07
1856,2.712847129160423e-07,7.299836601859511e-08,1.000232958237035e-06
1857,1.9916556853738498e-07,2.4895697114946103e-08,1.040737773738698e-06
1858,2.16300485078591e-07,3.376636548146905e-08,8.852660060565398e-07
