year,en_ADP ailes_NOUN,en_ADP zèle_NOUN
1800,1.6664071722516383e-07,1.2576657937302116e-08
1801,8.572257570449437e-08,1.0000967165524344e-07
1802,7.608656460433849e-08,4.699464284385613e-08
1803,1.4432509942707838e-07,5.265916058760922e-08
1804,1.0134588990240445e-07,9.640218934237055e-08
1805,1.7910129201936797e-07,1.1371510844071508e-08
1806,2.420601958874613e-07,2.0171682990621775e-08
1807,1.6512339584551228e-07,6.547996633798903e-08
1808,2.3567169193938753e-07,8.384473915157287e-08
1809,9.713831161661801e-08,1.219876537561504e-07
1810,1.193464669313471e-07,1.1700633706368535e-07
1811,2.0056614147279106e-08,5.515568801683912e-08
1812,9.335229123053068e-08,2.400487453257938e-08
1813,2.5881675469463516e-08,2.8757416004054903e-08
1814,1.1642705288750221e-07,9.754699448194515e-08
1815,6.74305908887618e-08,9.979726911524267e-08
1816,1.5991466284503986e-07,1.9236112791531923e-07
1817,1.634717108345285e-07,9.49692804397273e-08
1818,1.3351719019283337e-07,7.987188865854478e-08
1819,2.4842520929269085e-08,6.83169290027763e-08
1820,9.730514705097448e-08,5.3399165977907614e-08
1821,1.0847637099686835e-07,1.4496387734652671e-07
1822,1.0727409005539812e-07,8.822541985864518e-08
1823,8.499110748516614e-08,9.487379770689586e-08
1824,1.381062446625947e-07,9.179012749882531e-08
1825,1.2327620879659662e-07,8.541280038798504e-08
1826,6.077509340229881e-08,1.109806007093539e-07
1827,9.309445658800541e-08,6.452091128039683e-08
1828,8.163348041989593e-08,9.080578422526742e-08
1829,7.715858174606183e-08,9.516225674133238e-08
1830,1.49246758951449e-07,1.1897992635567789e-07
1831,2.1359952029342821e-07,8.263339168479433e-08
1832,2.0565553882079257e-07,6.764985016616265e-08
1833,6.370995464521911e-08,6.834341093053808e-08
1834,1.0081293311259287e-07,5.2273371409228275e-08
1835,1.187404805591541e-07,8.470658485748572e-08
1836,7.325617445985699e-08,9.543465040451338e-08
1837,1.0436836106464398e-07,6.609996461293122e-08
1838,5.302215910774066e-08,7.32210807541378e-08
1839,1.0207553913232914e-07,6.082583325905944e-08
1840,5.7327198987877637e-08,6.942960339983983e-08
1841,2.0802576727874111e-07,1.0914932602190675e-07
1842,3.957876515414682e-08,6.976596012009395e-08
1843,9.923610377882142e-08,7.678984559333912e-08
1844,6.476502534269457e-08,1.1635749785909866e-07
1845,9.263178668561522e-08,1.0825642249301382e-07
1846,8.137757134818457e-08,8.254846761701629e-08
1847,9.384208965457219e-08,7.442648808364538e-08
1848,5.551202875153649e-08,5.551202875153649e-08
1849,1.0306680309213334e-07,5.781796375003978e-08
1850,8.418355434969271e-08,5.0238568860550004e-08
1851,6.384944128967618e-08,8.255281613855914e-08
1852,1.7513367822630244e-07,5.859491025717034e-08
1853,1.1107793085329831e-07,6.210809289086683e-08
1854,5.975014261139222e-08,9.352196173040284e-08
1855,9.021793090369101e-08,8.491099379170919e-08
1856,7.403380664072756e-08,9.06008139622827e-08
1857,8.64027143165913e-08,7.908045063231839e-08
1858,5.627727261980908e-08,6.361779014696367e-08
1859,6.670747154657874e-08,6.110607841947058e-08
1860,8.467790024724309e-08,7.140406665939736e-08
1861,6.272231445336729e-08,8.252936822827905e-08
1862,6.46072066956549e-08,6.822159548391937e-08
1863,7.841554605647616e-08,8.390963301962984e-08
1864,8.822299690791624e-08,7.383881239775292e-08
1865,7.530950796308389e-08,6.730787305286867e-08
1866,5.93604774223877e-08,5.2548617901493344e-08
1867,9.851207494193659e-08,4.561642796829801e-08
1868,7.16281718382561e-08,6.57003269566303e-08
1869,6.788091866383184e-08,7.129938239813782e-08
1870,9.346499751927695e-08,4.529898589566983e-08
1871,9.240424247991541e-08,3.9298356568906456e-08
1872,5.624025689598966e-08,5.926392532273894e-08
1873,1.2091729217900138e-07,4.549363552541763e-08
1874,9.081406204813902e-08,2.6885741633009275e-08
1875,1.0813685946686746e-07,3.94785359958405e-08
1876,1.0580525611203484e-07,4.6554312405078235e-08
1877,6.741449709579683e-08,4.2675228684174726e-08
1878,5.072834596830944e-08,2.959153455606156e-08
1879,7.331190232662266e-08,5.070739916845923e-08
1880,1.0396910710142038e-07,2.0537108014195837e-08
1881,7.181682804002776e-08,3.2770785196589713e-08
1882,8.984770261122321e-08,5.457415852561098e-08
1883,8.467914369703067e-08,4.549924170760278e-08
1884,1.0694748908690599e-07,1.9144920315739e-08
1885,1.0313016929330843e-07,4.3185760745245716e-08
1886,1.206797719532915e-07,3.87207848007165e-08
1887,1.0185122079064968e-07,2.0239665943222462e-08
1888,1.0525420179874345e-07,2.3460273723685532e-08
1889,9.397705014180247e-08,4.2602930960811136e-08
1890,8.651790039948537e-08,2.2940351840361473e-08
1891,7.01164211136529e-08,2.8046567734918426e-08
1892,1.0280360385195308e-07,3.322311670217459e-08
1893,1.1947328459882556e-07,3.0176241949675386e-08
1894,1.5690832810832944e-07,1.2603078580752936e-08
1895,1.3842813473274873e-07,3.310238128051424e-08
1896,1.0909503345146732e-07,3.4792471126365854e-08
1897,1.4974654050092795e-07,2.0393496669157685e-08
1898,8.261198303216588e-08,3.281845906144554e-08
1899,5.417026827103655e-08,3.2612710754165164e-08
1900,8.66905907059845e-08,2.7512582434496835e-08
1901,7.824234415920728e-08,3.017919070202879e-08
1902,1.0508007619591808e-07,2.6515532880466708e-08
1903,8.262337303222012e-08,3.186130115295782e-08
1904,7.255744094436523e-08,3.33226779503093e-08
1905,1.0063480004873782e-07,2.37394921498435e-08
1906,8.076369795162464e-08,1.6461390472954918e-08
1907,1.1262827115388063e-07,2.828563872014911e-08
1908,8.152905905944863e-08,2.553922229253658e-08
1909,1.0176819387197611e-07,2.53045246978445e-08
1910,1.0902067515417002e-07,2.8858414324872683e-08
1911,6.118430206925041e-08,2.3941684190731394e-08
1912,8.335074141996301e-08,2.81308754068732e-08
