ortho_0;lemme_0;gtag_0;ortho_1;lemme_1;gtag_1;ortho_2;lemme_2;gtag_2
excellent;excellent;ADJ;amas;amas;NOUN;gamma;gamma;NOUN
excellent;excellent;ADJ;an;an;NOUN;gant;gant;NOUN
excellent;excellent;ADJ;orge;orge;NOUN;gorge;gorge;NOUN
excellent;excellent;ADJ;os;os;NOUN;gosse;gosse;NOUN
excellent;excellent;ADJ;âge;âge;NOUN;gage;gage;NOUN
grand;grand;ADJ;amas;amas;NOUN;gamma;gamma;NOUN
grand;grand;ADJ;an;an;NOUN;gant;gant;NOUN
grand;grand;ADJ;orge;orge;NOUN;gorge;gorge;NOUN
grand;grand;ADJ;os;os;NOUN;gosse;gosse;NOUN
grand;grand;ADJ;âge;âge;NOUN;gage;gage;NOUN
petit;petit;ADJ;amas;amas;NOUN;gamma;gamma;NOUN
petit;petit;ADJ;an;an;NOUN;gant;gant;NOUN
petit;petit;ADJ;orge;orge;NOUN;gorge;gorge;NOUN
petit;petit;ADJ;os;os;NOUN;gosse;gosse;NOUN
petit;petit;ADJ;âge;âge;NOUN;gage;gage;NOUN
profond;profond;ADJ;amas;amas;NOUN;gamma;gamma;NOUN
profond;profond;ADJ;an;an;NOUN;gant;gant;NOUN
profond;profond;ADJ;orge;orge;NOUN;gorge;gorge;NOUN
profond;profond;ADJ;os;os;NOUN;gosse;gosse;NOUN
profond;profond;ADJ;âge;âge;NOUN;gage;gage;NOUN
maint;maint;DET;amas;amas;NOUN;gamma;gamma;NOUN
maint;maint;DET;an;an;NOUN;gant;gant;NOUN
maint;maint;DET;orge;orge;NOUN;gorge;gorge;NOUN
maint;maint;DET;os;os;NOUN;gosse;gosse;NOUN
maint;maint;DET;âge;âge;NOUN;gage;gage;NOUN
tout;tout;DET;amas;amas;NOUN;gamma;gamma;NOUN
tout;tout;DET;an;an;NOUN;gant;gant;NOUN
tout;tout;DET;athée;athée;ADJ;gâté;gâté;ADJ
tout;tout;DET;athée;athée;NOUN;gâté;gâté;ADJ
tout;tout;DET;orge;orge;NOUN;gorge;gorge;NOUN
tout;tout;DET;os;os;NOUN;gosse;gosse;NOUN
tout;tout;DET;âge;âge;NOUN;gage;gage;NOUN
tant;tant;ADV;athée;athée;ADJ;gâté;gâté;ADJ
tant;tant;ADV;athée;athée;ADJ;gâtée;gâté;ADJ
tout;tout;ADV;athée;athée;ADJ;gâté;gâté;ADJ
tout;tout;ADV;athée;athée;ADJ;gâtée;gâté;ADJ
est;être;VERB;athée;athée;ADJ;gâté;gâté;ADJ
est;être;VERB;athée;athée;ADJ;gâtée;gâté;ADJ
était;être;VERB;athée;athée;ADJ;gâté;gâté;ADJ
était;être;VERB;athée;athée;ADJ;gâtée;gâté;ADJ
étant;être;VERB;athée;athée;ADJ;gâté;gâté;ADJ
étant;être;VERB;athée;athée;ADJ;gâtée;gâté;ADJ
fut;être;VERB;athée;athée;ADJ;gâté;gâté;ADJ
fut;être;VERB;athée;athée;ADJ;gâtée;gâté;ADJ
fût;être;VERB;athée;athée;ADJ;gâté;gâté;ADJ
fût;être;VERB;athée;athée;ADJ;gâtée;gâté;ADJ
serait;être;VERB;athée;athée;ADJ;gâté;gâté;ADJ
serait;être;VERB;athée;athée;ADJ;gâtée;gâté;ADJ
soit;être;VERB;athée;athée;ADJ;gâté;gâté;ADJ
soit;être;VERB;athée;athée;ADJ;gâtée;gâté;ADJ
