year,ses_DET hôtes_NOUN,ses_DET fautes_NOUN
1800,6.980045093030185e-07,3.159885242354221e-06
1801,8.04839714874106e-07,3.0788691489647135e-06
1802,8.078603173089505e-07,2.8040136044182873e-06
1803,6.806684105242766e-07,2.6154049361792886e-06
1804,8.898663335088486e-07,3.013186280043101e-06
1805,6.11218728963081e-07,3.3318526870829146e-06
1806,4.6971206302259816e-07,3.4176596273027826e-06
1807,4.725945452754843e-07,3.0775584782816168e-06
1808,7.749972930071181e-07,3.3062019753060667e-06
1809,8.539135398777375e-07,3.0271009947568928e-06
1810,9.992340768150143e-07,3.823767116273302e-06
1811,6.844319777599139e-07,2.9959567746651317e-06
1812,8.054968922976968e-07,2.531180498976937e-06
1813,7.419413681208908e-07,3.157564254507861e-06
1814,9.786165975356198e-07,3.555745202277194e-06
1815,7.98378162691904e-07,3.4956016321530115e-06
1816,7.810324902379762e-07,3.103271644988581e-06
1817,7.379579884947418e-07,3.6897899100551967e-06
1818,9.811129420000952e-07,3.4082646109823145e-06
1819,7.235383803205764e-07,3.31440611134326e-06
1820,9.83731283099587e-07,4.328892437399645e-06
1821,8.086420359987301e-07,3.949525844149093e-06
1822,1.0386538491502506e-06,3.468863198463623e-06
1823,1.0870955682307226e-06,3.6635120430617008e-06
1824,9.052695890687801e-07,4.25771477807757e-06
1825,1.090113897816991e-06,3.75287993037432e-06
1826,1.1467996063885266e-06,3.4509683715100437e-06
1827,8.802495581328174e-07,3.450025403139989e-06
1828,9.355747412342907e-07,3.3423865417603338e-06
1829,1.076790958620677e-06,3.6598889110450727e-06
1830,1.2440708676564327e-06,3.2792538497972146e-06
1831,1.4265953467429426e-06,2.7471704484582915e-06
1832,1.0688675837755568e-06,2.868353497831322e-06
1833,1.4537453374430243e-06,2.9434001049821745e-06
1834,1.2657623997824885e-06,3.465911259326049e-06
1835,1.6154755897446194e-06,3.4782641051833707e-06
1836,1.2890398988218976e-06,3.381209399577756e-06
1837,1.0499457054891081e-06,2.8548225863289645e-06
1838,1.114096633614281e-06,3.371325561829508e-06
1839,1.2528723072335879e-06,2.870699763235507e-06
1840,1.390502982978603e-06,3.2370758518140974e-06
1841,1.0542541080127421e-06,3.0959885748416127e-06
1842,1.2121835304412798e-06,3.0891560207635393e-06
1843,1.4064355244869375e-06,3.144248701403285e-06
