year,aux_ADP hôtes_NOUN,aux_ADP fautes_NOUN
1800,8.17482743720177e-08,3.018397869425371e-07
1801,6.905429650316819e-08,4.0480102825313224e-07
1802,8.056224487518193e-08,3.401517005841015e-07
1803,4.290746380419819e-08,3.413093647708365e-07
1804,7.662738177316442e-08,4.622361302608624e-07
1805,1.3361525841304456e-07,4.5201755938251154e-07
1806,5.4751715161671655e-08,3.227469278499484e-07
1807,5.4092147649953404e-08,5.608501574272395e-07
1808,7.931258982907252e-08,3.240485790811931e-07
1809,4.969867006821005e-08,3.298184643174551e-07
1810,8.190443656630464e-08,4.165425764313113e-07
1811,2.1310152709119734e-07,3.86089814341517e-07
1812,4.800974906515876e-08,3.8141078562148323e-07
1813,6.326631774022928e-08,3.537162172051467e-07
1814,4.09068032780624e-08,4.5941484927425336e-07
1815,6.203614311139916e-08,3.5333627579348104e-07
1816,4.8669683394564345e-08,3.1055893146003655e-07
1817,7.161617787687646e-08,3.7987710577169764e-07
1818,6.318223810808377e-08,3.790934426373127e-07
1819,6.210629965863745e-08,4.5544621452009437e-07
1820,8.543866591992355e-08,6.206169587130717e-07
1821,1.242547531532523e-07,4.4179466840432724e-07
1822,5.514088741165324e-08,4.3110148340019805e-07
1823,3.557767325190753e-08,2.974688868562225e-07
1824,1.1873768812620256e-07,4.0168706316734415e-07
1825,9.421824387345623e-08,3.6278424309088564e-07
1826,1.3211976757077082e-07,3.5408095655498073e-07
1827,6.0834000947807e-08,4.498029226307487e-07
1828,7.246118105541655e-08,4.1642247516904263e-07
1829,9.944883849755115e-08,5.066746826543067e-07
1830,8.349468605395316e-08,4.790507561747148e-07
1831,7.483779196348905e-08,4.2719904058685643e-07
1832,7.982681737850328e-08,4.5460695752286284e-07
1833,8.456048661287241e-08,3.7415119180650436e-07
1834,1.0828055785339075e-07,5.591384137915156e-07
1835,1.225220316314335e-07,3.77398073680979e-07
1836,1.008112482381307e-07,4.825498802207839e-07
1837,1.2732940612991683e-07,3.896418867554985e-07
