year,seuls_ADJ acteurs_NOUN,seuls_ADJ facteurs_NOUN
1800,1.5720821977538435e-08,0.0
1801,7.143547975374531e-09,7.143547975374531e-09
1802,2.2378401354217203e-08,3.3567602031325805e-08
1803,0.0,1.950339223455444e-09
1804,1.4831105232815389e-08,9.887403784603066e-09
1805,2.842877711017877e-09,0.0
1806,5.76333825108577e-09,5.76333825108577e-09
1807,3.131650672116848e-08,0.0
1808,2.039466551195801e-08,1.1330369531492579e-08
1809,9.036122072814123e-09,1.129515236897305e-08
1810,6.31834211617388e-08,0.0
1811,1.0028307073639553e-08,2.5070767684098882e-09
1812,2.9339290108509886e-08,0.0
1813,0.0,2.5881675469463516e-08
1814,4.090680150170556e-08,9.440030979135372e-09
1815,2.697223555614414e-09,2.697223555614414e-09
1816,1.622322720606917e-08,0.0
1817,7.784366928831332e-09,4.670620334934483e-09
1818,7.152706427149269e-09,0.0
1819,3.1053151161586356e-09,0.0
1820,1.0679833017945839e-08,3.5599443393152796e-09
1821,1.3806083387635226e-08,5.9168927535324656e-09
1822,2.4061478143266868e-08,0.0
1823,4.941343334508019e-09,0.0
1824,5.894778887238772e-09,0.0
1825,1.6730341556581152e-08,0.0
1826,0.0,3.5231937367541377e-09
1827,4.608636583469661e-09,1.3825909306319772e-08
1828,3.668920500743411e-09,1.7427371545863934e-08
1829,4.286587973467704e-09,7.715858174606183e-09
1830,1.1480519646056564e-08,9.39315203396518e-09
1831,1.5591206103948707e-09,4.677361609140007e-09
1832,6.764984572527055e-09,2.705993873419743e-09
1833,2.20088942626262e-08,5.791814139399776e-09
1834,1.0267983796552471e-08,7.467624740797874e-09
1835,1.4369867074037757e-08,6.050470346963266e-09
1836,7.392825018825988e-09,8.064899859050456e-09
1837,1.1132625488130543e-08,1.6698937344017395e-08
1838,3.28232410140572e-08,6.312161904276081e-10
1839,1.3982950353153e-09,3.4957374772659477e-09
1840,1.46502836528839e-08,6.369688665408546e-10
1841,1.733548060656176e-08,5.1364388298225094e-09
1842,4.695785538189057e-09,2.0124795163667386e-09
1843,9.451057714215949e-09,8.860366662588604e-09
1844,5.488561272137815e-10,1.6465684371524958e-09
1845,3.348136878855712e-09,6.696273757711424e-09
1846,1.1709002656346001e-08,4.0981511517657054e-09
1847,9.707802561820245e-09,1.294373674909366e-08
1848,1.930853166243196e-08,1.045878850192139e-08
1849,5.865590679832167e-09,2.513824481908955e-09
1850,2.0366988096043315e-09,2.0366988096043315e-09
1851,6.449438760824933e-10,4.514607354622058e-09
1852,1.3021090872200602e-09,5.859490670445666e-09
1853,1.3138249599364826e-08,5.971931837933653e-09
1854,7.79349651480743e-09,3.63696517347023e-09
1855,1.6982198758341838e-08,3.714855978387277e-09
1856,3.6240324075009767e-09,3.6240324075009767e-09
1857,7.322263684272912e-09,2.4407544874094356e-09
1858,1.663849857891364e-08,4.893676019968041e-10
1859,5.601390462572908e-09,3.055304009791371e-09
1860,3.204028820036342e-09,3.204028820036342e-09
1861,1.0846716413936974e-08,1.4147891747029462e-09
1862,1.8071945051545413e-09,8.132375661773494e-09
1863,9.989241434027463e-09,1.4983863039219614e-09
1864,2.9727313943794798e-08,4.794727948009836e-10
1865,1.0825742080555756e-08,4.23615986733239e-09
1866,1.9462451206209153e-08,1.216403244796993e-08
1867,8.73506067478047e-09,5.338092634588065e-09
1868,1.9265508299781686e-08,4.44588676984381e-09
1869,9.278686263769487e-09,9.767038289254515e-10
1870,2.2936195165357276e-09,2.2936195165357276e-09
1871,1.0621177271019633e-09,7.434824311758348e-09
1872,4.23313739617015e-09,6.047339518033823e-09
1873,2.1549615425442425e-08,8.979006871356887e-09
1874,9.559374625212058e-09,3.5847653734322193e-09
1875,1.0298748520654044e-08,9.7265964171811e-09
1876,6.650616057868319e-09,7.255217759905008e-09
1877,9.27722432209066e-09,6.184816214727107e-09
1878,2.2344627481629686e-08,1.7513357875031943e-08
1879,2.077170613290491e-08,1.8938909107646396e-08
1880,1.2835692508872398e-08,1.8611753915820373e-08
1881,1.3945014920579979e-08,2.2312024228199334e-08
1882,4.6587693702804245e-09,1.8635077481121698e-08
1883,1.3902545781263598e-08,2.1485751844352308e-08
1884,6.601696966868076e-10,1.386356363042296e-08
1885,1.2246707647989297e-08,2.2559724754955823e-08
1886,6.4534639854230136e-09,2.452316216761119e-08
1887,1.566941953967671e-08,1.6322312390570914e-08
1888,1.7119660356001987e-08,3.233713385952797e-08
