year,vrais_ADJ fils_NOUN
1800,1.8864986905953174e-08
1801,0.0
1802,1.7902721083373763e-08
1803,2.145373123596528e-08
1804,2.4718509461507665e-09
1805,5.685755422035754e-09
1806,2.305335300434308e-08
1807,2.2775641372874134e-08
1808,9.064295980465431e-09
1809,3.840352036377226e-08
1810,6.552355102940055e-08
1811,1.2535384286138651e-08
1812,6.134578844907423e-08
1813,1.1502966579257645e-08
1814,2.2026739099345605e-08
1815,1.8880564667256294e-08
1816,1.622322720606917e-08
1817,1.8682481339737933e-08
1818,7.152706427149269e-09
1819,3.001804671498576e-08
1820,2.3732961373923445e-08
1821,1.1833785507064931e-08
1822,1.0025615893027862e-08
1823,3.4589404673823765e-08
1824,6.736890156844311e-09
1825,7.924898959288385e-09
1826,3.5231937367541377e-09
1827,4.608636583469661e-09
1828,1.2841221419535032e-08
1829,1.3717081692732336e-08
1830,5.42715448137443e-08
1831,1.7150327380477393e-08
1832,2.976593327375099e-08
1833,3.243415847009601e-08
1834,1.8669062740173104e-08
1835,1.5882484660778573e-08
1836,6.048674894287842e-09
1837,1.8090515752078318e-08
1838,3.597932263232906e-08
1839,2.586845759822154e-08
1840,3.184844388215424e-08
1841,1.219904177673925e-08
1842,1.408735705865638e-08
1843,2.1264878968807466e-08
1844,1.9209964507993504e-08
1845,4.296775557577348e-08
1846,2.6345256642912318e-08
1847,3.66739207890987e-08
1848,4.827133182061516e-08
1849,1.7596770485184265e-08
1850,4.412847331991543e-08
1851,4.1276406514967334e-08
1852,2.40890174474373e-08
1853,1.7318601663873778e-08
1854,2.1821790430198718e-08
1855,3.290301009428731e-08
1856,2.174419488909507e-08
1857,4.198097980356863e-08
1858,5.5787907626836386e-08
1859,6.925355777731568e-08
1860,4.4856404007864725e-08
1861,5.32903889904901e-08
1862,4.789065499721801e-08
1863,9.140156098652596e-08
1864,1.0212770673589944e-07
1865,6.777855565687219e-08
1866,7.152451303449325e-08
1867,5.532205094027631e-08
1868,6.421835962999722e-08
1869,6.299739663262471e-08
1870,8.371711324173248e-08
1871,4.8857414336467286e-08
1872,3.749350485637848e-08
1873,3.5916027651961e-08
1874,5.616132586760969e-08
1875,3.318485763958989e-08
1876,5.622793741721921e-08
1877,1.0328643007539995e-07
1878,4.5293164330217905e-08
1879,6.414791420272792e-08
1880,4.299957101494556e-08
1881,6.972507776703551e-08
1882,4.9249848643739824e-08
1883,4.92908434068795e-08
1884,7.790002598540013e-08
1885,5.5432465728699754e-08
1886,5.549978915331266e-08
1887,4.113222396018301e-08
1888,5.7699593547511085e-08
1889,7.831420667514521e-08
