year,nouveaux_ADJ acteurs_NOUN,nouveaux_ADJ facteurs_NOUN
1800,7.545995117652637e-08,0.0
1801,5.000483582762172e-08,0.0
1802,5.818384352096473e-08,0.0
1803,7.80135707145746e-08,0.0
1804,8.157108055684148e-08,4.943701892301533e-09
1805,5.970043304159844e-08,2.842877711017877e-09
1806,2.305335300434308e-08,2.881669125542885e-09
1807,5.693910054560547e-08,0.0
1808,8.83768831450027e-08,1.1330369531492579e-08
1809,8.358412628695078e-08,0.0
1810,5.8503168531842675e-08,0.0
1811,1.2535384286138651e-08,2.0056614147279106e-08
1812,8.001624962616916e-08,0.0
1813,1.0927818294703684e-07,2.0130190847567064e-08
1814,8.181360300341112e-08,0.0
1815,3.506390555685357e-08,1.3486118000116676e-08
1816,7.879853569647821e-08,0.0
1817,7.005930058312515e-08,0.0
1818,7.987188865854478e-08,0.0
1819,6.624672010957511e-08,1.035105001712111e-09
1820,5.22125169766241e-08,1.1866481131050932e-09
1821,6.409967312492881e-08,0.0
1822,9.42407893944619e-08,1.0025615893027862e-08
1823,5.5343047478118024e-08,1.9765373782121287e-09
1824,6.905312233129735e-08,0.0
1825,1.0038205289220059e-07,8.805443041381977e-10
1826,6.870227764466108e-08,1.2331177856594877e-08
1827,5.069500019772022e-08,7.373818444733615e-09
1828,5.503380862137419e-08,0.0
1829,5.658296231558779e-08,1.800366966620004e-08
1830,1.0123730476152559e-07,2.0873671680021744e-09
1831,2.494592976631793e-08,1.5591206103948707e-09
1832,6.629684889958298e-08,0.0
1833,9.03523016404506e-08,0.0
1834,8.867804646151001e-08,0.0
1835,5.974839467626225e-08,0.0
1836,8.132107431890745e-08,2.688300027031687e-09
1837,6.122944284925325e-08,4.174734336004349e-09
1838,3.913540269628868e-08,0.0
1839,4.894032556990169e-08,2.7965900706306e-09
1840,6.81556670545369e-08,5.732719632334238e-09
1841,4.9438221960684814e-08,2.5682194149112547e-09
1842,6.238686722781495e-08,1.6770663080478698e-08
1843,5.729703644874462e-08,7.678984559333912e-09
1844,3.1284798751585186e-08,6.037417232818143e-09
1845,2.9017185099178278e-08,1.1160455892778032e-09
1846,2.4003455223464698e-08,2.9272506640865004e-09
1847,5.015698079091635e-08,1.9954928376364478e-08
