year,telles_ADJ âmes_NOUN,telles_ADJ ames_NOUN,telles_ADJ femmes_NOUN
1800,3.144164484325529e-09,4.7162465932615305e-08,8.489244152087849e-08
1801,0.0,1.6668277424969347e-08,2.8574191901498125e-08
1802,0.0,2.9091921760482364e-08,9.398928568771225e-08
1803,7.801356893821776e-09,1.5602713787643552e-08,3.510610602219799e-08
1804,2.4718509461507665e-09,9.887403784603066e-09,7.415552616407695e-08
1805,0.0,8.528632911009026e-09,6.254330742194725e-08
1806,0.0,8.645007376628655e-09,1.0085842205853623e-07
1807,0.0,1.1387820464392462e-08,3.131650672116848e-08
1808,4.5321479902327155e-09,2.2660739062985158e-08,3.172503681980743e-08
1809,0.0,6.7770917766551975e-09,1.8072244367672852e-08
1810,2.3401267590372754e-09,3.042164919975221e-08,5.8503168531842675e-08
1811,2.5070767684098882e-09,7.521229861140455e-09,5.515568801683912e-08
1812,2.6672083208723052e-08,0.0,5.3344166417446104e-08
1813,0.0,2.8757416448144113e-09,8.627225156487839e-09
1814,9.440030979135372e-09,1.2586708564299443e-08,3.1466771410748606e-09
1815,2.966945977789237e-08,2.6972236000233352e-08,2.6972236000233352e-08
1816,0.0,2.3176038865813098e-09,4.4034475621401725e-08
1817,6.227493631882908e-09,4.981994905506326e-08,8.562803666123386e-08
1818,3.5763532135746345e-09,8.225612191381515e-08,1.7881765401739358e-08
1819,2.794783426907088e-08,7.24573512300708e-09,4.45095160728215e-08
1820,4.746592452420373e-09,2.966620371580575e-08,6.76389415588119e-08
1821,5.9168927535324656e-09,3.747365440176509e-08,3.648750634965836e-08
1822,1.4035862250239006e-08,1.804610860745015e-08,1.2130995230563713e-07
1823,1.087095569118901e-08,3.4589405117912975e-08,2.7671523294969802e-08
1824,2.6105450245950124e-08,1.0947446504872005e-08,2.5263338088166165e-08
1825,1.3208164340028361e-08,7.924898959288385e-09,2.8177417732422327e-08
1826,1.9377566218281572e-08,1.4092774947016551e-08,1.4092774947016551e-08
1827,1.3825909306319772e-08,2.027800150017356e-08,2.949527377893446e-08
1828,2.2013523448549677e-08,1.834460228167245e-08,6.145441955318631e-08
1829,2.571952872898464e-09,5.143905745796928e-09,2.3147574967907758e-08
1830,3.5485243188304594e-08,1.3567886369969528e-08,2.2961038403934708e-08
1831,1.5591206548037917e-08,2.494592976631793e-08,2.18276889896174e-08
1832,2.0294953273491956e-08,8.117981842303834e-09,4.464889891142576e-08
