year,nos_DET acteurs_NOUN,nos_DET facteurs_NOUN
1800,1.572082215517412e-07,2.2009151834367913e-08
1801,2.1430643926123594e-07,1.6668278313147766e-08
1802,1.7455153056289419e-07,1.3427040812530322e-08
1803,9.166594594489652e-08,3.900678446910888e-09
1804,3.8313689354474434e-07,2.471850879537385e-08
1805,2.814448958332605e-07,0.0
1806,1.210301041609796e-07,7.492339548775817e-08
1807,1.4234776246624392e-07,1.7081731584767113e-08
1808,1.9714843491058787e-07,0.0
1809,2.6656560692117637e-07,3.1626427920983247e-08
1810,2.433731811635198e-07,1.6380887757350138e-08
1811,1.328750691698133e-07,0.0
1812,3.8141078562148323e-07,2.9339290108509886e-08
1813,3.882251249365254e-07,1.4378708002027452e-08
1814,2.2970743085437562e-07,0.0
1815,7.282503799999063e-08,8.091670444798638e-09
1816,3.012885052555703e-08,4.6352077731626196e-09
1817,2.117347852603757e-07,6.227493631882908e-09
1818,2.3484719413602306e-07,7.152706427149269e-09
1819,1.883891052045783e-07,1.0351049795076506e-08
1820,1.8511711186164348e-07,2.610625848831205e-08
1821,3.4120750136423794e-07,3.4515210245444905e-08
1822,1.4737655362750957e-07,1.804610860745015e-08
1823,1.8974758653200752e-07,1.4824030003524058e-08
1824,1.675801373224317e-07,2.5263338088166165e-09
1825,2.791325464102101e-07,1.6730341556581152e-08
1826,1.1890778539580538e-07,2.3781558056157337e-08
1827,9.032927250629541e-08,4.608636583469661e-09
1828,1.1281930234474657e-07,2.2013523448549677e-08
1829,2.0918549381576668e-07,1.2002446148073886e-08
1830,2.8179457611798853e-07,6.262101504006523e-09
1831,1.434390961563281e-07,1.4032085715598441e-08
1832,2.313624831717931e-07,1.7588959622116818e-08
1833,2.374643841562829e-07,6.950177322551099e-09
1834,9.70791189658371e-08,6.534171426153534e-09
1835,8.924443761770817e-08,7.563087933704082e-10
1836,1.1290860202350927e-07,1.008112526790228e-08
1837,1.1202204142080063e-07,4.87052354003481e-09
1838,4.9234863297442644e-08,1.7674053331973028e-08
1839,8.110111526793418e-08,1.3283802502428443e-08
1840,4.713569756731317e-08,9.554533164646273e-09
1841,6.099521288049914e-08,1.4767261191650505e-08
1842,4.159124422642435e-08,1.0733224087289273e-08
1843,9.864541583581854e-08,1.5357969229690127e-08
1844,6.86070138478101e-08,1.2623690537338916e-08
1845,5.9150415232522846e-08,7.254296274794569e-09
1846,6.557041487553761e-08,1.8734404250153602e-08
1847,4.0988499705463255e-08,2.1572894581822766e-08
1848,7.562508741454366e-08,1.609044364414558e-08
1849,8.379414717651912e-09,2.262441967104678e-08
1850,4.0055077477063605e-08,6.44954596396019e-08
1851,5.159551008659946e-08,1.2898877521649865e-09
1852,5.5990691416596405e-08,1.9531636308300904e-09
1853,7.1065985762786e-08,1.9110182547521504e-08
1854,5.507404310378661e-08,5.195664620760709e-09
1855,1.2471302213157287e-07,6.8990182455763716e-09
1856,1.0406150430242178e-07,6.212627023938211e-09
1857,6.345961667264532e-08,1.1715622250108026e-08
1858,6.508589045495228e-08,1.2234189661342043e-08
1859,5.092173438470127e-08,7.129042689513199e-09
1860,6.041882638641027e-08,2.2885919270798638e-08
1861,7.215424169260132e-08,1.2733102572326516e-08
1862,6.460720403111964e-08,1.716834857612426e-08
1863,8.490855574194711e-08,1.748117206545885e-08
1864,4.794728081236599e-08,1.4863656527808189e-08
1865,4.4715022851082864e-08,1.1767110952298765e-08
1866,4.865613023596893e-08,1.4110277835044371e-08
1867,6.066014357486438e-08,2.2808213984149006e-08
1868,4.890475491237112e-08,2.0747471296544973e-08
1869,7.715959871035238e-08,1.8557372638561276e-08
1870,8.142349461337517e-08,6.880858549607183e-09
1871,4.0360473185785395e-08,1.6993883633631413e-08
1872,6.53112666171296e-08,1.572308139241585e-08
1873,6.824044795905593e-08,6.584604861359367e-09
1874,3.4652732683326803e-08,1.7923826867161097e-09
1875,1.1042547276574055e-07,1.0870901512305409e-08
1876,8.706261223068168e-08,9.673623679873344e-09
1877,7.669171520063855e-08,5.566334504436554e-09
1878,1.0266450622964385e-07,3.5630622674531764e-08
1879,1.3135049714563252e-07,1.710611075012025e-08
1880,1.354165508615779e-07,2.5029599504122757e-08
1881,1.310831387879574e-07,1.2550513517339823e-08
1882,6.189508083842554e-08,7.986461936226874e-09
1883,7.835980397885578e-08,5.0554711528150165e-09
1884,4.423136967801611e-08,1.7164413002035417e-08
