year,ses_DET arts_NOUN,ses_DET phares_NOUN
1800,4.213180280210338e-07,0.0
1801,3.143161109164794e-07,0.0
1802,4.5651938762603095e-07,0.0
1803,4.154222472685376e-07,0.0
1804,4.3998947840684366e-07,0.0
1805,3.980028928651791e-07,0.0
1806,3.544452908954554e-07,0.0
1807,3.729511108829797e-07,1.1387820464392462e-08
1808,5.347934908250807e-07,0.0
1809,3.817761671243147e-07,0.0
1810,2.948559592041988e-07,7.020380277111826e-09
1811,1.5794583196893086e-07,0.0
1812,4.587598212424382e-07,0.0
1813,3.278345606094746e-07,0.0
1814,3.461344864064131e-07,0.0
1815,4.5043632423968916e-07,0.0
1816,2.7811245217890246e-07,0.0
1817,4.919720177909426e-07,0.0
1818,4.124727333021383e-07,1.1921177378582115e-09
1819,3.1777722364623173e-07,0.0
1820,3.0852851917728685e-07,2.254631414899677e-08
1821,2.9485849495358707e-07,0.0
1822,2.7169419070105505e-07,0.0
1823,3.785069062622881e-07,2.9648061783404955e-09
1824,4.3284519701813906e-07,1.6842225392110777e-09
1825,5.036713557338146e-07,1.4088708866211164e-08
1826,4.6153838817453163e-07,8.807984341885344e-10
1827,5.290714509831318e-07,1.474763688946723e-08
1828,3.5129914977005683e-07,1.8344602503717056e-09
1829,5.941210837190347e-07,0.0
1830,3.746824122075054e-07,1.6698937344017395e-08
1831,3.492430096230237e-07,1.5591206103948707e-09
1832,5.344337649093589e-07,1.3529969367098715e-09
1833,4.494447791714151e-07,2.3167257001688313e-09
1834,4.499243835276445e-07,0.0
1835,4.031125868664276e-07,7.563087933704082e-10
1836,3.5149523325284093e-07,0.0
1837,3.1032194292013315e-07,5.5663127440652715e-09
1838,3.257075498197537e-07,0.0
1839,3.7474305636386873e-07,2.0974426639952526e-09
1840,2.8281418024134197e-07,6.369688665408546e-10
1841,3.678974382914646e-07,2.5682194149112547e-09
1842,2.596098638285582e-07,1.341653010911159e-09
1843,2.977083046751261e-07,1.063243981747064e-08
1844,2.4698525935562543e-07,1.097712254427563e-09
1845,3.320235761883339e-07,6.138250796539069e-09
1846,2.4705994894347327e-07,4.6836010625384006e-09
1847,3.26290034102783e-07,4.853901280910122e-09
1848,2.622742272251344e-07,9.65426583121598e-09
1849,4.03887813638093e-07,1.6758829879393033e-09
1850,3.81541576111033e-07,2.0366988096043315e-09
1851,3.579438565548543e-07,2.579775504329973e-09
1852,3.724032022756063e-07,6.510545436100301e-10
