year,seules_ADJ fois_NOUN
1800,1.5720821977538435e-08
1801,1.4287095950749062e-08
1802,2.2378401354217203e-09
1803,0.0
1804,1.730295728918918e-08
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,9.036122072814123e-09
1810,7.020380277111826e-09
1811,1.2535384286138651e-08
1812,5.3344166417446104e-08
1813,2.300593315851529e-08
1814,1.2586708564299443e-08
1815,0.0
1816,6.952811659743929e-09
1817,2.1796227045456362e-08
1818,3.5763532135746345e-09
1819,1.7596784473994376e-08
1820,3.797273961936298e-08
1821,1.3806083387635226e-08
1822,1.1028177482330648e-08
1823,1.9765373782121287e-09
1824,2.6947560627377243e-08
1825,8.805443485471187e-09
1826,1.4092774947016551e-08
1827,2.3043183361437514e-08
1828,9.172301140836225e-09
1829,3.257806824308318e-08
1830,3.1310506187764986e-08
1831,1.7150327380477393e-08
1832,2.3000948701223933e-08
1833,3.1275796175123105e-08
1834,1.4001796166951408e-08
1835,5.294161553592858e-09
1836,4.032449929525228e-09
1837,9.045257876039159e-09
1838,1.199310784016916e-08
1839,1.677954131196202e-08
1840,1.52872523528913e-08
1841,3.852329122366882e-09
1842,2.0124795163667386e-09
1843,8.860366662588604e-09
1844,6.037417232818143e-09
1845,1.1718478631905782e-08
1846,1.1123552745573306e-08
1847,8.089835468183537e-09
1848,1.6090443422100975e-09
1849,5.02764896381791e-09
1850,1.4935791270431764e-08
1851,5.8044946626978344e-09
1852,1.3021090872200602e-08
1853,8.957897534855874e-09
1854,1.0391328908454511e-09
1855,3.714855978387277e-09
1856,1.2425253714809514e-08
1857,1.610898081594314e-08
1858,1.8106600663259087e-08
1859,1.2221216039165483e-08
1860,5.034902272882391e-09
1861,2.8295783494058924e-09
1862,1.0391368654438793e-08
1863,5.494082966350788e-09
1864,8.151037178549814e-09
1865,1.2237795665726026e-08
1866,9.731225603104576e-09
1867,5.82337378318698e-09
1868,8.397785578040384e-09
1869,1.2208797528501236e-08
1870,1.490852596930381e-08
1871,2.1242354542039266e-09
1872,1.3304146229131675e-08
1873,1.496501056408306e-08
1874,8.364453130127458e-09
1875,1.6592428764283795e-08
1876,1.1487427897804992e-08
1877,4.9478527941460015e-09
1878,6.039088673581716e-10
1879,6.720257683667796e-09
1880,5.776061406947974e-09
1881,1.2550513517339823e-08
1882,1.2645231528551903e-08
1883,9.479008689083912e-09
1884,1.7164412113856997e-08
1885,9.023890079618013e-09
1886,1.936039106809062e-09
1887,1.1752064210668323e-08
1888,1.268122939990235e-08
1889,1.1277245803853475e-08
1890,9.176140736144589e-09
1891,6.3742202627281586e-09
1892,4.387958441043338e-09
1893,8.005941687372342e-09
1894,1.2603078580752936e-08
1895,9.027921521465032e-09
1896,1.1794058174530164e-08
1897,8.157399200570126e-09
1898,1.0750873968845553e-08
1899,9.39688327150634e-09
1900,9.863001082521805e-09
1901,1.5648469187112823e-08
1902,7.365425602756659e-09
1903,7.560307935250421e-09
1904,3.2247751136083025e-09
1905,7.2250627702885595e-09
1906,1.0802787109298606e-08
1907,1.9542804707839423e-08
1908,1.0313916831705683e-08
1909,1.5402754627302784e-08
