year,autres_ADJ hôtes_NOUN,autres_ADJ fautes_NOUN
1800,0.0,1.760732146749433e-07
1801,2.3811825844433088e-09,1.3334623116811883e-07
1802,2.2378401354217203e-09,1.991677720525331e-07
1803,1.950339223455444e-09,2.281896911426884e-07
1804,4.943701892301533e-09,3.238124861582037e-07
1805,0.0,3.383024491654396e-07
1806,1.4408345627714425e-08,3.4003696214313095e-07
1807,0.0,2.903894085193315e-07
1808,0.0,2.9685568847526156e-07
1809,9.036122072814123e-09,1.4683698168482806e-07
1810,4.680253518074551e-09,2.4805342491163174e-07
1811,1.2535384286138651e-08,2.6073598746734206e-07
1812,0.0,2.3204711530055988e-07
1813,1.1502966579257645e-08,3.335860299102933e-07
1814,1.2586708564299443e-08,1.9824065589091333e-07
1815,2.4275012222574333e-08,1.6453063267363177e-07
1816,1.1588019432906549e-08,1.62232268507978e-07
1817,7.784366928831332e-09,2.086210315610515e-07
1818,2.384235475716423e-09,2.813397941281437e-07
1819,1.035105001712111e-09,3.094964006189471e-07
1820,1.1866481131050932e-09,2.81235598365015e-07
1821,8.875339574387908e-09,3.126091883132176e-07
1822,2.8071724500478012e-08,1.965020715033461e-07
1823,2.2730180404550993e-08,2.352079523371131e-07
1824,9.263223965660927e-09,1.8947503122035414e-07
1825,2.641632912414593e-09,2.2013607292592496e-07
1826,1.4973572604048968e-08,1.9465645140215315e-07
1827,1.7512819638909605e-08,2.1844937236892292e-07
1828,3.668920500743411e-09,2.696656669631814e-07
1829,1.971830521085849e-08,1.8175133220665884e-07
1830,3.652892388572582e-08,2.3169775431597373e-07
1831,3.274153215215847e-08,1.9956743813054345e-07
1832,1.8941957335982806e-08,2.6112840600944764e-07
1833,3.8225973497674204e-08,1.308950032807843e-07
1834,3.733812548034621e-08,2.510988679205184e-07
1835,3.857174846189082e-08,2.1176645503828695e-07
1836,1.2769425516978572e-08,2.2178474523570912e-07
1837,2.852735292435682e-08,1.7742621594152297e-07
1838,1.7674054220151447e-08,1.9062728995322686e-07
1839,4.055055669027752e-08,1.859732350339982e-07
1840,1.1465439264668476e-08,2.3249363323429861e-07
1841,7.704658244733764e-09,2.0609961381978792e-07
1842,2.750388716776797e-08,1.4624018263020844e-07
1843,8.269675610961258e-09,1.5889590088136174e-07
1844,3.2382512671347286e-08,2.0417448354237422e-07
1845,2.2320911341466854e-08,1.8805367574259435e-07
1846,2.0490753982471688e-08,2.253982955835454e-07
1847,1.941560512364049e-08,1.5316754797822796e-07
1848,1.769948809737798e-08,1.504456434986423e-07
1849,3.603148357456121e-08,1.5837093769732746e-07
1850,1.765138968323754e-08,1.1541293076788861e-07
1851,1.9348316726564008e-08,1.3027866430093127e-07
1852,2.148479971708639e-08,1.5364886962743185e-07
1853,2.149895550473957e-08,1.881158586680698e-07
1854,1.4028294081924741e-08,2.026309147140637e-07
1855,2.175844215912548e-08,1.931725108761384e-07
1856,1.7602443946884705e-08,1.9932179151638252e-07
1857,3.5635014938861787e-08,2.0355892615953053e-07
1858,2.397901255335455e-08,2.0798123046006367e-07
1859,2.036869339860914e-08,1.5887580673279444e-07
1860,2.5632230560290736e-08,1.3044973651288316e-07
1861,3.4426534512022045e-08,1.3346176785944408e-07
1862,2.4848924695675123e-08,1.3870217685507669e-07
1863,3.8958042125614156e-08,2.1077299605654076e-07
1864,2.5412058235474433e-08,1.3856764269348787e-07
1865,4.471502279557171e-08,1.4355875738170099e-07
1866,5.54679857600604e-08,1.1580159053892203e-07
1867,4.173417877950669e-08,1.2423197581767909e-07
1868,2.766329387782207e-08,1.8870318285735266e-07
1869,2.8324411260882698e-08,1.4699392636430275e-07
1870,2.0069171213776826e-08,2.0241192544290243e-07
1871,1.4869648623516696e-08,1.5082071058714064e-07
1872,1.9351485747165498e-08,2.128663396661068e-07
1873,2.9331422624068182e-08,1.556361155508057e-07
1874,1.3741600746186577e-08,1.236744111565713e-07
1875,2.9751941355016243e-08,1.6306351824368903e-07
1876,1.753344314181504e-08,1.8803106627274246e-07
1877,3.587193120324628e-08,1.7874117608229767e-07
1878,3.0799352401800206e-08,8.515115013096874e-08
1879,2.1993571408529533e-08,1.6983923956104263e-07
1880,2.9522093214495726e-08,1.2771513979714655e-07
1881,1.5339516323820135e-08,1.4433090683718675e-07
1882,1.7969540522244642e-08,1.3244216900965e-07
1883,1.7694148368718743e-08,1.1627583518247775e-07
1884,2.1125430293977843e-08,1.0892799906514483e-07
1885,3.287274097374393e-08,1.0248560600167878e-07
1886,3.6784744139595205e-08,1.5552848076083592e-07
1887,3.982643903555072e-08,1.2339668054028863e-07
1888,1.3949351895803375e-08,1.0018170981673791e-07
1889,2.255449160770695e-08,1.0588080812112821e-07
