year,deux_DET oies_NOUN,deux_DET fois_NOUN
1800,3.458580932758082e-08,3.4670700983951974e-05
1801,5.23860170797974e-08,3.086250728756568e-05
1802,1.1860552717735118e-07,2.7131573347105586e-05
1803,9.751696339321825e-09,3.0355079445598676e-05
1804,7.4155528384522995e-09,3.0505111794809636e-05
1805,5.970043304159844e-08,3.2656135886099946e-05
1806,5.76333825108577e-09,2.492355559979842e-05
1807,0.0,2.290090708356729e-05
1808,2.039466551195801e-08,2.4969869514279708e-05
1809,4.518061036407062e-09,3.151799342049344e-05
1810,2.3401266702194334e-08,2.7213334874431894e-05
1811,0.0,3.31084555682537e-05
1812,7.468182872116813e-08,2.736022133831284e-05
1813,2.8757416448144113e-09,2.7679012987391616e-05
1814,9.440031423224582e-09,2.664920907591295e-05
1815,2.697223555614414e-09,3.0546057246283453e-05
1816,1.622322720606917e-08,2.721794010085432e-05
1817,7.784366928831332e-09,2.938754221304407e-05
1818,9.536941902865692e-09,2.7790649369308085e-05
1819,1.6561680027393777e-08,2.8823534307775844e-05
1820,3.322614805512103e-08,3.0133741347526666e-05
1821,1.577838126820552e-08,2.748495444393484e-05
1822,1.604098542884458e-08,2.7294739538774593e-05
1823,3.95307486744656e-09,2.800358242893708e-05
1824,1.2631669044083083e-08,2.7712197720575205e-05
1825,1.1447076175841175e-08,2.9907686894148355e-05
1826,1.8496766784892316e-08,2.8330881264082564e-05
1827,9.217273166939322e-09,2.7689609282788297e-05
1828,0.0,2.7315112674841657e-05
1829,2.914879759785549e-08,2.7290133971291652e-05
1830,1.982998831806526e-08,2.9094766887283185e-05
1831,6.236482441579483e-09,3.0602419542447024e-05
1832,2.1647950210201827e-08,2.7931269073633302e-05
1833,2.548398292390175e-08,2.893706300710619e-05
1834,1.7735608537350345e-08,2.7941984058088565e-05
1835,2.2689263801112247e-09,2.8843348900409183e-05
1836,4.099657546774438e-08,2.8773547910532216e-05
1837,1.5307360268224102e-08,2.9489628900591924e-05
1838,2.651107999795954e-08,3.082922955854883e-05
1839,1.2584655206815398e-08,2.8027426537846623e-05
1840,1.2102408297742784e-08,2.7368004793970613e-05
1841,3.980740226339208e-08,2.6917507057078183e-05
1842,2.4149754196400863e-08,2.7886929160558793e-05
1843,6.497602011990011e-09,2.8077911565560498e-05
1844,3.293136902060567e-08,2.7381882659938128e-05
1845,2.678509469777879e-08,2.708921715566248e-05
1846,8.781752214304106e-09,2.7796587573902798e-05
1847,2.8044763844548015e-08,2.7180768256584997e-05
1848,8.84974404868899e-09,2.9624115995829925e-05
1849,1.5920887941334172e-08,2.845565495590563e-05
1850,5.431196825611551e-09,2.8027012831444154e-05
1851,1.3543821175687754e-08,2.6843209752769326e-05
1852,1.5625309490729933e-08,2.6844280114346475e-05
1853,9.555090940693844e-09,2.888444259951939e-05
1854,2.4419623212423858e-08,2.650879901011649e-05
1855,2.1227748447927297e-08,2.7999400799672003e-05
1856,8.28350277259915e-09,2.6507209099690954e-05
1857,1.757343248698362e-08,2.8733050839946372e-05
1858,1.4681027893370668e-08,2.8643664791161427e-05
1859,2.7497735644033128e-08,2.822693545567745e-05
1860,3.4328881071132855e-08,3.0196140187399578e-05
1861,1.6034276573151374e-08,2.7717133548321726e-05
1862,3.388489855371546e-08,2.739932745043916e-05
1863,2.7969877358646755e-08,2.7851504910358926e-05
1864,2.1096803748399395e-08,2.8368967264214007e-05
1865,3.9066808454890634e-08,2.8242007374501554e-05
1866,2.6274310116480848e-08,2.9259848929541477e-05
1867,2.2808213984149006e-08,2.7761964474848355e-05
1868,2.321740799615668e-08,2.795968703139806e-05
1869,1.0743742229202269e-08,2.8118814498157008e-05
1870,4.013834153937523e-09,2.9436312729558267e-05
1871,2.6552942955504477e-08,2.9374990731412254e-05
1872,1.2699412743621963e-08,2.9198973265920358e-05
1873,2.514121905106137e-08,2.855982597793627e-05
1874,1.732636678575261e-08,2.9703964742111566e-05
1875,1.2015207495608138e-08,2.8971525352972094e-05
1876,3.023007311142578e-08,2.86520639747323e-05
1877,1.0514187187560253e-08,2.7972685302302125e-05
1878,2.1136809524868738e-08,2.750744442892028e-05
1879,3.299035578052667e-08,2.8755371545230446e-05
1880,1.7969970178555172e-08,2.8287298391660443e-05
1881,2.6495528548942104e-08,2.7855167900270317e-05
1882,2.5956002014382307e-08,2.8528309030662058e-05
1883,5.2450515042323786e-08,2.8712547646136954e-05
1884,1.3203393933736152e-08,2.885271635477693e-05
1885,2.2559724921489277e-08,2.810297075939161e-05
1886,1.097088819790315e-08,2.739495334935782e-05
1887,1.566941915109865e-08,2.789874861264252e-05
1888,2.4094334971636044e-08,2.9000068593632022e-05
1889,2.380751940034287e-08,2.836478063272807e-05
1890,6.554386366985909e-09,2.767393016256392e-05
1891,2.7409145841872373e-08,2.8318747467892535e-05
1892,2.4447198931909497e-08,2.7985773954242177e-05
1893,1.8475249941030114e-08,2.7207268658457906e-05
1894,2.3315695596437536e-08,2.7088427259513992e-05
1895,4.032471756509892e-08,2.8204430577716266e-05
1896,2.5357223876198987e-08,2.7882922267963295e-05
1897,4.4283022804236793e-08,2.7527726160769816e-05
1898,1.867257115595322e-08,2.680023135326337e-05
1899,8.291367592505594e-09,2.6858502906179638e-05
1900,2.3359739032002835e-08,2.6970115868607536e-05
1901,2.0678334156087885e-08,2.6672815010897466e-05
1902,1.8659078282468045e-08,2.5696006900943758e-05
1903,1.8360748255119574e-08,2.6448119342603604e-05
1904,3.815983884436491e-08,2.797384922814672e-05
1905,7.741138396966107e-09,2.671054028269282e-05
1906,3.3951617239846854e-08,2.7153577320859767e-05
1907,2.1085658274966335e-08,2.5966731300286483e-05
1908,2.4065805792616857e-08,2.7157526005794352e-05
1909,3.960708327976903e-08,2.7492816002450127e-05
1910,1.2825962070195374e-08,2.6768851626002288e-05
1911,2.128149700908466e-08,2.792504687931796e-05
