year,autres_ADJ os_NOUN,autres_ADJ fosses_NOUN
1800,2.5153315164061496e-07,3.144164484325529e-09
1801,6.691122962365625e-07,5.2386017301842e-08
1802,1.9245425164626795e-07,3.1329761895904085e-08
1803,6.494629474218527e-07,1.950339223455444e-09
1804,7.143649440877198e-07,7.4155526164076946e-09
1805,6.02690079176682e-07,2.842877755426798e-08
1806,5.907421609663288e-07,1.4408345627714425e-08
1807,5.039110533289204e-07,0.0
1808,3.013878426827432e-07,6.798221985349073e-09
1809,3.140052342587296e-07,0.0
1810,2.737948250342015e-07,0.0
1811,1.6546707115594472e-07,7.521229861140455e-09
1812,1.416287545907835e-06,5.3344164641089264e-09
1813,6.470418725257332e-07,5.463909147351842e-08
1814,3.5242783269495703e-07,9.440030979135372e-09
1815,5.906919682274747e-07,0.0
1816,3.383701709935849e-07,1.1588019432906549e-08
1817,3.144884317407559e-07,0.0
1818,5.185711984267982e-07,2.741870730460505e-08
1819,4.0162075265470776e-07,7.14222423425781e-08
1820,3.76167463400634e-07,1.1866481131050932e-09
1821,3.6290276739237015e-07,3.94459531705138e-09
1822,5.84493420774379e-07,7.619468078701175e-08
1823,4.852399229093862e-07,5.929612356680991e-09
1824,2.930547111645865e-07,6.736890156844311e-09
1825,7.026743560345494e-07,0.0
1826,2.4750434590714576e-07,1.4973572604048968e-08
1827,2.50709831561835e-07,1.3825909306319772e-08
1828,6.558195195793814e-07,1.2841221419535032e-08
1829,5.12675910613325e-07,5.143905745796928e-09
1830,3.037119142845768e-07,2.0873671680021744e-09
1831,2.556957667820825e-07,1.5591206103948707e-09
1832,3.0171833031999995e-07,4.058990921151917e-09
1833,5.479056426338502e-07,1.1583628278799551e-08
1834,7.038236162770772e-07,6.534171426153534e-09
1835,6.012654694131925e-07,6.050470346963266e-09
1836,5.282509505377675e-07,6.048674894287842e-09
1837,5.009681558476586e-07,1.3915781860163179e-09
1838,3.4464403597667115e-07,1.0730675015224733e-08
1839,3.104214840732311e-07,3.4957374772659477e-09
1840,2.45233024998015e-07,2.5478754661634184e-09
1841,3.39004969873713e-07,2.1829865914924085e-08
1842,1.636816620020909e-07,6.708265054555795e-09
1843,3.3196840831806185e-07,1.7720733769266417e-09
1844,1.9155078234689427e-07,9.879410178825765e-09
1845,3.297914759059495e-07,1.1160455892778032e-09
1846,2.3183825703654293e-07,1.2294452567118697e-08
1847,2.443130426854623e-07,1.240441438454809e-08
1848,1.8021296455117408e-07,1.528592186161859e-08
1849,1.9188860278518405e-07,2.0948537127196687e-08
1850,2.661286373495386e-07,3.59816780814981e-08
1851,2.199258659629777e-07,1.9348316282474798e-09
1852,2.0508218767645303e-07,1.9531636308300904e-09
1853,2.974022095258988e-07,1.3735443005202796e-08
1854,1.9847438181841426e-07,4.1565315633818045e-09
1855,3.1947760703587846e-07,1.0613874223963649e-08
1856,1.5945742859457823e-07,1.0872097000458325e-08
1857,1.2252587566763395e-07,9.763017949637742e-09
1858,8.270312434888183e-08,3.4255731584664773e-09
1859,1.1050016013314234e-07,5.092173349652285e-09
1860,1.7347527148103836e-07,4.119465657481669e-09
1861,1.6364394639367674e-07,1.0375120318428799e-08
1862,1.48641746022804e-07,4.517986429419807e-09
1863,1.2886121680821816e-07,6.493007020935693e-09
1864,4.1714133658388164e-07,1.1507347075223606e-08
1865,2.5652300905676384e-07,4.23615986733239e-09
1866,1.430490215170721e-07,8.75810357570117e-09
1867,3.0378600968106184e-07,1.6014277903764196e-08
1868,3.6308074413682334e-07,1.6301584082611953e-08
1869,2.9105774501658743e-07,6.348574999037737e-09
1870,3.1250564802576264e-07,8.027668307875047e-09
1871,2.8995813750043453e-07,1.1683295220166201e-08
1872,2.527787898998213e-07,1.5723081503438152e-08
1873,3.3880786531881313e-07,1.855661402316855e-08
1874,3.46527343708658e-07,5.974609251779839e-09
1875,2.2313956549169234e-07,5.721527251978387e-09
1876,1.910540703420338e-07,1.4510435519810017e-08
1877,1.8183358463375043e-07,3.401648740464225e-08
1878,2.0714074366878776e-07,3.200716847118201e-08
1879,2.6575565925668343e-07,3.1157558311178946e-08
1880,1.918936050060438e-07,3.5939940801199555e-08
1881,1.2829413265080802e-07,1.4642266066289267e-08
1882,2.342695495372027e-07,1.2645231528551903e-08
1883,1.4092125866227434e-07,1.2638677659992936e-08
1884,1.954102231138677e-07,1.9805090900604227e-09
1885,2.681384501102002e-07,9.66845359329227e-09
1886,2.1812708439483686e-07,2.2587123282846733e-08
1887,1.55388406142265e-07,1.9586774424595887e-09
1888,1.490044496677001e-07,1.4583413587843097e-08
