year,autres_ADJ eaux_NOUN
1800,3.6157891258881136e-07
1801,4.690929813477851e-07
1802,4.430923468135006e-07
1803,4.661310697429144e-07
1804,3.1392505661642645e-07
1805,3.5251684948889306e-07
1806,2.507052272449073e-07
1807,4.5551280436484376e-07
1808,3.7163613342272583e-07
1809,3.95330346236733e-07
1810,4.0250179722534085e-07
1811,3.93611060189869e-07
1812,2.0804223765935603e-07
1813,2.3581081620704936e-07
1814,3.8704129678990284e-07
1815,5.475363877849304e-07
1816,3.221469455638726e-07
1817,2.9424907665998035e-07
1818,2.944530876902718e-07
1819,1.418093802385556e-07
1820,2.75302369345809e-07
1821,1.64686852599516e-07
1822,4.3811940031446284e-07
1823,1.7492355652848346e-07
1824,1.4652735558229324e-07
1825,1.6730341201309784e-07
1826,2.395771616647835e-07
1827,2.497880871032976e-07
1828,2.017906268747538e-07
1829,3.1720750826025323e-07
1830,2.6092089910889626e-07
1831,3.2117884529725416e-07
1832,2.3948047100930125e-07
1833,4.888291300630954e-07
1834,2.3616362909706368e-07
1835,2.4201881387853064e-07
1836,2.022945722046643e-07
1837,3.4302402696084755e-07
1838,2.745790368408052e-07
1839,2.195323247633496e-07
1840,1.745294753163762e-07
1841,3.1332277217188675e-07
1842,2.2875184413351235e-07
1843,1.8193286166479083e-07
1844,2.952845932213677e-07
1845,1.975400749643086e-07
1846,2.494017508070101e-07
1847,1.3213397664912918e-07
1848,2.156119478513574e-07
1849,2.379753851755595e-07
1850,1.4867900688386726e-07
1851,1.8703372006712016e-07
1852,2.070353417593651e-07
1853,2.0125409605498135e-07
1854,2.5043101459232275e-07
1855,2.3987354325072374e-07
1856,2.619657664126862e-07
1857,2.260138671772438e-07
1858,2.0406629630542739e-07
1859,2.933091991508263e-07
1860,2.7600418661677395e-07
1861,1.9288292207875202e-07
1862,1.8840002269371325e-07
1863,1.62325179076106e-07
1864,3.509740906793013e-07
1865,1.6897571697427338e-07
1866,2.228450739494292e-07
1867,1.4558435168510186e-07
1868,2.1834243568719103e-07
1869,1.802018516627868e-07
1870,1.9782468996254465e-07
1871,1.7524942563795776e-07
1872,1.5844028666833765e-07
1873,2.5141218884527916e-07
1874,1.9357733549441036e-07
1875,1.6821289250401605e-07
1876,1.7956664066787198e-07
1877,1.9667714923343738e-07
1878,1.2923649705953721e-07
1879,1.3135048959611595e-07
1880,2.387438939877029e-07
1881,1.6176217343399912e-07
1882,1.6705016037121823e-07
1883,1.8262889511788671e-07
1884,1.577805619490391e-07
1885,2.6298192778995144e-07
1886,2.1619104018100188e-07
1887,1.730165024582675e-07
1888,2.1241059755539027e-07
1889,1.5349584714385855e-07
1890,1.4419650540276052e-07
1891,1.2557212869523937e-07
1892,1.9495072933750635e-07
1893,1.9337427659138484e-07
1894,1.7203201707616245e-07
1895,1.474560491487864e-07
1896,1.9342255086485238e-07
1897,1.3692776690277242e-07
1898,1.9181823063263437e-07
1899,2.4542447363273823e-07
1900,1.4586859720111534e-07
1901,1.654266696959894e-07
1902,1.4436234607728693e-07
1903,1.657867585436179e-07
1904,1.6715084427687543e-07
1905,1.3882441862733685e-07
1906,1.548399524153865e-07
1907,1.594281400230102e-07
1908,1.2327586773608346e-07
1909,1.0671907801906855e-07
1910,1.7101282878684287e-07
1911,1.4897047151407605e-07
1912,1.672224243520759e-07
1913,2.036348121237097e-07
1914,1.2857748288297444e-07
1915,1.2958838624399505e-07
1916,1.2415831918133335e-07
1917,1.6449637030291342e-07
1918,1.1256648946300629e-07
1919,1.1878124439590465e-07
1920,1.2191293308205786e-07
1921,1.2797943327313988e-07
1922,1.2321152098593302e-07
1923,1.2208340649522142e-07
1924,1.3149457345207338e-07
1925,1.033828738172815e-07
1926,9.808601930672012e-08
1927,1.1929670051813446e-07
1928,1.3254208397484035e-07
1929,1.4259720160225697e-07
1930,1.575540551357335e-07
1931,1.6651820544666407e-07
1932,1.6658495383126137e-07
1933,1.2961848483428184e-07
1934,1.0783422510485252e-07
1935,8.976213194955562e-08
1936,9.093535879856063e-08
1937,8.687871400070435e-08
1938,2.618973269363778e-07
1939,1.4223466848761745e-07
1940,2.0539842182643042e-07
1941,9.149658097840074e-08
1942,6.978687139280737e-08
1943,1.3645205854118103e-07
1944,9.318240046241044e-08
1945,6.317661416233022e-08
1946,7.79581839083221e-08
1947,9.894323227399582e-08
1948,5.544662684542345e-08
1949,9.031647607571358e-08
1950,8.933703554703243e-08
1951,1.1194472193665206e-07
1952,1.1810180211568877e-07
1953,8.726799904934524e-08
1954,8.013479657620337e-08
1955,1.6800238711311977e-07
1956,6.715278999536167e-08
1957,1.3075856486466364e-07
1958,1.1829308022015539e-07
1959,1.007597205671118e-07
1960,6.713208478004162e-08
1961,8.754680891343014e-08
1962,1.179603899004178e-07
1963,6.595374202333915e-08
1964,9.490990748872719e-08
1965,1.0451602605598964e-07
1966,7.92087675449693e-08
1967,9.712761084301746e-08
1968,6.871866276014771e-08
1969,1.3125679743097862e-07
1970,1.4026110761733435e-07
1971,7.913131838677145e-08
1972,8.516043692452513e-08
1973,1.0530219185511669e-07
1974,1.125114366118396e-07
1975,1.1137386479731504e-07
1976,8.798831174772204e-08
1977,1.1812331734972759e-07
1978,9.029698588847168e-08
1979,8.777959692451986e-08
1980,1.5293055355414253e-07
1981,8.982280519376218e-08
1982,6.642027727821187e-08
1983,7.957298464589257e-08
1984,9.162433656229041e-08
1985,8.782714644439693e-08
1986,9.351397523005289e-08
1987,8.860684630462856e-08
1988,7.675588875599715e-08
1989,1.0043263642955935e-07
1990,7.519138023326377e-08
1991,6.388997064732393e-08
1992,7.107828281505135e-08
1993,6.370088811991081e-08
1994,7.226649501035354e-08
1995,8.784370209014014e-08
1996,8.274042784250923e-08
1997,7.575933125281153e-08
1998,5.149579607177657e-08
1999,6.718195777466462e-08
2000,7.113030875416371e-08
2001,4.9945814595275806e-08
2002,6.002273522653923e-08
2003,6.250384387840313e-08
2004,4.492887129003975e-08
2005,7.16096195674254e-08
2006,4.570857825569874e-08
2007,5.23276817432361e-08
2008,5.364373834026992e-08
2009,4.1483275481368764e-08
2010,5.0544585405987164e-08
2011,4.244608931003313e-08
2012,5.855314810787604e-08
2013,4.267361219945087e-08
2014,4.850597079553154e-08
2015,4.255824848087286e-08
2016,5.0126427453278666e-08
2017,4.5029441508859236e-08
2018,4.1561612817986315e-08
2019,4.030560774026526e-08
