year,peaux_NOUN fines_ADJ
1800,3.144164484325529e-09
1801,2.3811825844433088e-09
1802,1.7902721083373763e-08
1803,1.755305234496518e-08
1804,4.943701892301533e-09
1805,8.528632911009026e-09
1806,0.0
1807,2.8469551160981155e-09
1808,9.064295980465431e-09
1809,6.7770915546105925e-09
1810,2.3401267590372754e-09
1811,2.5070767684098882e-09
1812,4.267533171287141e-08
1813,0.0
1814,0.0
1815,2.697223555614414e-09
1816,1.8540831092650478e-08
1817,0.0
1818,0.0
1819,1.5526575580793178e-08
1820,1.1866481131050932e-09
1821,2.9584463767662328e-09
1822,8.02049271442229e-09
1823,1.9765373782121287e-09
1824,0.0
1825,0.0
1826,4.403992281964975e-09
1827,2.7651818612639545e-09
1828,6.420610709767516e-09
1829,1.5431716349212365e-08
1830,2.0873671680021744e-09
1831,0.0
1832,2.705993873419743e-09
1833,1.1583628278799551e-08
1834,0.0
1835,4.5378527602224494e-09
1836,2.688300027031687e-09
1837,2.0873671680021744e-09
1838,6.312161904276081e-10
1839,3.4957374772659477e-09
1840,3.821813088222825e-09
1841,2.5682194149112547e-09
1842,1.0733224087289273e-08
1843,5.906911071384968e-10
1844,2.7442805805577564e-09
1845,3.348136878855712e-09
1846,5.269050973311096e-09
1847,5.393223645455691e-10
1848,4.022610855525244e-09
1849,9.217356433666168e-09
1850,1.3577992064028876e-08
1851,8.384270167027807e-09
1852,1.6927417689771573e-08
1853,7.166318205520383e-09
1854,8.313063126763609e-09
1855,3.714855978387277e-09
1856,5.177189343896771e-09
1857,5.857811125054013e-09
1858,4.404308473482388e-09
1859,1.5276519604867644e-08
1860,8.696649511641397e-09
1861,1.1318312731489755e-08
1862,1.2198563048571032e-08
1863,6.992469381295052e-09
1864,9.589455896019672e-10
1865,7.530950973944073e-09
1866,1.9462451761320665e-08
1867,9.220341823379385e-09
1868,9.385760613156435e-09
1869,1.953407657850903e-09
1870,2.2936195165357276e-09
1871,3.18635318130589e-09
1872,0.0
1873,1.915521447015678e-08
1874,1.3144139998644278e-08
1875,1.3159512590732447e-08
1876,8.464420941933781e-09
1877,1.2988113695655557e-08
1878,6.039088784604019e-09
1879,6.109325489944695e-09
1880,3.2089231272180996e-09
1881,4.183504653809678e-09
1882,7.320923423037584e-09
1883,2.0853818227806187e-08
1884,2.6406787867472303e-09
1885,3.86738152613475e-09
1886,9.680196200179125e-09
1887,4.570247291724172e-09
1888,6.340614699951175e-09
1889,1.4409814674820609e-08
1890,1.3108772733971819e-08
1891,5.099376032546843e-09
1892,9.402768119670668e-09
1893,1.4780200174868696e-08
1894,3.150769645188234e-09
1895,1.023164486468886e-08
1896,4.7176231254830725e-09
1897,8.157399200570126e-09
1898,6.224190496340043e-09
1899,8.844125432005967e-09
