year,tes_DET airs_NOUN,tes_DET fers_NOUN
1800,6.288328968651058e-09,1.4463156361443907e-07
1801,7.143547975374531e-09,4.7623650800687756e-08
1802,2.0140561218795483e-08,4.0281122437590966e-08
1803,7.801356893821776e-09,9.946730017418304e-08
1804,2.4718509461507665e-09,2.9662211131764593e-08
1805,1.1371510622026904e-08,8.244345606200909e-08
1806,8.645007376628655e-09,7.204172902675055e-08
1807,1.9928686256776018e-08,2.562259560079383e-08
1808,2.2660739507074368e-08,8.157866204783204e-08
1809,6.7770917766551975e-09,3.614448673694426e-08
1810,7.020380365929668e-08,1.263668458761913e-07
1811,2.2563690471599784e-08,4.011322829455821e-08
1812,1.0668832928217853e-08,9.335229123053068e-08
1813,5.751483289628823e-09,1.1790540543898942e-07
1814,6.293354282149721e-09,1.4474714760126517e-07
1815,2.697223555614414e-09,1.1598061511186586e-07
1816,4.6352077731626196e-09,6.257530316133852e-08
1817,1.71256075987003e-08,6.694555310104988e-08
1818,1.5497530370112145e-08,4.053200441944682e-08
1819,1.1386155129855524e-08,1.40774275791955e-07
1820,1.3053129244156025e-08,1.0917162907020383e-07
1821,1.577838126820552e-08,8.973954379598581e-08
1822,6.015369535816717e-09,8.321261191213125e-08
1823,2.569498536164616e-08,1.1167436042569534e-07
1824,2.86317822784099e-08,7.242157096243318e-08
1825,8.805443485471187e-09,1.0742640199623565e-07
1826,1.2331177745572575e-08,5.4609502475599925e-08
1827,8.295545583791863e-09,4.3321183085254233e-08
1828,2.0179061976932644e-08,8.438516818642938e-08
1829,6.001223074036943e-09,5.1439055681612444e-08
1830,1.2524203008013046e-08,8.453837252453411e-08
1831,1.5591206103948707e-09,4.677361786775691e-08
1832,1.7588959622116818e-08,7.98268180446371e-08
1833,1.737544208513242e-08,6.02348677603004e-08
1834,8.401078055442213e-09,8.401078055442213e-08
1835,1.5126175867408165e-08,4.0084366048631637e-08
1836,5.376600054063374e-09,3.898035066951522e-08
1837,1.0436836728189292e-08,2.5744196552324183e-08
