year,des_DET oies_NOUN,des_DET fois_NOUN
1800,3.772997354545282e-07,9.118077173297934e-07
1801,4.643306181772999e-07,9.1437414084794e-07
1802,4.1400042505301826e-07,5.661735258399858e-07
1803,4.5442904728076883e-07,1.0219777510922512e-06
1804,3.3617172467970136e-07,9.121130233324948e-07
1805,4.0368864784312564e-07,8.272773963646785e-07
1806,1.9595349609602408e-07,6.109138439569506e-07
1807,2.9893028363758845e-07,6.832692065472656e-07
1808,2.809931678449118e-07,4.668112296712934e-07
1809,5.195770000909761e-07,8.787628513751145e-07
1810,3.9314129374190543e-07,5.967323204458808e-07
1811,3.183987451471637e-07,7.671654862484445e-07
1812,1.520308643421231e-07,8.028296760720366e-07
1813,2.0705340375570813e-07,5.176335093892703e-07
1814,3.27254436438551e-07,7.205890670824999e-07
1815,2.751168040049379e-07,7.660115102225973e-07
1816,2.2248996955909206e-07,7.485860304967673e-07
1817,1.9149542329621738e-07,8.375978950425633e-07
1818,3.31408723130977e-07,8.201769787774538e-07
1819,2.1944226169523517e-07,7.608021972416168e-07
1820,2.385162769513727e-07,7.879343231209646e-07
1821,2.790801291174816e-07,7.899052157922526e-07
1822,2.1254305693219067e-07,8.561876256862888e-07
1823,2.15442573114899e-07,8.933948724143548e-07
1824,1.5158002586446173e-07,7.797950161148037e-07
1825,2.4391076713925486e-07,1.0901137954544282e-06
1826,2.3164998708136153e-07,9.063415973287192e-07
1827,2.2582319425534791e-07,8.037461837195892e-07
1828,2.1830077412410276e-07,8.346793975988476e-07
1829,2.3490502504275312e-07,1.0939372714346973e-06
1830,2.536151120224872e-07,1.1553577607958943e-06
1831,3.3053355763534853e-07,9.370314737466856e-07
1832,2.1783250325757564e-07,1.2623461809191383e-06
1833,3.475088590221276e-07,1.498921506026818e-06
1834,2.623003139134994e-07,1.3703091485961494e-06
1835,2.6243915129953166e-07,1.6858123146334947e-06
1836,2.473235943822871e-07,1.3360850782961897e-06
1837,2.9710193816256947e-07,1.6204928301455368e-06
1838,2.1650715620324945e-07,1.230240400218463e-06
1839,2.481973737644694e-07,1.4241635161171828e-06
1840,1.9427551034567614e-07,1.6070724613292953e-06
1841,2.2471919214339664e-07,1.6821837158786934e-06
1842,2.508891068231378e-07,1.7320739971182775e-06
1843,1.8665839540688012e-07,1.8884394272777882e-06
1844,2.3820356265247256e-07,2.0812623651167428e-06
1845,2.985421990731041e-07,2.2544120021894543e-06
1846,1.8266044810033577e-07,2.034439153586476e-06
1847,2.3244794267185398e-07,1.9329313385441083e-06
1848,2.260707319123867e-07,1.9903877728211228e-06
1849,1.9188860278518405e-07,2.195406820115764e-06
1850,1.8058729089887038e-07,2.050276823872821e-06
1851,2.4636856132964624e-07,2.1379888579531325e-06
1852,1.5950836518285882e-07,2.4954920121444957e-06
1853,2.573902571079145e-07,2.504031029637588e-06
1854,1.8860262152031737e-07,2.151005010997409e-06
1855,2.2819829226250476e-07,2.4189019036668924e-06
1856,1.8948512314764798e-07,2.43793845378093e-06
1857,1.6694761151292425e-07,2.5647449437560255e-06
1858,1.942789422115787e-07,2.8544812615827198e-06
1859,2.2762014584287726e-07,2.766068646797848e-06
1860,2.1970482655397916e-07,3.118893012965529e-06
1861,2.5371885348235423e-07,2.675366117088629e-06
1862,2.4442305335270476e-07,2.5761558397618955e-06
1863,2.3075147836948418e-07,2.6736205995803175e-06
1864,2.1672170014142011e-07,2.974169733604981e-06
1865,2.1557346707723468e-07,2.9060057968877118e-06
1866,1.761351877682671e-07,3.1621618701294096e-06
1867,2.4167001555497336e-07,3.1766503578722904e-06
1868,2.4402978426874e-07,3.0597580136237923e-06
1869,2.1389813420480408e-07,3.2006584584909348e-06
1870,2.2534811972008129e-07,2.7907614961186766e-06
1871,2.2729319937297987e-07,2.4195042540586797e-06
1872,2.2737995664101618e-07,3.0097608449963786e-06
1873,2.789478137366075e-07,3.0624398110745688e-06
1874,2.168783148626119e-07,3.0410759929710984e-06
1875,2.2428386659001376e-07,2.857902795083689e-06
1876,2.4788660191177314e-07,2.7406584484079843e-06
1877,2.5172201389978e-07,2.742347303907877e-06
1878,2.451869884900759e-07,2.9525104512373446e-06
1879,2.107717258503783e-07,2.8628298496258253e-06
1880,2.2205747929326947e-07,2.671107535157091e-06
1881,2.175422397776572e-07,2.867095178160639e-06
1882,2.549012436681153e-07,3.0395143753025877e-06
