year,deux_DET iles_NOUN,deux_DET fils_NOUN
1800,3.45858084394024e-08,1.8959312271249473e-06
1801,1.904946067554647e-08,2.7978894507896257e-06
1802,1.5664880947952042e-08,2.9315706342458725e-06
1803,5.851017448321727e-09,2.0166508001295824e-06
1804,3.707776485839531e-08,2.981052340089718e-06
1805,1.421438877713399e-08,3.7071125689180917e-06
1806,2.305335300434308e-08,2.8528525106708003e-06
1807,1.4234775580490577e-08,2.898200364143122e-06
1808,2.7192888385485503e-08,2.449626094858104e-06
1809,6.7770917766551975e-09,2.760535402046571e-06
1810,5.616304044053777e-08,2.8315533953104932e-06
1811,1.2535384286138651e-08,3.5074005069191116e-06
1812,1.0668832484128643e-08,2.333807103127583e-06
1813,2.0130191291656274e-08,2.8297298229063017e-06
1814,1.5733386149463513e-08,3.2221973427226658e-06
1815,2.697223555614414e-09,2.511115091863303e-06
1816,1.3905623319487859e-08,2.672197204844906e-06
1817,7.784366928831332e-09,2.2668076482545985e-06
1818,8.34482416500748e-09,4.5848847562979245e-06
1819,2.070209959015301e-08,3.814362024456841e-06
1820,1.5426425470366212e-08,2.7886231706020226e-06
1821,1.1833786284221048e-08,3.0787566629442153e-06
1822,1.0025615893027862e-08,2.941515674592665e-06
1823,3.557767380701904e-08,2.713785775654287e-06
1824,2.189489389792243e-08,2.9061259283480467e-06
1825,1.937197424695114e-08,3.4772695016727084e-06
1826,3.082794441944259e-08,3.9248378271850015e-06
1827,2.3964910667029216e-08,2.759651657413542e-06
1828,1.7427372100975447e-08,2.749855887884678e-06
1829,4.115124341286247e-08,3.2089398089851784e-06
1830,2.5048406682159907e-08,2.6582621686088714e-06
1831,7.795603274018958e-09,3.252325573299686e-06
1832,2.841293600397421e-08,3.0591260156143107e-06
1833,7.529358647673234e-08,2.5588236027829225e-06
1834,3.360431177767964e-08,2.3485679392365455e-06
1835,4.235329242874286e-08,2.617584733854983e-06
1836,2.4194700021240578e-08,2.9383120079273795e-06
1837,2.991893077730623e-08,2.6189501483031563e-06
1838,2.335499993399992e-08,2.7830322508748395e-06
1839,1.3283802724473048e-08,2.765827659345632e-06
1840,4.1402977490889725e-08,3.0287868924006034e-06
1841,2.1829865026745665e-08,2.586839109142147e-06
1842,1.9453968658211807e-08,2.77386757829845e-06
1843,4.0757687003178944e-08,2.792787491046056e-06
1844,2.0307677539577185e-08,2.7239729050165806e-06
1845,2.4553003186156275e-08,2.4050782769791113e-06
1846,3.21997570829069e-08,2.9729158121938326e-06
1847,2.7505441480002446e-08,2.7273531415517027e-06
1848,2.976732055293141e-08,2.1529014198051755e-06
1849,3.351766042491988e-08,2.192055024607953e-06
1850,2.4440385715251978e-08,2.0998364718138873e-06
1851,1.7413484432182713e-08,1.9883620261396118e-06
1852,2.9948508117882966e-08,2.7135953715173855e-06
1853,2.7470886676539408e-08,2.8480141764930522e-06
1854,2.805658755322682e-08,3.1163595366479058e-06
1855,3.449509122788186e-08,3.40440011825649e-06
1856,2.1744194667050465e-08,3.5676010128327107e-06
1857,2.001418675234845e-08,2.5759722959151077e-06
1858,1.761723378290725e-08,3.1627827965508004e-06
1859,1.78226069458276e-08,2.5542342143580754e-06
1860,1.1442959996221802e-08,2.5110429930919054e-06
1861,1.1318312787000906e-08,2.8130723634944843e-06
1862,1.6264750907213354e-08,2.6696780466295422e-06
1863,2.0477945228414285e-08,2.301521291769859e-06
1864,4.794727948009836e-09,2.260714218493831e-06
1865,1.4591218067128153e-08,2.6706634912443405e-06
1866,3.649209645573137e-08,2.6765737715095383e-06
1867,1.4073153309368536e-08,3.0208752548332996e-06
1868,9.38576083520104e-09,2.7821370238712007e-06
1869,8.30198221279943e-09,2.387064057529642e-06
1870,5.160643912205387e-09,3.018403177179607e-06
1871,1.4869647735338276e-08,1.818345495507856e-06
1872,1.3908880824864411e-08,2.7031607388039447e-06
1873,1.3169209722718733e-08,2.5362700526443405e-06
1874,8.961913544602851e-09,2.635997475408658e-06
1875,8.01013810836082e-09,2.197638600875962e-06
1876,1.2092029821886285e-08,2.6215520136929626e-06
1877,9.27722387800145e-09,2.3588887430037175e-06
1878,1.992899334446463e-08,2.3679265623854917e-06
1879,1.527331294770562e-08,2.3795821704197806e-06
1880,7.059630657835214e-09,2.535690981630978e-06
1881,1.743126931685879e-08,2.5233503961885617e-06
1882,1.0648616211028639e-08,2.481127509668113e-06
1883,1.1374810038322636e-08,2.6376920132520354e-06
1884,2.8387296957532726e-08,2.646620359314511e-06
