year,suis_VERB utile_ADJ,suis_VERB futile_ADJ
1800,2.5153315874604232e-08,0.0
1801,4.524246932646747e-08,0.0
1802,2.2378401354217203e-08,0.0
1803,7.216254971353919e-08,0.0
1804,1.1864884186252311e-07,0.0
1805,3.1271653710973624e-08,2.842877711017877e-09
1806,4.034336598124355e-08,0.0
1807,2.2775640928784924e-08,0.0
1808,9.064295980465431e-09,0.0
1809,6.325285539787728e-08,0.0
1810,3.978215445954447e-08,0.0
1811,3.5099073869560016e-08,0.0
1812,5.3344164641089264e-09,0.0
1813,4.601186631703058e-08,0.0
1814,9.440030979135372e-09,0.0
1815,0.0,0.0
1816,2.3176038865813098e-09,0.0
1817,3.7364962679475866e-08,0.0
1818,4.6492591110336434e-08,0.0
1819,2.173720581311045e-08,0.0
1820,2.8479554714522237e-08,0.0
1821,3.648750634965836e-08,0.0
1822,1.804610860745015e-08,0.0
1823,1.680056804787e-08,0.0
1824,4.29476756380609e-08,0.0
1825,1.6730341556581152e-08,0.0
1826,2.9947145208097936e-08,0.0
1827,3.502563927781921e-08,0.0
1828,1.4675682002973645e-08,0.0
1829,3.943661042171698e-08,0.0
1830,1.5655253093882493e-08,0.0
1831,2.182768810143898e-08,0.0
1832,1.8941957335982806e-08,2.705993873419743e-09
1833,1.2741991461950875e-08,0.0
1834,3.173740381612333e-08,0.0
1835,3.857174846189082e-08,0.0
1836,2.1506400216253496e-08,0.0
1837,1.6003149028165353e-08,1.3915781860163179e-09
1838,2.5879863585487328e-08,0.0
1839,2.0974425751774106e-08,0.0
1840,2.7389662093924017e-08,0.0
1841,1.6051371787284552e-08,0.0
1842,1.542900918138912e-08,0.0
1843,1.4767278067040479e-08,0.0
1844,2.140538946093784e-08,0.0
1845,1.7298706467272496e-08,0.0
1846,1.3465353276842507e-08,0.0
1847,2.0494249852731627e-08,0.0
1848,9.65426583121598e-09,0.0
1849,1.0893239199560867e-08,0.0
1850,2.4440385715251978e-08,0.0
1851,1.5478653025979838e-08,0.0
1852,1.3672145193766028e-08,0.0
1853,2.030456869306363e-08,0.0
1854,1.7665259477439577e-08,0.0
1855,7.960405667972736e-09,0.0
