year,des_DET eaux_NOUN,des_DET faux_ADJ
1800,1.2161627836348998e-05,2.3895649903238336e-07
1801,1.0810568916497232e-05,2.2859352810655764e-07
1802,1.0750584408469877e-05,2.0811913259422e-07
1803,1.2193521158110343e-05,2.3404070859101012e-07
1804,1.1934096463050992e-05,3.7324950596939743e-07
1805,1.0493061409988513e-05,3.155594185955124e-07
1806,8.725694257805117e-06,3.832619839272411e-07
1807,1.0451171831959982e-05,4.612067243670026e-07
1808,9.442730757314166e-06,4.033611631371059e-07
1809,1.143069447095968e-05,4.450290091995157e-07
1810,9.154575806746834e-06,4.2824320445333797e-07
1811,1.0775416043884434e-05,3.3594829318417396e-07
1812,1.0788856940280311e-05,3.947468165677037e-07
1813,9.303023773554742e-06,3.0770436154625713e-07
1814,7.325464238761015e-06,4.625615264153282e-07
1815,9.127404766218206e-06,2.993918162275122e-07
1816,8.081484850208653e-06,1.993139324696358e-07
1817,7.968077664344264e-06,3.1137468070596697e-07
1818,8.528410489816451e-06,3.600195626063396e-07
1819,8.172153641794466e-06,2.2151246525936585e-07
1820,7.181594508409717e-06,3.203949958674457e-07
1821,6.7215905588113856e-06,2.9485848607180287e-07
1822,8.149823329972605e-06,3.2182227016619436e-07
1823,6.7113327801848754e-06,3.59729810384124e-07
1824,7.527632703840936e-06,2.5852816065707884e-07
1825,7.487268231187727e-06,3.539788018258605e-07
1826,8.103345280119356e-06,2.0258364230585357e-07
1827,7.783987014065019e-06,2.977179249796791e-07
1828,7.69739506267797e-06,3.3754067274571753e-07
1829,8.64176151793572e-06,2.7091235921261614e-07
1830,8.167867537878237e-06,2.7344511188687193e-07
1831,8.966502967666656e-06,2.588140279868867e-07
1832,8.223515258976022e-06,2.88188342523199e-07
1833,9.679280147167901e-06,2.073469502761327e-07
1834,8.237723786663764e-06,2.6323378143899845e-07
1835,8.491078808958719e-06,2.730274886175721e-07
1836,6.8820482610476574e-06,3.7501784433402463e-07
1837,7.70795137583491e-06,3.799008325700015e-07
1838,7.458450674846517e-06,2.3733729115349433e-07
1839,6.9446324175714835e-06,2.467990789511987e-07
1840,7.442981001304361e-06,2.961905298803913e-07
1841,7.3110786047436704e-06,2.844303068627596e-07
1842,6.6042869377724855e-06,3.4882978638961504e-07
1843,7.415536231292208e-06,3.0775006543137806e-07
1844,7.332169111862186e-06,3.0900600389571764e-07
1845,7.733079932847886e-06,3.030063808751038e-07
1846,7.986125666548105e-06,3.114594733233389e-07
1847,6.925438384541849e-06,3.3869445026368794e-07
1848,6.943831074579521e-06,3.0571843012694444e-07
1849,7.152668619170299e-06,2.43840972302678e-07
1850,6.721785084096155e-06,2.9871582896134896e-07
1851,7.5155312018182485e-06,4.837079075059592e-07
1852,8.450037128682197e-06,4.017006496326303e-07
1853,7.715138671926525e-06,3.8041206096295355e-07
1854,8.09380572519558e-06,2.8524199091606306e-07
1855,8.42688534419267e-06,3.0727166944188866e-07
1856,7.945431899969435e-06,3.297869550777932e-07
1857,8.011532955265466e-06,3.563501724812568e-07
1858,7.1614053993585e-06,3.1759957686006146e-07
1859,8.112850899522073e-06,2.668298701991034e-07
1860,7.203114428477875e-06,2.439639024132134e-07
1861,7.572423086799063e-06,3.037080702483763e-07
1862,7.998191151159517e-06,2.8327773637926157e-07
1863,7.627784853525554e-06,3.506223702487432e-07
1864,7.602041137033666e-06,3.490561830687966e-07
1865,7.054618528457013e-06,3.3748073313688565e-07
1866,7.208892000676315e-06,2.7831305615677593e-07
1867,7.036091247414333e-06,3.460054500692422e-07
1868,7.288290028384381e-06,3.299835746872759e-07
1869,6.767580892130809e-06,3.7017075271705835e-07
1870,7.1973782382883655e-06,2.3394918713393054e-07
1871,6.624428294799145e-06,2.7508848887691784e-07
1872,6.733107710488184e-06,2.739444564525684e-07
1873,8.112831608286797e-06,2.3704577323258036e-07
1874,7.736521247636574e-06,2.2106053254589142e-07
