year,dernières_ADJ eaux_NOUN
1800,2.2009151834367913e-08
1801,4.524246932646747e-08
1802,8.056224487518193e-08
1803,2.5354410126965377e-08
1804,6.673997887673977e-08
1805,2.842877755426798e-08
1806,8.06867319624871e-08
1807,5.693910054560547e-08
1808,2.2660739951163578e-09
1809,4.51806094758922e-08
1810,2.574139479349924e-08
1811,7.019814773912003e-08
1812,1.1202274663446588e-07
1813,5.176335093892703e-08
1814,8.181360300341112e-08
1815,2.966945977789237e-08
1816,3.476405652236281e-08
1817,7.628679554727569e-08
1818,2.6226590676969863e-08
1819,5.900098543065724e-08
1820,2.966620371580575e-08
1821,4.043210211079895e-08
1822,1.2732532184145384e-07
1823,4.743689885344793e-08
1824,3.621078548121659e-08
1825,7.396572243578703e-08
1826,5.372870504061211e-08
1827,1.566936447261469e-08
1828,3.944089499441361e-08
1829,4.715246859632316e-08
1830,5.5315229730013016e-08
1831,1.2005229166334175e-07
1832,8.117981309396782e-08
1833,8.108539617524002e-08
1834,9.987947890977011e-08
1835,5.596685070941021e-08
1836,5.443807538085821e-08
1837,5.0792603900617905e-08
1838,8.079567237473384e-08
1839,3.985140750728533e-08
1840,5.477932418784803e-08
1841,4.8154113585496816e-08
1842,4.628702754416736e-08
1843,5.493427224223524e-08
1844,5.2141331252641976e-08
1845,5.4686232431322424e-08
1846,7.727941664370519e-08
1847,4.638172157456211e-08
1848,8.045221733254948e-08
1849,5.614208120618969e-08
1850,3.93761752093269e-08
1851,5.7400004749297295e-08
1852,2.9948509450150596e-08
1853,8.659301187208257e-08
1854,9.611979123747005e-08
1855,2.4942604426314574e-08
1856,3.986435714864456e-08
1857,9.518942789554785e-08
1858,4.79580251067091e-08
1859,3.971895168319861e-08
1860,6.087654469411063e-08
1861,9.47908702642053e-08
1862,4.292087041335435e-08
1863,8.940371287735616e-08
1864,6.760566151342573e-08
1865,1.33203698737816e-07
1866,6.763202264892243e-08
1867,5.28956434209249e-08
1868,8.743577240011291e-08
1869,6.153234011208042e-08
1870,8.142349372519675e-08
1871,4.142259157902117e-08
1872,7.01491345012073e-08
1873,1.1074108385855652e-07
1874,1.1530995891462226e-07
1875,4.176714796244596e-08
1876,8.585340793842988e-08
1877,1.867814489742159e-07
1878,8.575506171837333e-08
1879,1.0935692529301377e-07
1880,8.407378260244514e-08
1881,1.01798612206494e-07
1882,1.5373939277196769e-07
1883,9.47900815617686e-08
1884,1.1090850904338367e-07
1885,5.5432465728699754e-08
1886,6.77613698485402e-08
1887,8.226444947467826e-08
1888,8.750048152705858e-08
1889,5.826577265111155e-08
1890,4.784702056781498e-08
1891,5.736798058819659e-08
1892,7.647584965297938e-08
1893,3.87980243488073e-08
1894,7.309785843290229e-08
1895,6.138986918813316e-08
1896,3.951009475144929e-08
1897,4.311768009301886e-08
1898,6.054439438685222e-08
1899,5.3617512207893014e-08
1900,7.578937299967947e-08
1901,6.147612907625444e-08
1902,4.615666782115113e-08
1903,6.912281946824805e-08
1904,7.900698761886815e-08
1905,4.1286071450485906e-08
1906,5.19562632916859e-08
1907,4.782844342798853e-08
1908,4.322022562064376e-08
1909,4.510806661528477e-08
1910,5.878565900729882e-08
1911,3.5646507967612706e-08
1912,4.636384787204406e-08
1913,4.030272293675807e-08
1914,4.7546880210802556e-08
1915,7.657494904833584e-08
1916,5.273981784625903e-08
1917,2.7416060532914344e-08
1918,2.5270027848023346e-08
1919,4.6960025201769895e-08
1920,1.590168707821249e-08
1921,1.060184651180407e-08
1922,2.87739485571592e-08
1923,2.7601466001669905e-08
1924,2.5783249313349188e-08
1925,2.74954441437103e-08
1926,4.56991671171636e-08
1927,2.7873062080630007e-08
1928,2.5137291359556002e-08
1929,2.0052731031228177e-08
1930,1.995684684175103e-08
1931,1.710803587684495e-08
1932,3.7262424257278326e-08
1933,5.6206243215228824e-08
1934,1.9170528275935794e-08
1935,3.231436807027421e-08
1936,8.487299751891442e-09
1937,3.021868266728234e-08
1938,1.9447821131279852e-08
1939,1.5294050470515685e-08
1940,7.607348528892999e-09
1941,2.9515025978810172e-09
1942,1.517105907566929e-08
1943,1.7419411690866582e-08
1944,3.2131861615880553e-09
1945,1.5249527862692958e-08
1946,5.568441707737293e-09
1947,1.549713246618012e-08
1948,2.5005341797168512e-08
1949,5.890204768377316e-09
1950,1.595304155443955e-08
1951,1.2793682557799002e-08
1952,1.8980646387944944e-08
1953,1.1851209791302608e-08
1954,2.443134050622575e-08
1955,1.407841132561316e-08
1956,1.657016923672927e-08
1957,7.951533653738352e-09
1958,1.6544486669545222e-08
1959,1.4726420971555854e-08
1960,1.5225833038812198e-08
1961,7.64297514166401e-09
1962,9.512934440181198e-09
1963,1.2932106940866106e-08
1964,8.517555549758526e-09
1965,1.094408652591028e-08
1966,8.862519607077957e-09
1967,1.3804939413830652e-08
1968,1.2126823101255013e-08
1969,2.5888018839737015e-08
1970,5.058597540852361e-09
1971,5.138397263237948e-09
1972,1.1799337507056862e-08
1973,7.1671650836435674e-09
1974,6.1881286761433785e-09
1975,1.1422960355389478e-08
1976,1.0284348483935446e-08
1977,7.639816779203557e-09
1978,7.128709622605811e-09
1979,7.607565244427406e-09
1980,1.0801786132219604e-08
1981,9.488323904349727e-09
1982,8.069752865935698e-09
1983,9.47297440490047e-09
1984,6.378909400694965e-09
1985,9.624892882698077e-09
1986,2.997242676272549e-09
