year,pièces_NOUN in_ADJ,pièces_NOUN fines_ADJ
1800,5.345079756580162e-08,0.0
1801,5.9529565277216534e-08,4.7623651688866175e-09
1802,0.0,0.0
1803,1.5602713565598947e-08,3.900678446910888e-09
1804,4.00439845504863e-07,0.0
1805,3.1271654599152043e-08,0.0
1806,1.152667650217154e-08,0.0
1807,2.2775640928784924e-08,2.8469551160981155e-09
1808,3.852325747288887e-08,1.1330369531492579e-08
1809,0.0,0.0
1810,1.4742798093436704e-07,0.0
1811,8.774768645025688e-08,0.0
1812,2.6672083208723052e-08,2.400487453257938e-08
1813,1.0640243885973177e-07,0.0
1814,3.1466772298927026e-08,0.0
1815,5.39444717784221e-08,2.697223555614414e-09
1816,2.3176038865813098e-09,0.0
1817,4.826307620220405e-08,0.0
1818,2.026600220972341e-08,5.960588467246453e-09
1819,4.34744116262209e-08,0.0
1820,3.322614805512103e-08,0.0
1821,3.94459531705138e-09,1.4792232327920374e-08
1822,1.0025615893027862e-08,1.0025615893027862e-09
1823,3.9530746676064155e-08,3.9530747564242574e-09
1824,8.421112696055388e-10,8.421112696055388e-10
1825,2.201360693732113e-08,1.7610886082763955e-09
1826,0.0,0.0
1827,1.032334573380922e-07,6.452091305675367e-09
1828,3.485474309172787e-08,1.2841221419535032e-08
1829,4.115124596637543e-08,2.571952872898464e-09
1830,2.713577385016208e-08,1.0436835840010872e-09
1831,2.6505049710578987e-08,7.795603274018958e-09
1832,4.1131106343073043e-07,0.0
1833,1.598540748659616e-07,5.791814139399776e-09
1834,3.4071037191552023e-07,0.0
1835,2.8739734148075513e-08,0.0
1836,2.473236122568778e-07,2.016224964762614e-09
1837,3.75726116885744e-08,0.0
1838,4.986607748946881e-08,0.0
1839,2.237272092031617e-07,6.9914751765765e-10
1840,1.9746034141121527e-08,0.0
1841,2.7608359598474408e-08,1.926164561183441e-09
1842,4.226206851143388e-08,4.695785538189057e-09
1843,5.316219997553162e-08,1.7720733769266417e-09
1844,7.190015338665035e-08,1.6465684371524958e-09
1845,4.910600770458018e-08,1.674068439427856e-09
1846,2.5174355489099298e-08,5.854501328173001e-09
1847,5.231426936092021e-08,2.6966118227278457e-09
1848,8.447482535700601e-08,2.413566457803995e-09
1849,9.133562173246901e-08,0.0
1850,2.702020367451041e-07,0.0
1851,9.996630012665264e-08,6.449438760824933e-10
1852,1.7708683230921451e-07,1.3021090872200602e-09
1853,8.18154641812896e-08,5.971931837933653e-10
1854,1.0443285330952179e-07,6.234797567117312e-09
1855,1.2736649068756378e-07,5.306937111981824e-10
1856,3.2616291889553395e-08,1.0354378465748937e-09
1857,6.541221964084798e-08,4.881509085841174e-10
1858,3.7338747205239997e-07,1.9574704079872163e-09
1859,1.9452102106853886e-07,7.638259802433822e-09
1860,2.3801355553132453e-08,1.373155145145688e-09
1861,3.3954938771785237e-07,0.0
1862,5.064662644826967e-07,4.517986429419807e-09
1863,1.6981710970753738e-07,2.4973103585068657e-09
1864,3.8357823917145595e-08,1.102787461348953e-08
1865,9.178346183080777e-08,1.882737743486018e-09
1866,7.249763545047472e-08,1.4596838404656864e-08
1867,1.1598219629149753e-07,0.0
1868,1.9858293853758369e-07,1.1361710683388537e-08
1869,1.4455216046371788e-07,8.790334682373668e-09
1870,5.8487296783482634e-08,2.2936195165357276e-09
1871,4.779529860776677e-08,4.248470908407853e-09
1872,4.172663992108028e-08,4.23313739617015e-09
1873,6.405024777222934e-08,1.1373408881354408e-08
1874,8.663182987644902e-08,6.572069999322139e-09
1875,5.549881387789668e-08,1.2015206607429718e-08
1876,6.469235813710839e-08,1.209202959984168e-09
1877,1.0143098450043908e-07,1.0514186854493346e-08
1878,1.4010686300025554e-07,2.6571990829893366e-08
1879,1.4173635221048642e-07,9.163987790827832e-09
1880,5.776061562379198e-08,8.343199908722454e-09
1881,1.4154189870163592e-07,2.091752326904839e-09
1882,1.0116185378272746e-07,4.6587693702804245e-09
1883,3.5388297292549e-08,4.423537092179686e-09
1884,5.41339142401398e-08,1.3203393933736152e-08
1885,2.9585467586912273e-07,9.66845359329227e-09
1886,1.071274999819849e-07,3.2267319927115068e-09
1887,5.4190073095483626e-08,3.9173548849191775e-09
1888,1.0081577528353591e-07,5.706553452000662e-09
1889,1.5913446960169608e-07,7.51816386923565e-09
1890,4.391439034634459e-08,3.2771931834929546e-09
1891,7.904032628403002e-08,1.1473596295275001e-08
1892,4.7013841708576365e-08,1.191017329205124e-08
1893,1.0222971280615667e-07,3.079208221734575e-09
1894,8.25501678125562e-08,3.150769645188234e-09
1895,1.0953878404329487e-07,2.4074457982692365e-09
1896,1.0024949270714956e-07,4.1279202278587945e-09
1897,2.9133568113515196e-08,5.826713334045053e-09
1898,1.3410300425675814e-07,4.52668391659472e-09
1899,2.266307141951529e-08,1.1055156790007459e-09
1900,1.2043242902937124e-07,5.19105292084987e-09
1901,2.8502569415778112e-08,4.470991132876634e-09
1902,2.013216304774801e-08,7.365425602756659e-09
1903,6.156251219913145e-08,2.1600881083827517e-09
