year,vos_DET eaux_NOUN,vos_DET faux_ADJ
1800,1.0375742931501009e-07,1.5720821977538435e-08
1801,1.2144030847593967e-07,8.810375828893768e-08
1802,9.84649659585557e-08,2.2378401354217203e-09
1803,5.265916058760922e-08,1.950339267864365e-08
1804,8.404293216912606e-08,9.887403784603066e-09
1805,1.7625842474444653e-07,3.4114531644036106e-08
1806,5.76333825108577e-08,0.0
1807,1.1957211132340717e-07,3.131650672116848e-08
1808,7.024829073998262e-08,2.039466551195801e-08
1809,2.0783080856290326e-07,1.8072244145628247e-08
1810,1.193464669313471e-07,2.106114038724627e-08
1811,4.262030373070047e-08,5.0141535368197765e-09
1812,9.868670147739067e-08,2.6672083208723052e-08
1813,8.627225156487839e-08,2.0130190847567064e-08
1814,2.8320094713762956e-08,1.6992056828257773e-07
1815,5.933891955578474e-08,5.3944472000466703e-08
1816,2.5493642752394408e-08,7.184571870766376e-08
1817,6.850242650902061e-08,1.2454987263765815e-08
1818,7.391129952516451e-08,5.6029534789558966e-08
1819,6.728182633253255e-08,1.6561680027393777e-08
1820,9.01852530432734e-08,2.610625848831205e-08
1821,1.0354562363090736e-07,5.423818705274641e-08
1822,3.5089655625597516e-08,4.8122956286533736e-08
1823,7.412015357033397e-08,3.063632902922109e-08
1824,6.736890156844311e-08,3.789500713224925e-08
1825,1.1799293408998324e-07,3.78634048558979e-08
1826,3.52319382557198e-08,2.7304752237000685e-08
1827,8.387718608560135e-08,3.318218294579012e-08
1828,2.843413443587295e-08,2.7516904310687096e-08
1829,2.4862209901943544e-08,2.4862210068476998e-08
1830,5.322786122974321e-08,2.7135772739939057e-08
1831,7.016043013230444e-08,2.8064171431196883e-08
1832,5.953186388296672e-08,2.570694235259907e-08
1833,6.950177233733257e-08,9.266902800675325e-09
1834,6.254136053485126e-08,2.5203233944282033e-08
1835,7.487457054367042e-08,1.0588323107185715e-08
1836,4.234072398245914e-08,2.419469957715137e-08
1837,4.0355768504696243e-08,3.826840000442644e-08
1838,5.6178239615789494e-08,8.2058102535143e-09
1839,4.334714465148437e-08,1.3283802724473048e-08
1840,4.840963396812725e-08,1.4013314952876499e-08
1841,5.778493594732481e-08,1.733548105065097e-08
1842,3.5553803456878086e-08,2.6162233268678392e-08
1843,4.134837811031744e-08,2.008349708759738e-08
1844,3.348022492577485e-08,3.8419929682120824e-08
1845,2.8459162138005922e-08,2.7343116215661212e-08
1846,4.1566958541849885e-08,3.8054258633124505e-08
1847,2.8044762956369595e-08,1.3483059113639229e-08
1848,2.654923214606697e-08,2.654923214606697e-08
1849,2.262441967104678e-08,2.4300303991253713e-08
1850,4.1412874907109654e-08,3.394497838371535e-08
1851,4.5791015423901626e-08,2.644269869733762e-08
1852,5.403752667554329e-08,2.9297455350629775e-08
1853,3.881755716861335e-08,2.388772735173461e-08
1854,4.676097908884458e-08,2.3900057044556888e-08
1855,3.980202833986368e-08,3.131092896069276e-08
1856,3.36517302912398e-08,3.31340110903966e-08
1857,4.393358032928063e-08,2.3431244500216053e-08
1858,3.3766365703513657e-08,1.5170396494568195e-08
1859,2.7497736532211547e-08,2.1387128512628806e-08
1860,5.8587955015232396e-08,1.2358396972445007e-08
1861,5.046081197335184e-08,1.6034277017240584e-08
1862,6.957699216769697e-08,1.2650361702615243e-08
1863,5.344244291549671e-08,2.2975255475898848e-08
1864,8.582563282288902e-08,2.7809422320501653e-08
1865,7.954566783041628e-08,4.23615986733239e-08
1866,4.3303953534135076e-08,1.605652261149615e-08
1867,4.949867715708933e-08,3.4454963326879806e-08
1868,4.347089188616593e-08,1.6301584082611953e-08
1869,4.053320767916091e-08,1.2697149998075474e-08
1870,4.300536593504489e-08,1.77755516972411e-08
1871,2.230447138096281e-08,2.3366590440332402e-08
1872,4.233137573805834e-08,4.535504394276302e-08
1873,4.3697831131339626e-08,8.380405869257146e-09
1874,3.2262889249068394e-08,2.9873046258899194e-08
1875,3.4901315615343265e-08,2.1741803024610817e-08
1876,6.227394910851558e-08,3.446228258319195e-08
1877,6.061119695033312e-08,1.0514187298582556e-08
1878,2.4760263173106978e-08,1.0266450578555464e-08
1879,2.565916623620268e-08,1.1607717897987868e-08
1880,6.482024983434087e-08,7.059630879879819e-09
1881,2.161477319351235e-08,2.091752293598148e-08
1882,2.1297232422057277e-08,1.3976308554930483e-08
1883,2.1485751844352308e-08,1.0110941972563126e-08
1884,1.9805090012425808e-08,1.8484750619052193e-08
1885,2.127059772760731e-08,5.8010721781798225e-09
1886,2.774989432685615e-08,1.8069698626277386e-08
1887,3.3297517243457975e-08,1.0446279508080636e-08
1888,7.22830080235326e-08,1.141310668195672e-08
1889,2.380751951136517e-08,7.51816386923565e-09
1890,2.0318598359381213e-08,6.554386366985909e-09
1891,3.6970476458009216e-08,2.549687905251119e-09
1892,3.008885940403161e-08,4.387958441043338e-09
1893,3.4487133149241345e-08,9.23762488724833e-09
1894,4.348062176973144e-08,1.0082462864602348e-08
1895,2.9491210362664333e-08,1.1435367319734269e-08
1896,1.592197840238896e-08,1.2383761072154442e-08
1897,3.379494017963225e-08,2.913356778044829e-09
1898,3.168678830434146e-08,1.0750873968845553e-08
1899,2.2110313580014918e-08,6.080336234504102e-09
1900,2.906989848838748e-08,6.7483690857628176e-09
1901,2.6825947685438223e-08,1.676621641522047e-08
1902,1.669496474399068e-08,6.38336894454028e-09
1903,2.75411240480139e-08,5.400220493001484e-09
1904,1.7198800605910947e-08,9.13686282189019e-09
1905,2.7868098939620722e-08,1.754658085495464e-08
1906,1.3374879870298173e-08,1.4403716441790948e-08
1907,4.0628462372183094e-08,7.71426478252124e-09
1908,2.2101251051509507e-08,1.9154416719402434e-08
1909,2.8605114721358404e-08,1.2652262071366494e-08
1910,2.2979847358328698e-08,7.481810726517324e-09
1911,2.4473720827700163e-08,1.3832972878269345e-08
1912,2.6047105805560022e-08,1.250261111307438e-08
1913,2.598464909908671e-08,5.302989602995467e-09
1914,2.276892807628883e-08,1.0045115850232378e-08
1915,1.8849219074468238e-08,1.8849219074468238e-08
1916,8.789969641043172e-09,7.69122365795738e-09
1917,3.509255963596303e-08,6.5798546611262054e-09
1918,1.8378202071289707e-08,1.722956355365568e-08
1919,1.8415697411455767e-08,5.524709134618888e-09
1920,4.391894270483476e-08,8.329454903588385e-09
1921,1.6660043622440668e-08,5.300923311413186e-09
1922,2.8036154453570106e-08,1.1804696775641332e-08
