year,ses_DET autographes_NOUN,ses_DET photographes_NOUN
1800,0.0,0.0
1801,2.3811825844433088e-09,0.0
1802,0.0,0.0
1803,0.0,0.0
1804,0.0,0.0
1805,0.0,0.0
1806,0.0,0.0
1807,0.0,0.0
1808,0.0,0.0
1809,0.0,0.0
1810,0.0,0.0
1811,0.0,0.0
1812,0.0,0.0
1813,0.0,0.0
1814,0.0,0.0
1815,0.0,0.0
1816,0.0,0.0
1817,0.0,0.0
1818,0.0,0.0
1819,0.0,0.0
1820,0.0,0.0
1821,4.930744257336528e-09,0.0
1822,0.0,0.0
1823,0.0,0.0
1824,0.0,0.0
1825,0.0,0.0
1826,0.0,0.0
1827,0.0,0.0
1828,1.8344602503717056e-09,0.0
1829,9.430493719264632e-09,0.0
1830,4.174734336004349e-09,0.0
1831,0.0,0.0
1832,0.0,0.0
1833,1.1583628500844156e-09,0.0
1834,0.0,0.0
1835,2.2689263801112247e-08,0.0
1836,1.7473950730817478e-08,0.0
1837,1.530735971311259e-08,0.0
1838,1.2624323808552163e-09,0.0
1839,6.292327547896548e-09,0.0
1840,4.2039945191696404e-08,0.0
1841,2.953452238330101e-08,0.0
1842,2.1466447730489335e-08,0.0
1843,3.721353891705803e-08,0.0
1844,2.6893950177964143e-08,0.0
1845,2.0088821273134272e-08,0.0
1846,1.8148954339380907e-08,0.0
1847,2.6426796750911308e-08,0.0
1848,5.63165514222419e-09,1.6090443422100975e-09
1849,3.1841775882668344e-08,0.0
1850,4.955967014552698e-08,0.0
1851,3.9341575330809064e-08,0.0
1852,3.1250618093281446e-08,0.0
1853,2.3290535056119666e-08,0.0
1854,4.2604449745908823e-08,0.0
1855,3.290301009428731e-08,0.0
1856,4.504154649254133e-08,0.0
1857,4.002837394878611e-08,0.0
1858,3.0830158870287505e-08,0.0
1859,4.175582035692571e-08,0.0
1860,1.0527522853465143e-08,0.0
1861,2.0278644097260212e-08,1.4147891747029462e-09
1862,7.590217254715981e-08,1.8071945051545413e-09
1863,2.3974179641506055e-08,0.0
1864,4.650886253898534e-08,0.0
1865,4.6127073716206723e-08,0.0
1866,3.3572728597164314e-08,0.0
1867,9.657094857118409e-08,9.7056229719783e-10
1868,3.704905604529074e-08,1.975949626142892e-09
1869,6.446245581770427e-08,0.0
1870,7.396923029645563e-08,5.734048791339319e-10
1871,6.160282683964624e-08,0.0
1872,1.995621967676442e-08,1.8142017887967654e-09
1873,3.771182865985878e-08,0.0
1874,2.7483201936462365e-08,0.0
1875,4.2339300065918906e-08,5.721527140956084e-10
1876,2.6602465119651697e-08,0.0
1877,2.8450154232473324e-08,0.0
1878,5.07283441919526e-08,0.0
1879,2.932476128592043e-08,0.0
1880,1.4761046607247863e-08,3.2089231272180996e-09
1881,3.067903492359747e-08,0.0
1882,3.8601232432711186e-08,6.655385131892899e-09
1883,4.613117265961364e-08,1.2638677882037541e-09
1884,4.2250861476134105e-08,0.0
1885,4.1252068871955316e-08,6.445635691854079e-10
1886,5.614513498564122e-08,5.162771099520569e-09
1887,3.068594583988116e-08,3.264462256069578e-09
1888,2.2192151671873717e-08,0.0
1889,1.879540939553337e-08,0.0
1890,1.7696844212267138e-08,2.6217545912032847e-09
1891,3.505821055682645e-08,1.9122659011827636e-09
1892,3.19694137829174e-08,2.5074049503359674e-09
1893,3.510297474917934e-08,4.926733243593162e-09
1894,2.83569265846495e-08,0.0
1895,3.4306103735559645e-08,0.0
1896,2.299841384001411e-08,1.179405795248556e-09
1897,4.195233749282323e-08,2.330685422435863e-09
1898,2.037007806876545e-08,1.6975064687230201e-09
1899,1.8241008703512307e-08,0.0
1900,1.9206897294843372e-08,0.0
1901,2.459045100877688e-08,0.0
1902,1.718599307309887e-08,0.0
1903,1.5660639007819555e-08,2.7001101354784396e-09
1904,1.9348650681649815e-08,1.6123875568041512e-09
1905,2.37394921498435e-08,2.0643036169332163e-09
1906,3.0865107802924285e-08,1.5432553013283723e-09
1907,2.108565722025446e-08,2.057137349353866e-09
1908,9.82277836847345e-09,4.911389073214423e-10
1909,3.4106097501762633e-08,3.850688656825696e-09
1910,2.2979847136284093e-08,8.01622590529405e-09
1911,3.298632123005518e-08,4.788336838146279e-09
1912,1.7712032729377825e-08,1.5628263128064646e-09
1913,1.909076341455318e-08,1.060597942803554e-09
1914,1.6741859454327823e-08,1.3393487430235496e-09
1915,1.5314990164938536e-08,1.1780762143587253e-08
1916,9.888715624128963e-09,0.0
1917,2.6319418644504822e-08,1.0966424435210342e-09
1918,1.2635013924011673e-08,1.1486376294556067e-09
1919,2.5781975665495338e-08,6.445493971884986e-09
1920,2.8774479687854182e-08,7.572231730534895e-10
1921,2.196096815509918e-08,1.5145494858259667e-09
1922,2.1396012073182646e-08,0.0
1923,2.2293490609115452e-08,2.1231896241147297e-09
1924,3.609654752878555e-08,7.734974438733389e-09
1925,3.739380627365563e-08,6.598906754362588e-09
1926,4.2355324580967135e-08,1.3375366592072169e-08
1927,6.020581566623662e-08,1.1149224876660924e-09
1928,2.2852082004476415e-08,4.570416489713125e-09
1929,2.562293510699476e-08,4.4561625500705304e-09
1930,3.3611531891075686e-08,0.0
1931,1.2545892325022123e-08,3.4216069977333063e-09
1932,2.959074962838315e-08,1.0959536611565568e-09
1933,3.785318680726846e-08,0.0
1934,2.6359476379411717e-08,1.1981580172459871e-09
1935,1.555876938397205e-08,2.393656828303392e-09
1936,1.9399543305098632e-08,0.0
1937,1.888667711114067e-08,2.5182236296217297e-09
1938,1.2965214679638848e-08,6.4826072287971215e-09
1939,3.364691281149135e-08,1.5294050470515685e-09
1940,1.5214697057785997e-08,2.5357829169792012e-09
1941,5.312704587367989e-08,0.0
1942,6.068423541449874e-09,0.0
1943,2.322588166236983e-08,8.709705845433291e-09
1944,1.927911696952833e-08,0.0
1945,2.832055256973831e-08,8.714016175304096e-09
1946,2.3665877257883494e-08,8.352662561605939e-09
1947,9.536696765621855e-09,4.7683483828109274e-09
1948,1.3046265401328583e-08,5.435944139264848e-09
1949,2.3560819073509265e-08,1.9634016634739737e-09
1950,3.296962214349719e-08,3.190608444114673e-09
1951,1.9190523947720806e-08,3.1984206394497505e-09
1952,1.4762725264461096e-08,5.272402070488624e-09
1953,1.5083358673173564e-08,6.464296653518886e-09
1954,1.2704297169818801e-08,3.9090144454689835e-09
1955,1.783265490828967e-08,3.754243138587299e-09
1956,1.7442283395396885e-08,2.616342476002842e-09
1957,2.650511388146981e-08,1.7670075402875796e-09
1958,1.3235589513271862e-08,7.445019267748876e-09
1959,1.8601795659378695e-08,2.325224457422337e-09
1960,2.560708367571607e-08,5.536666680683311e-09
1961,6.94815938118154e-09,1.042223907177231e-08
1962,1.1415521861124489e-08,3.805173953708163e-09
1963,3.0390449268224984e-08,3.2330267352165265e-09
1964,1.8860301653766953e-08,5.475571551727398e-09
1965,9.302473458205895e-09,7.1136563306595235e-09
1966,1.163205709531212e-08,2.215629901769489e-09
1967,1.8242242272314968e-08,4.930335695263466e-09
1968,2.1109655301554398e-08,4.042274071025531e-09
1969,1.68045038995146e-08,4.995933444718048e-09
1970,2.7592349738370103e-08,2.7592350626548523e-09
1971,2.980270608077262e-08,3.0830383801472294e-09
1972,2.7702793281569882e-08,5.643161493651405e-09
1973,3.418186511616739e-08,1.102640756478479e-09
1974,1.518904291231138e-08,2.2502286700643026e-09
1975,1.0851811893530794e-08,2.8557400888473694e-09
1976,6.8562320265641574e-09,5.142174241967723e-09
1977,1.4104276857551667e-08,3.526069214387917e-09
1978,1.0099005187669263e-08,3.5643548113029055e-09
1979,1.0533551808578068e-08,4.096381456264453e-09
1980,1.7055452161685025e-08,7.95921106799824e-09
1981,1.0120879245789638e-08,5.69299452024552e-09
1982,8.690503316977072e-09,9.311253101884631e-09
1983,1.3893695083311286e-08,1.326216381158929e-08
1984,8.69851302098823e-09,1.6817124248724724e-08
1985,1.3234227935754461e-08,9.624892882698077e-09
1986,1.4386764723983703e-08,1.8582905048081244e-08
