year,grands_ADJ airs_NOUN,grands_ADJ fers_NOUN
1800,2.6725399493443547e-07,0.0
1801,1.8096987730586989e-07,1.1905912700171939e-08
1802,1.2531904758361634e-07,0.0
1803,1.2092102963379148e-07,0.0
1804,3.114532205472642e-07,0.0
1805,2.50173229687789e-07,0.0
1806,4.3513205127965193e-07,0.0
1807,2.1921555060089304e-07,2.2775640928784924e-08
1808,1.6768947830314573e-07,0.0
1809,1.8298146642337088e-07,0.0
1810,4.7036547812240315e-07,0.0
1811,4.086535057012952e-07,0.0
1812,3.414026537029713e-07,0.0
1813,3.36461766892171e-07,2.8757416448144113e-09
1814,1.9194730782601255e-07,0.0
1815,1.780167480092132e-07,0.0
1816,2.0394914201915526e-07,0.0
1817,3.674221318306081e-07,1.556873407970727e-09
1818,2.1577331210664852e-07,1.0729059418679299e-08
1819,2.1530183857976226e-07,0.0
1820,3.0259528216447507e-07,0.0
1821,3.303598532511387e-07,0.0
1822,2.3760709666476032e-07,2.3058916553964082e-08
1823,2.8956273467883875e-07,0.0
1824,3.5200250181333104e-07,8.421112696055388e-10
1825,3.0114614446574706e-07,1.8491430608946757e-08
1826,1.7175570121708006e-07,1.8496766784892316e-08
1827,1.1245072784049626e-07,0.0
1828,2.1738354405442806e-07,1.2841221419535032e-08
1829,4.878137360719847e-07,0.0
1830,3.9346872426904156e-07,0.0
1831,2.744052380876383e-07,0.0
1832,3.5989717162010493e-07,0.0
1833,2.872739912618272e-07,3.4750886612755494e-09
1834,2.5389923052898666e-07,0.0
1835,3.947931759284984e-07,5.294161553592858e-09
1836,2.2447305525474803e-07,8.736974699274924e-09
1837,2.2891461526342027e-07,4.174734336004349e-09
1838,2.7016054104933573e-07,1.2624323808552163e-08
1839,2.747649716638989e-07,0.0
1840,3.4205228871542204e-07,2.5478754661634184e-09
1841,2.1573043795797275e-07,1.2841097074556274e-09
1842,3.723087047546869e-07,6.708265054555795e-09
1843,2.746713789747446e-07,3.5441467538532834e-09
1844,2.2118902620604786e-07,1.097712254427563e-09
1845,3.0691253982695343e-07,0.0
1846,3.354629143359489e-07,1.1709002656346001e-09
1847,1.7096519400183752e-07,0.0
1848,2.2204811500614596e-07,1.6090443422100975e-09
1849,2.1283713635966706e-07,1.6758829879393033e-09
1850,1.7108270355947752e-07,1.1541293254424545e-08
1851,2.61847219462652e-07,6.449438760824933e-09
1852,2.584686455975316e-07,3.906327261660181e-09
1853,3.2606746458441194e-07,4.777545470346922e-09
1854,2.156200764602545e-07,2.5978321716024766e-09
1855,3.730776825250359e-07,1.539011762474729e-08
1856,4.581812333981361e-07,6.73034605824796e-09
1857,4.398239639158419e-07,7.322263684272912e-09
1858,4.0519637423130916e-07,4.893676130990343e-09
1859,4.297794191643334e-07,6.619825576592575e-09
1860,3.80363985641452e-07,9.612086238064421e-09
