year,ces_DET eaux_NOUN,ces_DET faux_ADJ
1800,5.684649579507095e-06,8.457802636030465e-07
1801,5.643402516852802e-06,1.1358240499248495e-06
1802,6.4516930251556914e-06,6.95968282116155e-07
1803,6.761826284673589e-06,7.762349980566796e-07
1804,5.571551923821971e-06,1.2705313636729443e-06
1805,5.142765701293683e-06,8.699205835682733e-07
1806,5.339733093023824e-06,7.232989673866541e-07
1807,6.146575913135166e-06,1.1729455096087804e-06
1808,5.429513464605407e-06,8.497777734817191e-07
1809,5.292908269893815e-06,1.0301179145244532e-06
1810,5.354210145469551e-06,1.3011104371685178e-06
1811,7.263001293722482e-06,6.794178197822021e-07
1812,6.075900216728769e-06,9.601949635396068e-07
1813,5.115944532008143e-06,6.90177991202745e-07
1814,6.104553847308125e-06,8.086960008313326e-07
1815,9.742371503307368e-06,1.219145033815039e-06
1816,5.126539804223285e-06,8.412901948418039e-07
1817,4.107031941202877e-06,1.0571169966056004e-06
1818,4.881721963556629e-06,9.405808825135864e-07
1819,4.499601629959216e-06,1.02682418656741e-06
1820,3.7462481827787997e-06,1.0632367519747277e-06
1821,3.828229665714389e-06,1.2316999331574152e-06
1822,5.578252512350446e-06,1.0947972128860783e-06
1823,3.3670313541733776e-06,1.1661570624710293e-06
1824,3.2926551227774326e-06,9.499015369840436e-07
1825,3.863828311523321e-06,8.365171133561944e-07
1826,5.975336648589291e-06,9.3364631581494e-07
1827,4.558863054171525e-06,8.940755087394336e-07
1828,3.9239105262822704e-06,1.0300493826775892e-06
1829,4.626085683412384e-06,9.66196932239427e-07
1830,4.214394380142039e-06,9.560141833730995e-07
1831,5.174721195544407e-06,7.281093452604637e-07
1832,3.6436207437873236e-06,9.498038284760923e-07
1833,6.72777133559066e-06,8.432881806186288e-07
1834,3.985844699627705e-06,9.614566920390644e-07
1835,4.484911244162504e-06,9.181588751516756e-07
1836,3.472611638244416e-06,1.0155053189464525e-06
1837,4.68266074449275e-06,9.253995010283234e-07
1838,4.6318646127474494e-06,8.489857989957272e-07
1839,3.5265000803974544e-06,7.564775970081428e-07
1840,4.054306941725372e-06,1.0044998859370935e-06
1841,3.982024338711199e-06,9.258430822001174e-07
1842,3.382978036370332e-06,8.653662035840171e-07
1843,3.3887948802657775e-06,9.941331313711999e-07
1844,3.5006043503926776e-06,8.792674961455305e-07
1845,3.841986853103663e-06,1.1891466016322738e-06
1846,4.366872587979742e-06,9.308657098472395e-07
1847,3.4074387258442584e-06,8.327137486219272e-07
1848,4.2366138472971215e-06,7.224609248623892e-07
1849,4.424331052632624e-06,7.315229417770297e-07
1850,3.560828531590232e-06,7.800556218739985e-07
1851,4.572652017031942e-06,8.964719775406138e-07
1852,4.258547846802685e-06,9.466332855367909e-07
1853,4.6945356189098675e-06,1.0331442261701795e-06
1854,4.657913279970671e-06,1.3337270203805929e-06
1855,4.0794425331114326e-06,8.54947590056554e-07
1856,4.2546141116872604e-06,1.045792188847372e-06
1857,4.6891776719348854e-06,8.362024921382272e-07
1858,3.8738339753763285e-06,7.790732468038186e-07
1859,4.827889483749459e-06,7.454941517437419e-07
1860,4.979060690857295e-06,7.561507739950457e-07
1861,4.061859499415732e-06,8.517030636312484e-07
1862,4.4687403146781435e-06,8.507368143284566e-07
1863,4.13854286307469e-06,8.845473509211388e-07
1864,4.623076790721825e-06,8.007195759773822e-07
1865,4.041296563173091e-06,8.302873553134305e-07
1866,4.033106449696788e-06,8.062320802082468e-07
1867,3.77936947870694e-06,7.123927119323525e-07
1868,4.232484059230046e-06,7.528367973463901e-07
1869,3.72856680996847e-06,8.087107445930997e-07
1870,4.470837893677526e-06,8.417583430286868e-07
1871,3.6621818253479432e-06,8.00836744474509e-07
1872,3.91928051612922e-06,6.174333542219301e-07
1873,4.588870922361821e-06,5.956074566881853e-07
1874,4.160717878676223e-06,5.723675826629915e-07
1875,3.6360304989102588e-06,5.927502186864331e-07
1876,4.221932044856658e-06,6.263671039619112e-07
1877,3.7238776258163853e-06,6.005456079094529e-07
1878,3.415708647480642e-06,5.89415076746036e-07
1879,3.5617366052065336e-06,5.645016400990244e-07
1880,3.207639565516729e-06,5.820986785920468e-07
1881,3.521116354932019e-06,4.985342947350091e-07
1882,3.758961440780695e-06,6.249406823144454e-07
1883,3.7631662621606665e-06,5.542060428354034e-07
1884,3.479094345948397e-06,5.182331896946835e-07
1885,4.2618543147909804e-06,4.4217060590767687e-07
1886,3.419045071950677e-06,5.337014616912938e-07
1887,3.862511846364214e-06,4.433139881854231e-07
1888,3.7301836641745467e-06,4.818867047617914e-07
1889,3.4614880064509634e-06,5.413078429938878e-07
1890,3.2221363426288008e-06,4.614288133808486e-07
1891,2.9417025189104606e-06,6.450710507976964e-07
1892,3.253357959920322e-06,4.826754604891903e-07
1893,3.053343021974797e-06,4.304733085547241e-07
1894,3.5269714544483577e-06,4.1968251274226986e-07
1895,2.967176840229513e-06,4.550072638664915e-07
1896,2.8229078736785596e-06,4.175096428582492e-07
1897,2.7915785665300064e-06,3.804843942134539e-07
1898,2.7675014280248433e-06,5.324512137860893e-07
1899,2.9848924043562874e-06,5.488885506110819e-07
1900,2.9080280512516765e-06,4.298192024521086e-07
1901,2.5568481589743897e-06,3.744455074894404e-07
1902,2.4934422242495202e-06,4.213023601096211e-07
1903,3.43129988777946e-06,4.546985366005174e-07
1904,2.6733385709576396e-06,3.7084915049945266e-07
1905,2.7976474541446805e-06,4.376323730070908e-07
1906,3.0885684054737794e-06,3.9198687318275915e-07
1907,2.3749649642468285e-06,4.643987630004176e-07
1908,2.5421349789667147e-06,3.958579508633875e-07
1909,2.4836941747707897e-06,4.7363468880234905e-07
1910,3.2572597774560563e-06,4.553216506053559e-07
1911,2.4878068813904974e-06,4.1232900116483506e-07
