year,dents_NOUN in_ADJ,dents_NOUN fines_ADJ
1800,0.0,6.60274537267469e-08
1801,2.3811825844433088e-09,8.096020565062645e-08
1802,2.4616241489638924e-08,9.398928568771225e-08
1803,1.1702034896643454e-08,1.5212646076179226e-07
1804,0.0,4.943701981119375e-08
1805,8.528632911009026e-09,1.9900143755080535e-08
1806,1.729001475325731e-08,5.76333825108577e-09
1807,0.0,0.0
1808,9.064295980465431e-09,3.172503681980743e-08
1809,2.259030518203531e-09,3.388545621874073e-08
1810,0.0,2.7145469516653975e-07
1811,0.0,2.2563691359778204e-08
1812,1.8670457180292033e-08,2.6672082320544632e-09
1813,0.0,5.751483289628823e-09
1814,0.0,2.5173417128598885e-08
1815,0.0,2.1577788444915313e-08
1816,2.3176038865813098e-09,8.57513455798653e-08
1817,1.71256075987003e-08,8.095742032310227e-08
1818,2.1458118837358597e-08,1.1801965627000754e-07
1819,1.035105001712111e-09,6.417651121637391e-08
1820,2.3732962262101864e-09,1.1866481131050932e-08
1821,1.97229765852569e-09,2.070912508145284e-08
1822,0.0,1.4035862250239006e-08
1823,0.0,1.9765373338032077e-08
1824,8.421112696055388e-10,9.010590673597108e-08
1825,2.641632912414593e-09,2.289415235168235e-08
1826,2.642395191543301e-09,4.932471320273635e-08
1827,0.0,6.636436467033491e-08
1828,2.7516904310687096e-09,4.035812395386529e-08
1829,3.429270423183084e-09,9.344761764396026e-08
1830,1.0436835840010872e-09,5.5315229730013016e-08
1831,1.5591206103948707e-09,5.14509785887185e-08
1832,0.0,2.976593194148336e-08
1833,1.1583628500844156e-09,8.340212787061319e-08
1834,4.667265685043276e-09,3.733812548034621e-08
1835,1.5126175867408165e-09,4.9916380362446944e-08
1836,0.0,7.19120265557649e-08
1837,6.957891152126194e-09,4.6617870452791976e-08
1838,1.8936485712828244e-09,1.5149188570262595e-08
1839,2.0974426639952526e-09,6.22241264069956e-08
1840,2.5478754661634184e-09,1.7198159341091923e-08
1841,1.2841097074556274e-09,3.017657945747487e-08
1842,1.341653010911159e-09,2.4820581145945653e-08
1843,5.906911071384968e-10,2.1855571574747046e-08
1844,5.488561272137815e-10,1.0977122322231025e-08
1845,2.2320911785556063e-09,3.4039391749729475e-08
1846,0.0,3.1614305839866574e-08
1847,1.6179670936367074e-09,1.6718992412734224e-08
1848,2.413566457803995e-09,2.654923214606697e-08
1849,8.379414939696517e-10,6.535943697372204e-08
1850,6.788996032014438e-10,1.6293590476834652e-08
