year,ses_DET in_ADJ,ses_DET fines_ADJ
1800,1.8864987794131594e-08,0.0
1801,1.1905912700171939e-08,0.0
1802,1.5664880947952042e-08,0.0
1803,2.145373123596528e-08,3.900678446910888e-09
1804,1.4831105232815389e-08,7.4155526164076946e-09
1805,1.7057266488151868e-08,0.0
1806,2.0171682990621775e-08,2.881669125542885e-09
1807,1.9928686256776018e-08,0.0
1808,4.5321479902327155e-09,0.0
1809,3.388545621874073e-08,0.0
1810,9.360507036149102e-09,0.0
1811,2.5070768572277302e-08,1.2535384286138651e-08
1812,2.1337665856435706e-08,2.6672082320544632e-09
1813,1.7254450312975678e-08,0.0
1814,1.5733386149463513e-08,6.293354282149721e-09
1815,1.0788894222457657e-08,0.0
1816,3.476405652236281e-08,2.3176038865813098e-09
1817,1.401186100480345e-08,0.0
1818,2.384235386898581e-08,0.0
1819,2.277231081482256e-08,1.035105001712111e-09
1820,2.254631326081835e-08,2.3732962262101864e-09
1821,1.972297603014539e-08,0.0
1822,1.2030739071633434e-08,0.0
1823,2.174191138237802e-08,1.087095569118901e-08
1824,1.9368559200927393e-08,8.421112696055388e-09
1825,1.7610886970942374e-08,6.163809906922779e-09
1826,8.80798456392995e-09,0.0
1827,1.198245475064752e-08,2.027800150017356e-08
1828,2.0179061976932644e-08,9.172301251858528e-10
1829,2.4004892296147773e-08,1.971830521085849e-08
1830,1.7742621594152297e-08,0.0
1831,2.0268567268999504e-08,2.3386808933878456e-08
1832,2.0294954161670375e-08,2.0294953273491956e-08
1833,2.20088942626262e-08,8.108539617524002e-09
1834,1.8669062740173104e-08,3.733812370398937e-09
1835,9.075705520444899e-09,6.806779140333674e-09
1836,1.4785650037651976e-08,1.4113575197427508e-08
1837,1.3219993100221927e-08,1.2524203896191466e-08
1838,1.2624323808552163e-08,8.837027110075724e-09
1839,1.0487213097931658e-08,5.5931801412612e-09
1840,2.8663599493938818e-08,1.0191501642609069e-08
1841,1.6693427085101575e-08,7.0626033910059505e-09
1842,2.1466448618667755e-08,3.018719274550108e-08
1843,1.1813821920725331e-08,1.8311423488626133e-08
1844,1.097712254427563e-08,1.3172547497219966e-08
1845,1.4508592549589139e-08,1.7298706467272496e-08
1846,2.2832555401919308e-08,7.610851504580296e-09
1847,9.168480197274675e-09,1.0247124926365814e-08
1848,1.448139919091318e-08,8.84974404868899e-09
1849,3.267971848686102e-08,1.1731181359664333e-08
1850,1.8330289286438983e-08,1.0862393651223101e-08
1851,1.3543821175687754e-08,1.80584280862206e-08
1852,1.3021090872200602e-08,1.9531636752390114e-08
1853,9.555090940693844e-09,1.6124216184465467e-08
1854,2.0263090760863633e-08,1.1950028522278444e-08
1855,1.539011762474729e-08,4.404757802944914e-08
1856,1.5531566865956137e-08,2.536822796272986e-08
1857,1.3180074864838076e-08,1.562082929673636e-08
1858,1.0766087576996597e-08,3.866004005814716e-08
1859,1.1711998260111045e-08,1.7313389166773163e-08
1860,1.9681890062184237e-08,4.5771839818353754e-08
1861,1.2261505866195677e-08,1.7920662287451705e-08
1862,9.487771512883825e-09,4.653525920161883e-08
1863,2.0477944673302773e-08,3.296449718748207e-08
