year,planches_NOUN in_ADJ,planches_NOUN fines_ADJ
1800,1.7292904175292279e-07,0.0
1801,6.667310969987739e-08,4.7623651688866175e-09
1802,1.4769744893783354e-07,0.0
1803,5.460949736857401e-08,0.0
1804,1.1370514130248921e-07,0.0
1805,1.648869130121966e-07,2.842877711017877e-09
1806,1.4120178093435243e-07,0.0
1807,8.256169792275614e-08,0.0
1808,1.5182695278781466e-07,0.0
1809,5.6475762733043666e-08,0.0
1810,9.828532343547636e-08,0.0
1811,1.3788921648938413e-07,0.0
1812,8.268345652595599e-08,0.0
1813,1.6966875193702435e-07,0.0
1814,2.1397404736944736e-07,0.0
1815,1.0519171667056071e-07,0.0
1816,5.3304889391370125e-08,0.0
1817,5.916118794857539e-08,0.0
1818,2.384235386898581e-08,0.0
1819,9.419455659909204e-08,0.0
1820,4.2719332071783356e-08,0.0
1821,1.094625198261312e-07,0.0
1822,9.323822780515911e-08,0.0
1823,1.6998221497033228e-07,0.0
1824,1.4652735913500692e-07,0.0
1825,1.7875049973525847e-07,0.0
1826,1.620669145552256e-07,0.0
1827,1.8987582239837764e-07,0.0
1828,2.036250823511665e-07,0.0
1829,2.2804647931140565e-07,0.0
1830,1.753388403358258e-07,0.0
1831,1.6682589976113604e-07,0.0
1832,1.3394669906574563e-07,0.0
1833,2.0734694428092837e-07,0.0
1834,1.3068343207578437e-07,0.0
1835,1.4748022181265696e-07,0.0
1836,1.2567803109320153e-07,0.0
1837,1.4541991788519226e-07,0.0
1838,1.0983162002098368e-07,0.0
1839,1.8387579814316268e-07,0.0
1840,1.605161514817155e-07,0.0
1841,1.7528097062680104e-07,0.0
1842,1.247737344556299e-07,0.0
1843,1.5712383572008548e-07,0.0
1844,1.3666517872934492e-07,0.0
1845,3.8838385307826684e-07,0.0
1846,1.7739138757910666e-07,0.0
1847,1.7258315665458213e-07,0.0
1848,1.8504009346997918e-07,0.0
1849,1.885368305920565e-07,0.0
1850,2.5187173946505936e-07,0.0
1851,1.8316405858698204e-07,0.0
1852,1.9922269545169513e-07,0.0
1853,1.7975514765566913e-07,0.0
1854,2.4783318508525554e-07,0.0
1855,2.117467907680748e-07,0.0
1856,2.1071160460905958e-07,0.0
1857,2.3626504130902504e-07,0.0
1858,2.016194575737984e-07,0.0
1859,1.522559780475774e-07,0.0
1860,1.830873583852366e-07,4.577183909670879e-10
1861,2.136331618274312e-07,2.357981809808507e-09
1862,2.3041729951822632e-07,0.0
1863,2.712079023581282e-07,0.0
1864,1.6541811476145085e-07,0.0
1865,2.2216305239908252e-07,0.0
1866,2.2138538346982983e-07,0.0
1867,1.6159862070708186e-07,0.0
1868,2.8947660934974806e-07,2.9639244392143382e-09
1869,1.5334250380583114e-07,0.0
1870,2.0069170147962723e-07,0.0
1871,2.0392660204926472e-07,0.0
1872,1.4211246934792143e-07,0.0
1873,1.700025222817203e-07,0.0
1874,1.6908144573335449e-07,0.0
1875,2.09980048904157e-07,0.0
1876,1.4873197073939082e-07,6.04601479992084e-10
1877,1.3544746479965397e-07,0.0
1878,1.7211403235961598e-07,0.0
1879,1.63118980101018e-07,0.0
1880,2.2013212230831414e-07,3.2089231272180996e-09
1881,1.659456830838124e-07,0.0
1882,1.7503662741447101e-07,0.0
1883,1.9779530724406413e-07,0.0
1884,1.4193648034677153e-07,0.0
1885,1.9401363626769808e-07,0.0
1886,1.2455185227633336e-07,1.2906927748801422e-09
1887,1.083801485224356e-07,0.0
1888,1.356891488057954e-07,0.0
1889,9.961567437599683e-08,0.0
1890,1.566498408767103e-07,0.0
1891,1.1409854039357015e-07,0.0
1892,7.334159501937165e-08,1.8805537127519756e-09
1893,9.237624720714877e-08,6.158416554491453e-10
1894,1.1468801863756539e-07,0.0
1895,1.0592761401362338e-07,1.2037228991346183e-09
1896,1.468360146805736e-07,1.179405795248556e-09
1897,5.8267136893164206e-08,0.0
1898,8.374365212393542e-08,0.0
1899,5.638130140539488e-08,0.0
1900,1.5209786319303475e-07,0.0
1901,6.706486394003619e-08,0.0
1902,6.383369144380424e-08,1.9641135384773634e-09
1903,6.9122817247802e-08,5.400220270956879e-10
1904,7.793206435735556e-08,0.0
1905,8.257214290097181e-08,0.0
1906,8.745113405650429e-08,0.0
1907,5.759984611497515e-08,0.0
1908,5.5989834324421395e-08,1.4734167219643268e-09
1909,5.721022944271681e-08,5.500983557560346e-10
