year,leurs_DET âmes_NOUN,leurs_DET ames_NOUN,leurs_DET femmes_NOUN
1800,3.04983969190431e-07,1.2042149819535553e-06,7.417084134431207e-06
1801,1.9763816005990975e-07,1.959713259225282e-06,7.76979860006577e-06
1802,2.394488944901241e-07,1.3113743477788375e-06,9.694323182429798e-06
1803,4.524786945125925e-07,1.2696708135973012e-06,7.629727178937173e-06
1804,2.71903616066993e-07,1.5597379068310602e-06,6.9236544959494495e-06
1805,2.5585898111302185e-07,1.0888221131377662e-06,6.734777258543545e-06
1806,2.7087691023552907e-07,9.826491611519828e-07,5.054447825614261e-06
1807,3.3594069215325817e-07,1.3836202086281446e-06,7.4931860467586375e-06
1808,5.07600597998703e-07,1.1307709417707201e-06,7.686522877747848e-06
1809,2.7560172299878616e-07,1.5225865332979538e-06,8.155100204021437e-06
1810,3.8612091124434755e-07,1.7363740991704901e-06,6.477470748222913e-06
1811,4.3873842070496494e-07,9.251113444186387e-07,7.686697301778622e-06
1812,5.867858128283387e-07,7.228134215608861e-07,7.2948143952089595e-06
1813,4.3423699946920635e-07,6.355389150503044e-07,6.66309352936878e-06
1814,6.356287745035161e-07,8.433094897952742e-07,6.3027942474036536e-06
1815,6.041780924448403e-07,6.33847548670019e-07,4.944010555618661e-06
1816,8.482430189360457e-07,1.11013225456702e-06,5.015294789245672e-06
1817,1.019752073005975e-06,8.67178501118282e-07,5.405464392538306e-06
1818,7.569947459984405e-07,9.25083367464552e-07,6.626982610669074e-06
1819,1.3663385880491319e-06,6.531512509733162e-07,7.374088141887114e-06
1820,1.1830881128105375e-06,8.448934538662911e-07,8.426388689031228e-06
1821,1.1035005913484497e-06,9.368413829147215e-07,6.51844368348975e-06
1822,1.2040764119092273e-06,9.514309198266346e-07,7.218443627721172e-06
1823,7.846853398163489e-07,1.153309519441592e-06,6.541350444422278e-06
1824,8.522165888535937e-07,1.3945362820066975e-06,7.314578368777802e-06
1825,1.3181748492741008e-06,1.1587962518433415e-06,7.356947463676988e-06
1826,1.2049322064555668e-06,9.900174373633774e-07,8.475042335476246e-06
1827,9.364749384843662e-07,7.373818302625068e-07,7.154447530410835e-06
1828,1.1676339859434393e-06,8.887960032955e-07,6.707704102382195e-06
1829,8.418859094305731e-07,7.827309849162134e-07,6.985423965488735e-06
1830,8.756505387452762e-07,9.414026120868613e-07,7.333964731515152e-06
1831,7.390231484549759e-07,8.247748013445744e-07,5.75003667790952e-06
1832,7.536193091794985e-07,7.130293929735743e-07,5.532404401265012e-06
1833,8.259127000087574e-07,9.880835118991627e-07,6.855191486465628e-06
1834,8.979818986176724e-07,8.494423215932301e-07,6.12998661608799e-06
1835,1.1079923893930754e-06,9.098394500028917e-07,7.640231501682138e-06
1836,1.2050304576405324e-06,1.1902448115996833e-06,7.776580019935864e-06
1837,1.2468540049326293e-06,6.018575697819273e-07,6.710885656957544e-06
1838,1.1911049409008e-06,6.0154902414844e-07,7.565757115912675e-06
1839,1.2207115638318555e-06,5.872839321519052e-07,5.862351713403768e-06
1840,1.7745953133641024e-06,3.063820236404169e-07,7.260807905140609e-06
1841,1.6680584664641174e-06,3.1974330916284543e-07,5.791334928062497e-06
1842,1.7085951391493381e-06,3.857252384165122e-07,6.307110737679977e-06
1843,1.7726639924831034e-06,3.5618673410731105e-07,5.9222691959348595e-06
1844,2.1010213409056178e-06,2.804654815058427e-07,6.374414994070321e-06
1845,1.862680058195565e-06,2.3548561484121322e-07,5.643284595180376e-06
1846,1.8113826989463178e-06,2.0783480181307823e-07,6.044772504765206e-06
1847,1.5758999687420783e-06,2.1195369193094393e-07,6.061444025817764e-06
1848,1.4400946817261229e-06,2.856053729072272e-07,5.9695543512816585e-06
1849,1.4764529474575738e-06,1.6339858888159142e-07,4.428520583132922e-06
1850,1.3951387174415686e-06,2.260735687542592e-07,4.852774381447489e-06
1851,1.4027529715576748e-06,1.6446069439624011e-07,4.854492715367087e-06
1852,1.764357866917976e-06,1.9922268590377712e-07,5.209087476032437e-06
1853,1.696028590458809e-06,1.3138249999045115e-07,5.969542968387032e-06
1854,1.8730370179298461e-06,2.3120706416079884e-07,4.991994472902661e-06
1855,1.999653996165307e-06,2.573864463784048e-07,5.029914831311544e-06
1856,2.1179881670718714e-06,2.2106598418503154e-07,4.938520604014229e-06
1857,1.920873852867544e-06,3.295018546900508e-07,5.109475551989817e-06
1858,1.8718310954568551e-06,3.704512696600659e-07,5.420724789928499e-06
