year,deux_DET os_NOUN,deux_DET fosses_NOUN
1800,7.608878007658859e-07,5.345079756580162e-08
1801,5.500531772284489e-07,4.0480102825313224e-08
1802,4.923248297927785e-07,7.384872446891677e-08
1803,6.241085461766716e-07,2.9255089017965474e-08
1804,4.844827983241373e-07,6.179627121127851e-08
1805,1.4157531182945604e-06,1.8194417350514414e-07
1806,8.356840730527892e-08,2.0171683878800195e-08
1807,2.5053205376934784e-07,3.131650672116848e-08
1808,1.6995554297238868e-07,2.945896149242344e-08
1809,1.7168632382436044e-07,4.743964154840796e-08
1810,3.486788768825022e-07,4.446240797761902e-08
1811,1.6797414570390856e-07,5.0141534924108555e-08
1812,7.334822456073198e-07,9.068507722531649e-08
1813,2.933256455506239e-07,6.614205716459765e-08
1814,1.604805350829963e-07,1.2586708564299443e-08
1815,1.537417375629957e-07,8.091670444798638e-09
1816,3.406877606693115e-07,6.02577028274709e-08
1817,3.004765680714172e-07,6.694555310104988e-08
1818,4.792313212931276e-07,3.337929754820834e-08
1819,3.498654805866863e-07,1.8631890696951814e-08
1820,1.886770490955314e-07,2.0173018810965004e-08
1821,1.913128704345013e-07,2.070912508145284e-08
1822,2.997659294123878e-07,9.825103575167304e-08
1823,2.3323140396769304e-07,4.0519015698237126e-08
1824,2.9137050461258696e-07,6.063201052342038e-08
1825,4.631663088616733e-07,6.780191341704267e-08
1826,2.7921311485101796e-07,3.8755132436563144e-08
1827,4.488811948810678e-07,2.1199728195142598e-08
1828,4.962215118808899e-07,5.961995697134626e-08
1829,3.7893438431524373e-07,3.772197532114774e-08
1830,2.744887726002787e-07,1.0436835395921662e-08
1831,3.6171597361800423e-07,5.145098169734297e-08
1832,2.43539444610974e-07,3.111892965534935e-08
1833,3.7415120957007275e-07,5.907650602043901e-08
1834,3.9298374154839166e-07,5.6940637760405366e-08
1835,7.464767790565929e-07,6.958040899007756e-08
1836,4.838939915430274e-07,5.5782224173128725e-08
1837,5.454986435893261e-07,5.775049327638726e-08
1838,2.3986214614524215e-07,3.597932263232906e-08
1839,3.1811213307975095e-07,2.8665047446807534e-08
1840,2.280348478933547e-07,2.4841786183671388e-08
1841,2.985555092038794e-07,4.558589550285319e-08
