year,observations_NOUN in_ADJ,observations_NOUN fines_ADJ
1800,0.0,2.3266817095191072e-07
1801,4.7623651688866175e-09,2.0240051412656612e-07
1802,2.2378401354217203e-09,1.3874608839614666e-07
1803,0.0,1.0921899473714802e-07
1804,0.0,2.076354803648428e-07
1805,5.685755422035754e-09,1.7625842474444653e-07
1806,8.645007376628655e-09,1.498467980809437e-07
1807,8.540865792383556e-09,1.366538526781369e-07
1808,2.2660739951163578e-09,1.9035022091884457e-07
1809,0.0,1.784634093837667e-07
1810,0.0,1.6380887757350138e-07
1811,0.0,1.0279014617253779e-07
1812,5.3344164641089264e-09,3.173977916048898e-07
1813,8.627225156487839e-09,2.444380413635372e-07
1814,0.0,1.7621391634747852e-07
1815,0.0,1.6453063267363177e-07
1816,4.6352077731626196e-09,5.3304887615013286e-08
1817,0.0,2.1173478614855412e-07
1818,0.0,1.8239401811115385e-07
1819,1.035105001712111e-09,1.9252952654369437e-07
1820,0.0,1.76810573293551e-07
1821,0.0,1.64686852599516e-07
1822,2.0051231786055723e-09,1.0526896687679255e-07
1823,9.882686891060644e-10,2.1148949258531502e-07
1824,3.3684450784221553e-09,2.071593740993194e-07
1825,2.641632912414593e-09,1.2855946351919556e-07
1826,2.642395191543301e-09,1.1274219957613241e-07
1827,0.0,1.2074627875335864e-07
1828,9.172301251858528e-10,1.2474329480482993e-07
1829,6.858540846366168e-09,1.1745251526917855e-07
1830,3.1310507520032616e-09,1.1271782796029584e-07
1831,0.0,1.3252525832285755e-07
1832,1.3529969367098715e-09,7.982681893281551e-08
1833,3.4750886612755494e-09,9.730248251571538e-08
1834,3.733812370398937e-09,1.1481473194407954e-07
1835,1.5126175867408165e-09,1.0890846624533879e-07
1836,1.3441500135158435e-09,1.1895727425326186e-07
1837,2.7831563720326358e-09,4.174734513640033e-08
1838,1.2624323808552163e-09,5.428459104450667e-08
1839,0.0,1.3563462175625318e-07
1840,1.2739377330817092e-09,8.471685930544481e-08
1841,3.2102742686390684e-09,8.924562422407689e-08
