year,petits_ADJ acteurs_NOUN,petits_ADJ facteurs_NOUN
1800,9.432493897065797e-09,0.0
1801,0.0,0.0
1802,6.713520406265161e-09,4.475680270843441e-09
1803,5.851017448321727e-09,0.0
1804,0.0,0.0
1805,2.842877711017877e-09,0.0
1806,0.0,0.0
1807,8.540865792383556e-09,0.0
1808,0.0,0.0
1809,6.7770915546105925e-09,2.259030518203531e-09
1810,2.3401266702194334e-08,0.0
1811,1.0028307073639553e-08,0.0
1812,5.067695596494559e-08,0.0
1813,1.4378708002027452e-08,0.0
1814,0.0,6.293354282149721e-09
1815,7.552225866902518e-08,0.0
1816,1.3905623319487859e-08,0.0
1817,4.670620334934483e-09,9.341240669868967e-09
1818,3.5763532135746345e-09,0.0
1819,6.210630232317271e-09,0.0
1820,1.1866481131050932e-09,0.0
1821,1.97229765852569e-09,0.0
1822,1.0025615893027862e-08,0.0
1823,7.90614973489312e-09,0.0
1824,3.8737119290033206e-08,0.0
1825,1.0566531649658373e-08,0.0
1826,2.2019960965735663e-08,8.807984341885344e-10
1827,8.295545583791863e-09,9.217273055917019e-10
1828,2.4765213879618386e-08,0.0
1829,1.0287811491593857e-08,8.57317605795771e-10
1830,3.861629238599562e-08,0.0
1831,2.0268567268999504e-08,0.0
1832,3.5177919244233635e-08,0.0
1833,1.2741991461950875e-08,0.0
1834,1.120143711119681e-08,9.334530925997342e-10
1835,6.050470346963266e-09,0.0
1836,5.376600054063374e-09,6.720750067579218e-10
1837,4.731365876864402e-08,0.0
1838,6.943378316748294e-09,0.0
1839,1.677954131196202e-08,3.4957374772659477e-09
1840,2.1019973317493168e-08,0.0
1841,2.0545755319290038e-08,6.420548537278137e-10
1842,1.0733224087289273e-08,0.0
1843,5.31621990873532e-09,5.906911071384968e-10
1844,1.3721403568922597e-08,1.097712254427563e-09
1845,3.9061593959388574e-09,0.0
1846,7.025401593807601e-09,5.269050973311096e-09
1847,1.5101026207275936e-08,0.0
1848,4.02261068899179e-09,0.0
1849,1.6758829879393033e-09,6.703531951757213e-09
1850,1.1337623462281954e-07,6.788996032014438e-10
1851,5.095056465620473e-08,0.0
1852,1.386746126819105e-07,6.510545436100301e-10
1853,1.970737528722566e-08,7.763511611358354e-09
1854,1.2469595134234623e-08,0.0
1855,8.491099379170919e-09,0.0
1856,1.346069211649592e-08,1.0354378465748937e-09
1857,5.369659827891837e-09,4.881509085841174e-10
1858,9.787352261980686e-09,2.4468380654951716e-09
1859,1.7313389832906978e-08,5.092173349652285e-10
1860,3.707518891893358e-08,0.0
1861,1.650587222457034e-08,4.715963730639317e-10
1862,5.060144692148327e-08,1.3553959066214816e-09
1863,3.995696662428827e-09,4.994620828036034e-10
1864,9.589456340108882e-09,0.0
1865,5.6482134525026595e-09,7.530950973944073e-09
1866,1.4110277668510918e-08,9.731225825149181e-10
1867,1.164674756637396e-08,1.94112459439566e-09
1868,8.89177353968762e-09,4.93987406535723e-10
1869,1.5138908793232986e-08,1.3673853160867111e-08
1870,2.2936195165357276e-08,1.1468097582678638e-09
1871,1.4869648623516696e-08,0.0
1872,1.3304146229131675e-08,1.8142017887967654e-09
1873,4.190203295451056e-09,2.9930022904522957e-09
1874,1.1351757756017378e-08,0.0
1875,2.002534438272363e-08,5.721527140956084e-10
1876,1.3301232781870453e-08,2.418405919968336e-09
1877,7.421779191219002e-09,2.535774612510977e-08
1878,1.9325083755461492e-08,2.4156354694326865e-09
1879,2.871382953628654e-08,0.0
1880,1.2193908105473383e-08,3.8507077526617195e-09
1881,2.649552932609822e-08,9.064259565150223e-09
1882,1.7304001787010748e-08,0.0
1883,1.0742875922176154e-08,8.847074184359371e-09
1884,1.9805090900604227e-08,1.0562715146988921e-08
1885,2.8360797044157948e-08,3.2228177904158883e-09
1886,1.8069698626277386e-08,6.453463874400711e-10
1887,6.528924512139156e-09,6.528924623161458e-10
1888,2.0289966373709944e-08,4.4384300679212174e-09
1889,1.0650732740202784e-08,7.51816386923565e-09
1890,3.1461055982617836e-08,5.243509182406569e-09
1891,2.230977069750395e-08,1.9122659011827636e-09
1892,1.4417578020342603e-08,0.0
1893,9.23762488724833e-09,1.847525021858587e-09
1894,1.0082462864602348e-08,5.671385139294216e-09
1895,2.1065151400989635e-08,3.611168697403855e-09
1896,8.845543852942228e-09,5.89702897624278e-10
1897,1.748014144542509e-08,6.992056267307589e-09
1898,1.4711722506888236e-08,1.13167097914868e-09
1899,3.8693050541382945e-08,1.492446166651007e-08
1900,3.529916137168243e-08,7.786579381274805e-09
1901,2.5149324622830704e-08,1.2295225282343836e-08
1902,8.347482705062248e-09,6.874397495693074e-09
1903,1.9980814336406638e-08,7.560307935250421e-09
1904,1.5586413049106795e-08,9.13686282189019e-09
1905,2.2191263937543226e-08,1.0321518084666081e-09
1906,2.3148830408104004e-08,5.658602919567102e-09
1907,1.902852098112362e-08,4.6285588695127444e-09
1908,2.0136695866312948e-08,4.911389073214423e-10
1909,2.4204327431220918e-08,1.6502950117569526e-09
1910,2.8323998924051352e-08,6.412980813053082e-09
1911,3.5114469443264795e-08,5.3203743632934675e-09
1912,2.7088991216839275e-08,1.1460726589973547e-08
1913,2.7575547179026216e-08,1.060597942803554e-09
1914,1.0714789944188396e-08,1.3393487430235496e-09
1915,7.068456930880984e-09,1.6493066468115103e-08
1916,1.0987461607214755e-08,1.7579939282086343e-08
1917,2.631941953268324e-08,7.676496771580332e-09
1918,3.2161854512935406e-08,0.0
1919,1.749491218561161e-08,8.287063479883727e-09
1920,1.4387239843927091e-08,5.300562211374427e-09
1921,3.256281289054641e-08,3.0290989716519334e-09
1922,2.3609393551282665e-08,2.2133805899215986e-09
1923,2.1231896241147297e-08,4.246379248229459e-09
1924,3.867487285980076e-08,5.156649773851996e-09
1925,3.079489863111462e-08,3.299453377181294e-09
1926,3.901148559748435e-08,1.0031524944054127e-08
1927,3.4562597672760376e-08,2.2298449753321847e-09
1928,2.0566874425753667e-08,4.570416489713125e-09
1929,3.3421218015305953e-08,5.570202965543558e-09
1930,1.8906487042613662e-08,3.1510811737689437e-09
1931,1.9389105432310316e-08,3.4216069977333063e-09
1932,1.8631212128639163e-08,0.0
1933,4.1294382358003645e-08,3.4411986593596566e-09
1934,1.9170528275935794e-08,2.3963160344919743e-09
1935,1.9149254626427137e-08,2.393656828303392e-09
1936,1.4549657478823974e-08,8.487299751891442e-09
1937,1.1332006444320086e-08,5.0364472592434595e-09
1938,1.9447821131279852e-08,5.186085783037697e-09
1939,1.070583532936098e-08,1.5294050470515685e-09
1940,1.5214697057785997e-08,0.0
1941,2.066051862925633e-08,0.0
1942,3.034211815133858e-08,0.0
1943,2.6129116648121453e-08,0.0
1944,3.2131861615880553e-09,9.639558484764166e-09
1945,4.1391576388605245e-08,6.535512131478072e-09
1946,1.5313215584455975e-08,2.7842208538686464e-09
1947,1.4305045148432782e-08,7.152522574216391e-09
1948,2.0656587551570738e-08,2.174377566888097e-09
1949,2.2579119018928395e-08,3.9268033269479474e-09
1950,1.1698897850465073e-08,1.808011518278363e-08
1951,1.2793681780642885e-08,1.2793682557799002e-08
1952,1.1599284199803606e-08,9.490323193972472e-09
1953,1.0773827274768166e-08,5.386913581872932e-09
1954,1.661331139324318e-08,2.9317608341017376e-09
1955,1.1262729415761896e-08,9.385607846468247e-09
1956,1.9186511934776718e-08,1.744228317335228e-09
1957,9.718541527092839e-09,3.534015080575159e-09
1958,9.926692356998501e-09,1.0753916868111446e-08
1959,6.200598257066758e-09,4.650448914844674e-09
1960,2.1454583665203586e-08,2.7683333403416555e-09
1961,6.25334317660986e-09,2.779263708063695e-09
1962,1.3952304034337004e-08,4.43936931660005e-09
1963,1.0992290522260362e-08,7.759263453976928e-09
1964,1.5818317322668918e-08,6.083968440151466e-09
1965,1.5321720781003023e-08,7.660860390501512e-09
1966,1.107814973089205e-08,4.431259803538978e-09
1967,1.3311905744384234e-08,5.423369309198733e-09
1968,1.527081394669949e-08,3.1439910674890825e-09
1969,9.991866889436096e-09,3.1792304344691047e-09
1970,7.817832520240486e-09,2.7592350626548523e-09
1971,1.644287195290417e-08,2.569198631618974e-09
1972,6.669190977248718e-09,3.0780880067027283e-09
1973,1.5988290802404492e-08,5.513203782392395e-10
1974,7.313243399753588e-09,5.625571564138454e-09
1975,1.4278700888326057e-08,2.2845920710778955e-09
1976,8.57029019973865e-09,5.713526984862938e-09
