year,ces_DET oeufs_NOUN,ces_DET feux_NOUN
1800,3.615789267996661e-07,1.6098122230800982e-06
1801,6.976865258856435e-07,8.881811126570938e-07
1802,4.788977889802482e-07,1.2218607707836782e-06
1803,1.9054813833463413e-06,1.027828790967078e-06
1804,3.781931923185766e-07,1.5844564558165075e-06
1805,2.1321583432154512e-07,1.4811392645697197e-06
1806,3.1698359492793315e-08,1.1757209890106424e-06
1807,1.2811298155668283e-07,1.0334447182458462e-06
1808,6.571614541428517e-08,1.171560285229134e-06
1809,2.0331274441787173e-08,6.257514257868024e-07
1810,6.084329395861232e-08,9.454112230855571e-07
1811,1.7549537822958428e-08,1.2460171774364426e-06
1812,5.867858199337661e-08,1.3496073449914547e-06
1813,7.189354267467252e-08,7.131839083740488e-07
1814,1.1013369771717407e-07,7.677892028823408e-07
1815,2.1577788444915313e-08,8.172587300236955e-07
1816,5.7940095388175905e-08,7.50903662805058e-07
1817,7.784367150875937e-08,1.0804701986444343e-06
1818,1.2994083675721413e-07,8.642853615015156e-07
1819,1.6354659493345025e-07,8.653477863163062e-07
1820,4.153268395867826e-08,1.1546085687541563e-06
1821,2.465372128668264e-08,6.912903529610048e-07
1822,3.208197085768916e-08,8.451594339931034e-07
1823,1.9765373338032077e-08,8.854887596498884e-07
1824,3.705289586264371e-08,9.844280981496922e-07
1825,3.698285966358128e-08,1.09979978191177e-06
1826,4.4039921931471326e-08,8.728712330707822e-07
1827,1.0415518292283821e-07,8.055896500991366e-07
1828,6.787503004090922e-08,7.392874863398902e-07
1829,2.4004893184326193e-08,8.178810162462469e-07
1830,5.009681003365074e-08,9.090484098805973e-07
1831,2.962329048727952e-08,7.920332762978433e-07
1832,2.1647950543268735e-08,7.874442289335093e-07
1833,3.011743432423941e-08,1.2209143847030646e-06
1834,2.426977996350388e-08,8.503757911171306e-07
1835,4.689114518896531e-08,7.396699928108319e-07
1836,2.8227149950765806e-08,7.695258901208035e-07
1837,3.757261257675282e-08,6.95093298475058e-07
1838,5.996553897880119e-08,9.222068513281556e-07
1839,3.425822836522485e-08,6.676858887999515e-07
1840,1.2102408630809691e-08,7.127681840302103e-07
1841,1.9903700021473014e-08,6.484753782842745e-07
1842,6.372851713010164e-08,7.385799776216118e-07
1843,2.3036953011867922e-08,5.664727709131512e-07
1844,3.51267913645259e-08,7.008892985993498e-07
1845,2.622707162558413e-08,5.719733771059055e-07
1846,5.0348711866377016e-08,5.86621048626057e-07
1847,4.96176593145492e-08,4.589633206819599e-07
1848,4.103063222515857e-08,4.979992382914133e-07
1849,4.022118993418644e-08,5.25389324934622e-07
1850,2.647708363667789e-08,6.721106018403589e-07
1851,3.3537080890155835e-08,7.191124140604188e-07
1852,3.255272740254611e-08,4.700613907004936e-07
1853,1.851298847554972e-08,5.506121212306425e-07
1854,2.5458756269802763e-08,6.728385173460083e-07
1855,9.552486801567284e-09,7.074147276853182e-07
1856,1.3978410429160704e-08,6.078020149402619e-07
1857,2.4895695727167322e-08,5.330608061626663e-07
1858,1.3702293022443968e-08,6.337310196613544e-07
1859,2.49516496353408e-08,5.244938634518803e-07
